vote_id,summary,vote_type,vote_type_explanation
108840,"The European Parliament adopted by 402 votes to 222, with 39 abstentions, a resolution on Commission Implementing Regulation (EU) 2019/707 amending Implementing Regulation (EU) No 540/2011 as regards the extension of the approval periods of the active substances alphacypermethrin, beflubutamid, benalaxyl, benthiavalicarb, bifenazate, boscalid, bromoxynil, captan, cyazofamid, desmedipham, dimethoate, dimethomorph, diuron, ethephon, etoxazole, famoxadone, fenamiphos, flumioxazine, fluoxastrobin, folpet, foramsulfuron, formetanate, metalaxyl-m, methiocarb, metribuzin, milbemectin, Paecilomyces lilacinus strain 251, phenmedipham, phosmet, pirimiphos-methyl, propamocarb, prothioconazole, s-metolachlor and tebuconazole…",substantive,"This vote is on a Commission Implementing Regulation amendment related to the approval periods of various active substances, which is a substantive policy action."
108842,No snippet available for this vote.,substantive,"No specific policy action details provided, but the vote seems to be related to a regulation or directive, which falls under substantive policy actions."
108844,"The European Parliament adopted by 426 votes to 208, with 20 abstentions, a resolution objecting to the Commission draft implementing decision renewing the authorisation for the placing on the market of products containing, consisting of or produced from genetically modified soybean A2704-12 (ACS-GMØØ5-3) pursuant to Regulation (EC) No 1829/2003 of the European Parliament and of the Council.
On 29 August 2017, the authorisation holder Bayer CropScience AG submitted to the Commission an application for the renewal of that authorisation (the renewal application). On 29 November 2018, the European Food Safety Authority (EFSA) adopted a favourable opinion on the renewal application…",substantive,"This vote concerns the renewal of authorization for genetically modified soybean products, which is a real policy decision citizens might care about."
108846,"The European Parliament adopted by 435 votes to 207, with 18 abstentions, a resolution objecting to the draft Commission implementing decision authorising authorising the placing on the market of products containing, consisting of or produced from genetically modified maize MON 89034 × 1507 × MON 88017 × 59122 × DAS-40278-9 and genetically modified maize combining two, three or four of the single events MON 89034, 1507, MON 88017, 59122 and DAS-40278-9 pursuant to Regulation (EC) No 1829/2003 of the European Parliament and of the Council.
The application for marketing authorisation was submitted to the competent authorities of the Netherlands on 6 February 2013 by Dow AgroSciences Europe on behalf of Dow AgroSciences LLC…",substantive,This vote is on a substantive policy action related to genetically modified maize regulation.
108848,"MEPs point to risk of higher pesticides levels
Soya production linked to deforestation
MEPs repeat criticism over authorisation process",substantive,Discusses a policy issue related to pesticide levels and soya production
108873,"The European Parliament adopted by 426 votes to 163, with 67 abstentions, a resolution on the 2021-2027 multiannual financial framework and own resources: time to meet citizens' expectations.
Parliament expressed its determination to secure a strong and credible MFF that will enable the EU to respond to important challenges effectively and attain its political objectives over the next seven-year period.
Members stressed that for almost a year now, Parliament has been ready to start negotiations on all aspects of the MFF and the own resources package, while the Council has still not agreed to open a real constructive dialogue.
The 2019 European elections conferred renewed legitimacy on Parliament’s position and role in this process. Members…",substantive,This vote is on a substantive policy action related to the European Union's multiannual financial framework and own resources.
108948,"The European Parliament decided to refuse to grant discharge to the Secretary-General of the Council in respect of the implementation of the budget of the European Council and the Council for the 2017 financial year.
In a resolution adopted by 662 votes to 24 with 9 abstentions, the European Parliament recalled the difficulties repeatedly encountered in the Council discharge procedures to date due to the lack of cooperation from the Council which led Parliament to refuse to grant discharge to the Secretary-General of the Council in relation to the financial years 2009 to 2016 and to postpone its decision on discharge in March 2019 for the financial year 2017.
Members stressed the importance of separating the budget of the European Council…",substantive,"This vote concerns the approval of discharge for the implementation of the budget, a significant financial matter."
108952,"The European Parliament decided to refuse discharge to the Executive Director of the European Asylum Support Office in respect of the implementation of the Office's budget for the 2017 financial year. It also pointed out that a proposal for the closure of the accounts of the Office for the 2017 financial year would be presented at a subsequent part-session.
In a resolution adopted by 694 votes to 2, with 2 abstentions, the European Parliament justified its unfavourable opinion on the legality and regularity of the payments underlying the accounts for the financial year 2017 by recalling that, according to the Court of Auditors' report, the material and systematic instances of non-compliance of payments with the EASO Financial Regulation and…",substantive,"This vote concerns the implementation of the European Asylum Support Office's budget for the 2017 financial year, which is a real policy decision."
109037,"The European Parliament adopted by 529 votes to 130, with 43 abstentions, a resolution on the Council position on the draft general budget of the European Union for the financial year 2020.
Parliament:
- set the overall level of budget appropriations for 2020 (all sections) at EUR 170 971 519 973 in commitment appropriations , an increase of EUR 2 699 813 994 over the draft budget;
- decided to make available EUR 280 700 000 in commitment appropriations further to de-commitments under Article 15(3) of the Financial Regulation;
- set the overall level of budget appropriations for 2020 (all sections) at EUR 159 146 168 195 in payment appropriations .
In its resolution, Parliament stressed that the 2020 budget should pave the way for the 2021-2027…",substantive,"This vote is on a substantive policy action as it concerns the adoption of the European Union's general budget for the financial year 2020, which involves setting the overall level of budget appropriations and making decisions related to the budget."
109166,"The European Parliament adopted by 533 votes to 67, with 100 abstentions, a resolution objecting to the draft Commission regulation amending Regulation (EU) No 546/2011 as regards the assessment of the impact of plant protection products on honeybees.
The objective of the European Commission's draft proposal was to introduce into European law the 2013 European Food Safety Authority (EFSA) guidelines to reduce the use of pesticides harmful to bees. In 2013, EFSA updated the risk assessment methodology accordingly, inter alia taking into account chronic effects on bees as well as adverse effects on bumblebees and solitary bees.
Parliament considered it unacceptable that Member States oppose the full implementation of the 2013 EFSA bee guidance…",substantive,This vote is on a substantive policy action related to the regulation of pesticides harmful to bees.
109582,No snippet available for this vote.,substantive,"No specific policy action details provided, but the vote seems to be related to a regulation or directive, which falls under substantive policy actions."
109583,"The European Parliament adopted by 301 votes to 295, with 45 abstentions, a resolution objecting to the draft Commission implementing decision partially granting an authorisation for a use of chromium trioxide under Regulation (EC) No 1907/2006 of the European Parliament and of the Council (Cromomed S.A. and others).
Cromomed S.A. and four other companies have jointly submitted an application for authorisation in accordance with the REACH Regulation for the use of chromium trioxide in functional chrome plating in a broad array of applications, including general engineering and steel production.
In its resolution, Parliament recalled that chromium trioxide was added to the candidate list of substances of very high concern under the REACH…",substantive,This vote is on a substantive policy action related to the regulation of chemicals under REACH
109686,No snippet available for this vote.,substantive,"No specific policy action details provided, but the vote seems to be related to a regulation or directive, which falls under substantive policy actions."
109707,"Egypt must stop violent crackdown on protesters
Uganda must end repression of LGBTI people
Indonesia must substantially overhaul its draft revised criminal code",substantive,These votes concern real policy decisions related to human rights issues in different countries
109744,"The European Parliament adopted by 412 votes to 136, with 30 abstentions, a resolution on opening accession negotiations with North Macedonia and Albania.
The text adopted in plenary had been tabled as a joint resolution by the EPP, S&D, Renew, Greens/EFA and GUE/NGL groups.
Parliament expressed its deep disappointment at the EU’s failure to agree on opening accession talks with North Macedonia and Albania due to the blocking of France, Denmark and the Netherlands, since both countries have made considerable efforts and meet the EU’s requirements for opening accession negotiations.
Members stressed that a non-decision is a strategic mistake and has a detrimental effect on the EU’s credibility given that the integration of eligible countries…",substantive,"The vote concerns the opening of accession negotiations with North Macedonia and Albania, a real policy decision related to EU enlargement."
109795,"Redundancies in Carrefour retail stores due to increasing competition from online sellers outside the EU
67% of Belgian consumers shopped online in 2018 - up from 46% in 2012",substantive,This vote concerns a substantive policy issue related to competition and e-commerce regulations in the EU
109842,"The European Parliament adopted by 448 votes to 189, with 28 abstentions, a resolution objecting to the draft Commission implementing decision renewing the authorisation for the placing on the market of products containing, consisting of or produced from genetically modified cotton LLCotton25 (ACS-GHØØ1-3) pursuant to Regulation (EC) No 1829/2003 of the European Parliament and of the Council.
Commission Decision 2008/837/EC authorised the placing on the market of food and feed containing, consisting of, or produced from genetically modified cotton LLCotton25. On 2 October 2017, the initial authorisation holder, Bayer CropScience AG, submitted to the Commission an application for the renewal of that authorisation…",substantive,This vote is on a substantive policy action related to the authorization of genetically modified cotton
109843,"The European Parliament adopted a resolution by 467 votes to 171, with 27 abstentions, a resolution objecting to the draft Commission implementing decision authorising the placing on the market of products containing, consisting of or produced from genetically modified maize Bt11 × MIR162 × MIR604 × 1507 × 5307 × GA21 and genetically modified maize combining two, three, four or five of the single events Bt11, MIR162, MIR604, 1507, 5307 and GA21 pursuant to Regulation (EC) No 1829/2003 of the European Parliament and of the Council.
On 16 December 2011, Syngenta Crop Protection AG submitted an authorisation application. The application also covered the placing on the market of products containing or consisting of the stacked GM maize for uses…",substantive,This vote is on a substantive policy action related to genetically modified maize regulation.
109844,"The European Parliament adopted a resolution by 465 votes to 169, with 30 abstentions, a resolution objecting to the draft Commission implementing decision authorising the placing on the market of products containing, consisting of or produced from genetically modified maize MON 89034 × 1507 × NK603 × DAS-40278-9 and sub-combinations MON 89034 × NK603 × DAS-40278-9, 1507 × NK603 × DAS-40278-9 and NK603 × DAS-40278-9 pursuant to Regulation (EC) No 1829/2003 of the European Parliament and of the Council.
On 11 January 2013, Dow AgroSciences Europe submitted, on behalf of Dow AgroSciences LLC, an application. The application concerned the placing on the market of foods, food ingredients and feed containing, consisting of or produced from…",substantive,The vote is on a substantive policy action related to genetically modified maize regulation
109845,"The European Parliament adopted by 448 votes to 185, with 30 abstentions, a resolution objecting to the draft Commission implementing decision renewing the authorisation for the placing on the market of products containing, consisting of or produced from genetically modified soybean MON 89788 (MON-89788-1) pursuant to Regulation (EC) No 1829/2003 of the European Parliament and of the Council.
Commission Decision 2008/933/EC authorised the placing on the market of food and feed containing, consisting of or produced from genetically modified soybean MON 89788 (‘soybean MON 89788’).
On 20 November 2017, the authorisation holder, Monsanto Europe S.A./N.V., on behalf of Monsanto Company, submitted to the Commission an application for the renewal…",substantive,This vote is on a substantive policy action related to the authorization of genetically modified soybean MON 89788 in food and feed products.
109895,"EP calls on the Polish Parliament to reject the bill
Lack of adequate sex education puts young people at risk
MEPs ask for more funding for civil society providing sex education",substantive,This vote concerns a policy action related to sex education and funding for civil society
110141,No snippet available for this vote.,substantive,"No specific policy action details provided, but the vote seems to be related to a regulation or directive, which falls under substantive policy actions."
110142,No snippet available for this vote.,substantive,"No specific policy action details provided, but the vote seems to be related to a regulation or directive, which falls under substantive policy actions."
110213,"Better protect children in war zones and migration
Fight statelessness: each baby should be recognised by a state
Give access to age-appropriate sex education to avoid abuses",substantive,This vote pertains to real policy decisions that citizens would care about.
110249,"The European Parliament adopted by 459 votes to 145 with 66 abstentions, a non-legislative resolution on the draft Council decision on the draft Council decision on the conclusion of the Agreement between the United States of America and the European Union on the allocation to the United States of a share in the tariff rate quota for high quality beef referred to in the revised memorandum of understanding regarding the importation of beef from animals not treated with certain growth-promoting hormones and increased duties applied by the United States to certain products of the European Union (2014).
Parliament welcomed this agreement with the US on the allocation of a share in the TRQ for high-quality beef as a solution to a longstanding…",substantive,This vote concerns a policy decision on the agreement between the US and EU regarding beef trade quotas
110480,"The European Parliament adopted by 430 votes to 190, with 34 abstentions, a resolution on the 2019 UN Climate Change Conference in Madrid, Spain (COP 25).
The resolution was tabled by the Committee on the Environment, Public Health and Food Safety and the EPP, S&D, Renew, Greens/EFA and GUE/NGL groups.
Parliament stated that climate change is one of the most important challenges facing humanity and that all states and players worldwide must do their utmost to fight it and that timely international cooperation, solidarity and a coherent and unwavering commitment to joint action is the only solution to fulfil our collective responsibility of safeguarding the entire planet…",substantive,The vote is on a substantive policy action related to climate change
110573,"New independent Electoral Court indispensable to guarantee transparent elections
Military must withdraw from protest areas
Armed forces and the police should refrain from influencing political processes",substantive,This vote concerns substantive policy decisions related to elections and political processes.
110576,"Russia should end politically motivated prosecutions of Lithuanian judges
Member states and Interpol should ignore Russia’s requests for arrest warrant
More cooperation and consistency needed across the EU towards Russia",substantive,This vote concerns a policy decision related to Russia's actions towards Lithuanian judges
110578,"The European Parliament adopted by 506 votes to 46, with 61 abstentions, a resolution tabled by the Committee on International Trade on the crisis of the WTO Appellate Body.
The WTO Appellate Body plays a fundamental role in the World Trade Organisation (WTO) dispute settlement system.
Since 2017, the United States has been blocking the replacement of any of the seven members of the Appellate Body and has rejected numerous proposals to launch the selection process to fill the remaining vacancies. On 10 December 2019, the mandates of two of the three remaining Appellate Body members will expire and the Appellate Body will no longer be able to hear any new appeals, as three members are needed to do so…",substantive,This vote concerns a significant policy matter related to the WTO dispute settlement system
110579,No snippet available for this vote.,substantive,"No specific policy action details provided, but the vote seems to be related to a regulation or directive, which falls under substantive policy actions."
110586,"First international instrument to set legally binding standards to prevent gender-based violence
MEPs want violence against women to be included in the catalogue of EU-recognised crimes
One in three women in the EU has experienced physical and/or sexual violence",substantive,"This vote concerns a significant policy decision on preventing gender-based violence, which citizens would care about."
110615,"The European Parliament adopted by 429 votes to 225, with 19 abstentions, a resolution on climate and environmental emergency.
The text adopted in plenary had been tabled as a joint resolution by the S&D, Renew and GUE/NGL groups.
Parliament declared a climatic and environmental emergency, considering that immediate and ambitious action is crucial to limiting global warming to 1.5ºC and avoiding a massive loss of biodiversity. It undertook to take urgent and concrete measures to combat and contain this threat before it is too late. It also called on the Commission, Member States and all global actors to do the same.
The new Commission to:
- assess the climate and environmental impact of all relevant legislative and budgetary proposals, and…",substantive,"The vote is on a resolution declaring climate and environmental emergency, which involves concrete policy measures to combat global warming and biodiversity loss."
110620,"Haiti must stop violently repressing protesters
Algeria must end harassment and intimidation of religious minorities and civil society
Cuba must release José Daniel Ferrer immediately",substantive,These votes concern real policy decisions related to human rights issues in different countries
110761,"The European Parliament adopted by 443 votes to 216, with 33 abstentions, a resolution objecting to the draft Commission implementing regulation amending Implementing Regulation (EU) No 540/2011 as regards the extension of the approval periods of the active substances benfluralin, dimoxystrobin, fluazinam, flutolanil, mancozeb, mecoprop-P, mepiquat, metiram, oxamyl and pyraclostrobin.
Parliament considered that the draft Commission implementing regulation exceeds the implementing powers provided for in Regulation (EC) No 1107/2009 and that it does not respect the precautionary principle. It stated that the decision to extend the approval periods of dimoxystrobin and mancozeb is not in line with the safety criteria laid down in Regulation…",substantive,This vote is on a substantive policy action related to the extension of approval periods for certain active substances in pesticides.
110879,"More than 80 Polish municipal or local governments proclaimed themselves to be ‘‘free from LGBTI ideology’’
MEPs reiterate that European funds must not be used for discriminatory purposes
Schools should be allowed to promote fundamental rights and protection of LGBTI people",substantive,"This vote concerns a policy decision regarding the promotion of fundamental rights and protection of LGBTI people in schools, which is a real policy decision citizens would care about."
110963,"The European Parliament adopted by 479 votes to 141, with 69 abstentions, a resolution tabled by the Committee on Economic and Monetary Affairs on fair taxation in a digitalised and globalised economy: BEPS 2.0.
Members recalled that following the 2008-2009 financial crisis and a series of revelations by journalists and civil society organisations about tax evasion, aggressive tax planning, tax fraud and money laundering practices, G20 countries agreed to address these issues globally at OECD level, through the Base Erosion and Profit Shifting (BEPS) project, leading to the BEPS Action Plan.
The Action Plan has generated global consensus on many aspects of the fight against tax evasion but no agreement has been reached on how to address the…",substantive,The vote is on a substantive policy action related to fair taxation in a digitalised and globalised economy
110970,"Serious and persistent threats to the rule of law, democracy and fundamental rights
Call to terminate “citizenship by investment” and “residence by investment” schemes
Annual “European Daphne Caruana Galizia prize” for investigative journalism to be set up",substantive,"This vote concerns a serious policy matter related to rule of law, democracy, and fundamental rights."
111069,"The European Parliament adopted by 513 to 18, with 87 abstentions, a resolution on the commemoration of the 30th anniversary of the Romanian revolution of December 1989.
The text adopted in plenary was tabled by the EPP, S&D, Renew and ECR groups.
The anti-totalitarian revolution in Bucharest lead to the fall of the communist regime and the enactment of democracy. It tragically resulted in the loss of 1 142 lives, 3 138 people being gravely injured, and over 760 individuals being illegally detained and tortured. The sacrifice of the Romanian citizens who courageously stood in the line of fire, opened up the country’s path towards NATO, the European Union and the democratic world…",substantive,The vote is on a resolution commemorating a significant historical event with concrete policy implications.
111073,"The European Parliament adopted by 560 votes to 12, with 43 abstentions, a resolution on the situation of human rights and democracy in Nicaragua.
The text adopted in plenary was tabled as a joint resolution by the EPP, S&D, Renew, Greens/EFA and ECR groups.
Human rights defenders and other critics of the Nicaraguan Government’s human rights record have increasingly become the targets of death threats, intimidation, online defamation campaigns, harassment, surveillance, assault and judicial persecution.
According to reports, more than 80 000 people have been forced to leave Nicaragua as a result of the current crisis, and that repression in the country has intensified.
Parliament expressed its solidarity with the Nicaraguan population and…",substantive,The vote concerns a significant policy matter related to human rights and democracy in Nicaragua
111134,"The European Parliament adopted by 454 votes to 148, with 102 abstentions, a resolution on the implementation of the common foreign and security policy (CFSP) - annual report.
In a context where the EU’s strategic environment is deteriorating, Parliament stressed that no single Member State is capable on its own of tackling any of the challenges facing the European continent today: armed conflicts on the eastern and southern borders of the European continent, terrorism - and in particular jihadism, cyber-attacks, foreign interference in European electoral processes, challenges to arms non-proliferation agreements, an increase in forced displacements and uncontrolled migration flows, tensions over Member States' energy supplies and climate…",substantive,"The vote is on a resolution related to the implementation of the common foreign and security policy, which involves concrete policy measures regarding European continent's challenges."
111153,"The European Parliament adopted by 496 votes to 113, with 103 abstentions, a resolution on human rights and democracy in the world and the EU's policy on the matter - annual report 2018.
Members expressed deep concern about the attacks on democracy and the rule of law worldwide in 2018, reflecting the rise of authoritarianism as a political project, embodying disregard for human rights, repression of dissent, politicisation of justice and elections, shrinking space for civil society and limitations on freedom of assembly and expression. They stressed the need to ensure full respect for, and adherence to, the principle that human rights are universal, while regretting that a number of countries have still not put in place a moratorium on the…",substantive,The vote is on a substantive policy action related to human rights and democracy in the world.
111166,No snippet available for this vote.,substantive,"No specific policy action details provided, but the vote seems to be related to a regulation or directive, which falls under substantive policy actions."
111206,No snippet available for this vote.,substantive,"No specific policy action details provided, but the vote seems to be related to a regulation or directive, which falls under substantive policy actions."
111546,"Concerns about the UK EU Settlement Scheme and the set-up of the independent authority
Freedom of movement, the length of the transition period and limiting the damage to EU and UK citizens’ lives at the heart of the debate",substantive,Discusses a significant policy matter related to the UK EU Settlement Scheme and freedom of movement
111599,"Thematic Agoras to involve citizens of all backgrounds from across Europe
Trigger EU reform in a bottom-up, transparent, inclusive, participatory and well-balanced approach
Allow for treaty change and establish permanent mechanism for citizen participation",substantive,This vote is about a policy decision related to citizen participation and EU reform
111720,"More regular and structured hearings needed, followed by concrete recommendations
Parliament wants to be formally involved in hearings with national authorities
Call for an EU permanent mechanism on democracy, rule of law and fundamental rights",substantive,"Discusses policy actions related to hearings and democracy, rule of law, and fundamental rights"
111994,"MEPs welcome the EU plan to become climate neutral by 2050
This requires a higher 2030 emission reductions goal of 55%
Supports ambitious sustainable investment plan to achieve the Green Deal",substantive,This vote concerns a significant climate policy decision that citizens would care about
112048,"The European Parliament adopted by 471 votes to 101, with 103 abstentions a resolution on the situation in Venezuela after the illegal election of the new National Assembly Presidency and Bureau (parliamentary coup).
The text adopted in plenary had been tabled as a joint resolution by the EPP, S&D, Renew and ECR groups.
Parliament recognised and supported Juan Guaidó as the legitimate President of the National Assembly and as the legitimate interim president of Bolivarian Republic of Venezuela, as a result of the transparent and democratic vote of the National Assembly.
Juan Guaidó was elected President of the National Assembly in January 2019. He was sworn in as interim President of Venezuela in accordance with the Constitution of Venezuela…",substantive,This vote concerns a significant policy decision regarding the political situation in Venezuela
112108,"A standard for a common charger must be adopted urgently
Measures empowering consumers to make sustainable choices
Decrease e-waste generated in Europe (16.6 kg on average per inhabitant)",substantive,"This vote concerns a policy decision on reducing e-waste and promoting sustainable choices, which citizens would care about."
112117,No snippet available for this vote.,substantive,"No specific policy action details provided, but the vote seems to be related to a regulation or directive, which falls under substantive policy actions."
112160,"MEPs demand binding measures on gender pay gap and pay transparency
Enforce principle of equal pay for equal work as enshrined in the treaties (Article 157 of the TFEU)
16% average gender pay gap in the EU (37% for pensioners)",substantive,"This vote concerns a real policy decision on reducing the gender pay gap, which citizens would care about."
112338,"The European Parliament adopted by 416 votes to 187, with 44 abstentions, a non-legislative resolution on the draft Council decision on the conclusion of the Free Trade Agreement (FTA) between the European Union and the Socialist Republic of Vietnam.
Members stressed that the EU-Vietnam FTA is the most modern, comprehensive and ambitious agreement ever concluded between the EU and a developing country and should serve as a reference point  for the EU's relations with developing countries and in particular with the Association of South-East Asian Nations (ASEAN) region. They stressed the economic and strategic importance of this agreement, given that the Union and Vietnam share common goals, as well as the significance of the agreement in…",substantive,The vote is on a substantive policy action related to the adoption of a non-legislative resolution on a free trade agreement.
112341,"The European Parliament adopted by 406 votes to 184, with 58 abstentions, a non-legislative resolution on the draft Council decision on the conclusion, on behalf of the Union, of the Investment Protection Agreement between the Union and its Member States, of the one part, and the Socialist Republic of Vietnam, of the other part.
The agreement replaces and supersedes the existing bilateral investment treaties between 21 EU Member States and Vietnam, which did not include the EU’s new approach to investment protection and its enforcement mechanism, the public Investment Court System (ICS). ;
In particular, the agreement shall:
- ensure a high level of investment protection and legal certainty while preserving the right of the parties to…",substantive,The vote is on a substantive policy action related to the Investment Protection Agreement between the EU and Vietnam.
112371,"Slowing economy requires ECB to continue its interventions, but governments must also do their part
ECB policies should better reflect environmental and climate goals
More attention should be paid to crypto-assets to protect consumers",substantive,"Discusses policy actions related to economy, environment, and crypto-assets"
112426,No snippet available for this vote.,substantive,"No specific policy action details provided, but the vote seems to be related to a regulation or directive, which falls under substantive policy actions."
112530,"Mandatory EU system of identification of cats and dogs
Better enforcement and tougher sanctions for illegal trading
Encourage citizens to adopt, rather than purchase, pets",substantive,It concerns a real policy decision related to pet ownership
112552,"Next Gender Equality Strategy must tackle the issue of FGM
Rising concern over the ‘‘medicalisation’’ of FGM
200 million women and girls affected around the globe",substantive,Addresses a significant policy issue related to gender equality and human rights
112601,"The European Parliament adopted by 543 votes to 39, with 69 abstentions, a resolution on the proposed mandate for negotiations for a new partnership with the United Kingdom of Great Britain and Northern Ireland.
The resolution was tabled by the EPP, S&D, Renew, Greens/EFA and GUE/NGL groups.
Parliament underlined its determination to establish as close a relationship as possible with the United Kingdom, a relationship which should, however, be different from the one enjoyed by the United Kingdom as a Member State of the Union, and which should be based on the following principles:
- a third country must not have the same rights and benefits as a Member State of the EU, or a member of the European Free Trade Association (EFTA) or European…",substantive,The vote is on a substantive policy action related to establishing a new partnership with the United Kingdom
112631,"MEPs set their priorities for the upcoming UN Commission on the Status of Women
Call for the EU to take strong action against all measures undermining women’s rights",substantive,"This vote is about setting priorities for UN Commission on the Status of Women and advocating for women's rights, which is a real policy decision citizens would care about."
113694,"The European Parliament adopted by 477 votes to 181, with 23 abstentions a resolution objecting to the draft Commission implementing decision authorising the placing on the market of products containing, consisting of, or produced from genetically modified soybean MON 87708 × MON 89788 × A5547-127 pursuant to Regulation (EC) No 1829/2003 of the European Parliament and of the Council.
On 28 October 2016, Monsanto Europe N.V., on behalf of Monsanto Company, submitted a request to the national competent authority of the Netherlands for the placing on the market of foods, food ingredients, and feed containing the genetically modified soybean MON 87708 × MON 89788 × A5547-127. On 22 May 2019, the European Food Safety Authority (EFSA) gave a…",substantive,This vote is on the regulation of genetically modified soybean products.
114093,No snippet available for this vote.,substantive,"No specific policy action details provided, but the vote seems to be related to a regulation or directive, which falls under substantive policy actions."
114358,No snippet available for this vote.,substantive,"No specific policy action details provided, but the vote seems to be related to a regulation or directive, which falls under substantive policy actions."
114359,No snippet available for this vote.,substantive,"No specific policy action details provided, but the vote seems to be related to a regulation or directive, which falls under substantive policy actions."
114360,No snippet available for this vote.,substantive,"No specific policy action details provided, but the vote seems to be related to a regulation or directive, which falls under substantive policy actions."
114361,No snippet available for this vote.,substantive,"No specific policy action details provided, but the vote seems to be related to a regulation or directive, which falls under substantive policy actions."
114362,No snippet available for this vote.,substantive,"No specific policy action details provided, but the vote seems to be related to a regulation or directive, which falls under substantive policy actions."
114363,No snippet available for this vote.,substantive,"No specific policy action details provided, but the vote seems to be related to a regulation or directive, which falls under substantive policy actions."
114364,No snippet available for this vote.,substantive,"No specific policy action details provided, but the vote seems to be related to a regulation or directive, which falls under substantive policy actions."
114365,No snippet available for this vote.,substantive,"No specific policy action details provided, but the vote seems to be related to a regulation or directive, which falls under substantive policy actions."
114366,No snippet available for this vote.,substantive,"No specific policy action details provided, but the vote seems to be related to a regulation or directive, which falls under substantive policy actions."
114367,No snippet available for this vote.,substantive,"No specific policy action details provided, but the vote seems to be related to a regulation or directive, which falls under substantive policy actions."
