question_en,question_type,question_type_explanation
"Q4b Of the following products bought in the past 12 months, did you buy any with the EU Ecolabel? Select all that apply. [MULTIPLE ANSWERS] | Base: IF Q4a<11",not_forward,"This question asks for respondents' awareness of the EU Ecolabel, not their forward-looking opinion about what the EU should do."
"Q5 Where do you most frequently buy products with the EU Ecolabel? [MULTIPLE ANSWERS] | Base: IF Q3_2=1,2,3",not_forward,"This question asks about the respondent's most frequent shopping location for products with an existing EU Ecolabel, not their opinion on what the EU should do."
"Q6_1 Would you like to find more products with the EU Ecolabel in any of the following categories? Textiles, clothing /footwear | Base: All",opinion_forward,"The question asks for citizens' opinion about finding more products with the EU Ecolabel, which implies a forward-looking policy preference."
Q6_2 Would you like to find more products with the EU Ecolabel in any of the following categories? Floor coverings/tiles | Base: All,opinion_forward,"The question asks for citizens' opinion about finding more products with the EU Ecolabel, which implies a forward-looking policy preference."
Q6_3 Would you like to find more products with the EU Ecolabel in any of the following categories? Cosmetics/animal care products | Base: All,opinion_forward,"The question asks for citizens' opinion about finding more products with the EU Ecolabel, which is a forward-looking actionable preference."
Q6_4 Would you like to find more products with the EU Ecolabel in any of the following categories? Absorbent hygiene products (diapers/feminine pads/tampons) | Base: All,opinion_forward,"The question asks for citizens' opinion about finding more products with the EU Ecolabel, which implies a policy preference that the EU could act on."
Q6_5 Would you like to find more products with the EU Ecolabel in any of the following categories? Paints/varnishes | Base: All,opinion_forward,"The question asks for citizens' opinion about finding more products with the EU Ecolabel, which implies a forward-looking policy preference."
Q6_6 Would you like to find more products with the EU Ecolabel in any of the following categories? Furniture/bed mattresses | Base: All,opinion_forward,"The question asks for citizens' opinion about finding more products with the EU Ecolabel, which is a forward-looking actionable preference."
Q6_7 Would you like to find more products with the EU Ecolabel in any of the following categories? Tourist accommodation services (hotels/campsites) | Base: All,opinion_forward,"The question asks for citizens' opinion about finding more products with the EU Ecolabel, which implies a forward-looking policy preference."
Q7_1 To what extent do you agree or disagree with the following statements? I trust that products with the EU Ecolabel truly have a lower environmental impact than similar products on the market | Base: All,not_forward,It is a factual/awareness question about the EU Ecolabel.
"Q7_2 To what extent do you agree or disagree with the following statements? Companies often make misleading environmental claims, leading customers to believe that their product or service is environmentally friendly | Base: All",opinion_forward,Citizens express their opinion about companies making misleading environmental claims
"Q7_3 To what extent do you agree or disagree with the following statements? To be credible, an environmental label needs to be verified by an independent organisation | Base: All",opinion_forward,"The question asks for citizens' opinion about what an environmental label needs to be verified by, which is a forward-looking opinion about the EU's policy on environmental labels."
Q8 Why do you not buy products with the EU Ecolabel? [MULTIPLE ANSWERS] | Base: IF Q3_2=4,not_forward,It is a factual/awareness question about the EU Ecolabel.
D1r1 How old are you? 4 categories | Base: All,not_forward,"This question asks for the respondent's age, not their opinion about what the EU should do."
D1r2 How old are you? 6 categories | Base: All,not_forward,"This question asks for the respondent's age, not their opinion about what the EU should do."
D2 Which of the following describes how you think of yourself? | Base: All,not_forward,This question asks for personal identification and does not express a forward-looking opinion about what the EU should do.
D3 What is your nationality? Please tell me the country(ies) that applies(y). | Base: All,not_forward,"This question asks for the respondent's nationality, which is a factual response and not related to forward-looking opinions or policy preferences."
D4r1 How old were you when you stopped full-time education? | Base: All,not_forward,"This question asks for personal information about the respondent's past education history, not their opinion on what the EU should do."
D4r2 How old were you when you stopped full-time education? | Base: All,not_forward,"This question asks for personal information about the respondent's past education history, not their opinion on what the EU should do."
"D5 As far as your current occupation is concerned, would you say you are…? | Base: All",not_forward,"This question asks for personal information about the respondent's occupation, not their opinion on what the EU should do."
"D5r As far as your current occupation is concerned, would you say you are…? | Base: All",not_forward,"This question asks for personal information about the respondent's occupation, not their opinion on what the EU should do."
D13 Would you say you live in a...? | Base: All,not_forward,"The question asks for the respondent's current living situation, not their opinion on what the EU should do."
"D22 How many people aged 15 years or more live in your household, yourself included? | Base: All",not_forward,"This question asks for factual information about the respondent's household size, not their opinion on what the EU should do."
D23 How many children under the age of 15 are living in your household? | Base: All,not_forward,"This question asks for factual information about the respondent's household, not their forward-looking opinion or preference about what the EU should do."
D25 Device used to complete the survey | Base: All,not_forward,"This question asks for respondents' device used to complete the survey, not their opinion about what the EU should do."
Q1 What actions is your company undertaking to be more resource efficient? | Base: All,not_forward,"The question asks for actions of a company, not the EU."
"Q2 Over the next two years, what are the additional resource efficiency actions that your company is planning to implement ? | Base: All",not_forward,"The question is about a company's planned actions, not the EU's policy."
Q3 What impact have the undertaken resource efficiency actions had on the production costs over the past two years? The production costs have… | Base: IF CODE 1 TO 9 IN Q1,not_forward,"This question asks for the impact of resource efficiency actions on production costs, which is a factual assessment rather than a forward-looking opinion about what the EU should do."
"Q4 Over the past two years, how much have you invested on average per year to be more resource efficient? | Base: IF CODE 1 TO 9 IN Q1",not_forward,"This question asks for personal investment behavior, not a forward-looking opinion about what the EU should do."
Q5 Which type of support does your company rely on in its efforts to be more resource efficient? | Base: IF CODE 1 TO 9 IN Q1,not_forward,"The question asks for the type of support a company already relies on, not what the EU should do."
"Q6 More precisely, which type of external support is it? | Base: IF Q5=3",not_forward,"It refers to a specific type of support, implying an existing policy or program"
Q7 Did your company encounter any of the following difficulties when trying to set up resource efficiency actions? | Base: IF CODE 1 TO 9 IN Q1,not_forward,"The question asks about difficulties encountered in setting up resource efficiency actions, which is a factual/awareness question related to an existing policy or practice."
Q8 Which of the following would help your company the most to be more resource efficient? | Base: All,not_forward,"The question asks for the respondent's opinion on what would help their company be more resource efficient, not about EU policy."
Q14 Does your company have a concrete strategy in place to reduce your carbon footprint and become climate neutral or negative? | Base: All,not_forward,"The question asks about an existing strategy in place, not a forward-looking opinion"
Q15 What actions is your company undertaking to be become climate neutral? | Base: IF Q14=1,not_forward,"The question asks about the actions of a specific company, not the EU as a whole."
Q9 Does your company offer green products or services? | Base: All,not_forward,"The question asks for factual information about the respondent's company, not their opinion on what the EU should do."
Q10 How much did these green products or services represent in your annual turnover of the latest available fiscal year? | Base: IF Q9=1,not_forward,"This question asks for factual information about the respondent's annual turnover, not their opinion on what the EU should do."
Q11 For how long has your company been selling green products or services? | Base: IF Q9=1,not_forward,"This question asks for factual information about the respondent's company, not their opinion on what the EU should do."
"Q12 In terms of turnover over the past 2 years, what were the main markets (countries/ geographical regions) for your green products or services? | Base: IF Q9=1",not_forward,"This question asks for information about the main markets of respondent's green products or services, not their opinion on what the EU should do."
Q13 What type of support does your company rely on for the production of its green products or services? | Base: IF Q9=1,not_forward,"The question asks for the type of support a company already relies on, not what it should do in the future."
DX1 Which type of external support does your company get for the production of its green products or services? | Base: IF Q13=3,not_forward,"This question asks for factual information about the type of external support received by a company, not expressing an opinion on what the EU should do."
DX2 How satisfied or dissatisfied are you with the level of public support for your green products or services? | Base: IF DX1=1 OR DX1=4,not_forward,"It asks for satisfaction level with the current support level, not expressing what should happen"
DX3 What type of support would help you the most to expand your range of green products or services ? | Base: IF Q9=1,opinion_forward,"The question asks for citizens' opinion on the type of support they think would help them expand their range of green products or services, which is a forward-looking opinion about what the EU should do."
DX4 What type of support would help you the most to launch your range of green products or services ? | Base: IF Q9=2 OR Q9=3,opinion_forward,"The question asks for citizens' opinion about the type of support they think would help them launch their green products or services, which is a forward-looking opinion."
"DX5r In your company, how many of your full time employees, including yourself, work in green jobs some or all of the time? | Base: All",not_forward,"The question asks for factual information about the respondent's company, not their opinion on what the EU should do."
NACEA Sector (NACE) | Base: All,opinion_forward,The question asks for citizens' opinion about what the EU should do regarding NACEA Sector
NACEB Sector group (NACE) | Base: All,opinion_forward,The question asks for citizens' opinion about what the EU should do regarding NACEB Sector group
"D1b Which of the following categories best describes your company? | Base: IF (NACE=B, C, D, E, F, G, H, I, J, M or L)",not_forward,"This question asks for the category of a company, not expressing an opinion about what the EU should do."
SCR10 How many employees (full-time equivalents) does your company currently have? | Base: All,not_forward,"This question asks for factual information about the respondent's company, not their forward-looking opinion or preference about what the EU should do."
SCR12 When was your company established? | Base: All,not_forward,"This question asks for factual information about a company's establishment date, not the citizen's opinion on EU policy."
"SCR13 Over the past two years, has your company's annual turnover increased, decreased or remained unchanged? | Base: All",not_forward,"This question asks for respondents' personal experiences regarding their company's turnover, not their forward-looking opinion about what the EU should do."
SCR14 What was your company's total turnover in 2020? | Base: All,not_forward,"This question asks for factual information about a company's turnover in 2020, not forward-looking opinion or policy preference."
brk_SCR14 Company's turnover (in euro) | Base: All,not_forward,"This question asks for respondents' turnover, not their opinion on what the EU should do."
SCR16 Does your company sell…? | Base: All,not_forward,"The question asks for factual information about the respondent's company, not their opinion on what the EU should do."
SCR15 Is your company selling its products or services…? | Base: All,not_forward,"The question asks for information about the respondent's company, not their opinion on what the EU should do."
"D4 In the last two years, have you been involved in any dispute which has gone to court? | Base: All",not_forward,This question asks for personal behavior and is not related to the EU's future actions.
"Q1 From what you know, how would you rate the justice system in (THIS COUNTRY) in terms of the independence of courts and judges? Would you say it is very good, fairly good, fairly bad or very bad? | Base: All",not_forward,"This question asks for an opinion about the current state of the justice system in a specific country, not what the EU should do."
Q2a_1 Could you tell me to what extent each of the following reasons explains your rating of the independence of the justice system in (THIS COUNTRY): Interference or pressure from government and politicians | Base: If Fairly bad or Very bad at Q1,not_forward,"This question asks for the extent to which a specific reason explains an existing rating, not a forward-looking opinion about what the EU should do."
Q2a_2 Could you tell me to what extent each of the following reasons explains your rating of the independence of the justice system in (THIS COUNTRY): Interference or pressure from economic or other specific interests | Base: If Fairly bad or Very bad at Q1,not_forward,"This question asks for the extent to which a specific reason explains a respondent's rating, not expressing what should happen in the future."
Q2a_3 Could you tell me to what extent each of the following reasons explains your rating of the independence of the justice system in (THIS COUNTRY): The status and position of judges do not sufficiently guarantee their independence | Base: If Fairly bad or Very bad at Q1,not_forward,"This question asks for the extent to which a specific reason explains a respondent's rating, not expressing what should happen in the future."
Q2a_1f Could you tell me to what extent each of the following reasons explains your rating of the independence of the justice system in (THIS COUNTRY): Interference or pressure from government and politicians | Base: All,not_forward,"This question asks for the extent to which a specific reason explains a rating, not expressing what should happen in the future."
Q2a_2f Could you tell me to what extent each of the following reasons explains your rating of the independence of the justice system in (THIS COUNTRY): Interference or pressure from economic or other specific interests | Base: All,not_forward,"This question asks for the extent to which specific reasons explain a rating of the independence of the justice system, not expressing what should happen in the future."
Q2a_3f Could you tell me to what extent each of the following reasons explains your rating of the independence of the justice system in (THIS COUNTRY): The status and position of judges do not sufficiently guarantee their independence | Base: All,not_forward,"This question asks for the extent to which a specific reason explains the respondent's rating of the independence of the justice system, not expressing what the EU should do."
Q2b_1 Could you tell me to what extent each of the following reasons explains your rating of the independence of the justice system in (THIS COUNTRY): No interference or pressure from government and politicians | Base: If Very good or Fairly good at Q1,not_forward,"This question asks for the extent to which a specific reason explains an opinion about the independence of the justice system, not proposing a policy change."
Q2b_2 Could you tell me to what extent each of the following reasons explains your rating of the independence of the justice system in (THIS COUNTRY):No interference or pressure from economic or other specific interests | Base: If Very good or Fairly good at Q1,not_forward,"This question asks for the extent to which a specific reason explains an opinion about the independence of the justice system, not expressing what the EU should do."
Q2b_3 Could you tell me to what extent each of the following reasons explains your rating of the independence of the justice system in (THIS COUNTRY):The status and position of judges sufficiently guarantee their independence | Base: If Very good or Fairly good at Q1,not_forward,"This question asks for the extent to which a specific reason explains an opinion about the independence of the justice system, not expressing what should happen in the future."
Q2b_1f Could you tell me to what extent each of the following reasons explains your rating of the independence of the justice system in (THIS COUNTRY): No interference or pressure from government and politicians | Base: All,not_forward,"This question asks for the extent to which a specific reason explains the respondent's rating, not expressing what should happen in the future."
Q2b_2f Could you tell me to what extent each of the following reasons explains your rating of the independence of the justice system in (THIS COUNTRY):No interference or pressure from economic or other specific interests | Base: All,not_forward,"This question asks for the extent to which a specific reason explains the respondent's rating, not expressing what should happen in the future."
Q2b_3f Could you tell me to what extent each of the following reasons explains your rating of the independence of the justice system in (THIS COUNTRY):The status and position of judges sufficiently guarantee their independence | Base: All,not_forward,"This question asks for the extent to which a specific reason explains the respondent's rating of the independence of the justice system, not expressing what should happen in the future."
D3a What is your nationality? Please tell me the country(ies) that applies(y). | Base: All,not_forward,"This question asks for the respondent's nationality, which is a factual response and not related to forward-looking opinions or policy preferences."
D5 How old were you when you stopped full-time education? | Base: All,not_forward,"This question asks for personal information about the respondent's past education, not their opinion on what the EU should do."
"D6 As far as your current occupation is concerned, would you say you are…? | Base: All",not_forward,"The question asks for personal information about the respondent's occupation, not their opinion on what the EU should do."
"D6r As far as your current occupation is concerned, would you say you are…? | Base: All",not_forward,"This question asks for personal information about the respondent's occupation, not their opinion on what the EU should do."
B Fieldwork country,opinion_forward,Asks for citizens' opinion about what the EU should do
Q1NAT What is your nationality? Please tell me the country(ies) that applies(y).,not_forward,"This question asks for the respondent's nationality, which is a factual response and not related to forward-looking opinions or policy preferences."
"QA1 Do you think that, in the EU, agriculture and rural areas are ... for our future? (ONE ANSWER ONLY)",opinion_forward,"The question asks for citizens' opinion about what the EU SHOULD do regarding agriculture and rural areas, making it a forward-looking opinion."
QA2 Have you ever heard of the support that the EU gives farmers through its Common Agricultural Policy (CAP)? (ONE ANSWER ONLY),not_forward,References an EXISTING policy as already in place
QA3 To what extent do you agree or disagree with the following statement: the Common Agricultural Policy (CAP) benefits all European citizens and not only farmers. (ONE ANSWER ONLY),opinion_forward,"The question asks for citizens' opinion about what the EU SHOULD do, specifically regarding the Common Agricultural Policy (CAP)."
"QA4 In your opinion, which of the following should be the main objectives of the EU in terms of agriculture and rural development policy? (MULTIPLE ANSWER POSSIBLE)",opinion_forward,"The question asks for citizens' opinion on what the EU should do in terms of agriculture and rural development policy, making it a forward-looking opinion."
QA5.1 To what extent do you think the EU through the Common Agricultural Policy (CAP) is fulfilling its role in ... ? (ONE ANSWER ONLY):-Ensuring a fair standard of living for farmers,opinion_forward,"The question asks for citizens' opinion about what the EU SHOULD do through the Common Agricultural Policy (CAP), specifically ensuring a fair standard of living for farmers."
QA5.2 To what extent do you think the EU through the Common Agricultural Policy (CAP) is fulfilling its role in ... ? (ONE ANSWER ONLY):-Creating growth and jobs in rural areas,opinion_forward,"The question asks for citizens' opinion about what the EU SHOULD do through the Common Agricultural Policy (CAP), specifically in creating growth and jobs in rural areas."
QA5.3 To what extent do you think the EU through the Common Agricultural Policy (CAP) is fulfilling its role in ... ? (ONE ANSWER ONLY):-Ensuring reasonable food prices for consumers,opinion_forward,"The question asks for citizens' opinion about what the EU SHOULD do through the Common Agricultural Policy (CAP), specifically ensuring reasonable food prices for consumers."
QA5.4 To what extent do you think the EU through the Common Agricultural Policy (CAP) is fulfilling its role in ... ? (ONE ANSWER ONLY):-Securing a stable supply of food in the EU,opinion_forward,"The question asks for citizens' opinion about what the EU SHOULD do through the Common Agricultural Policy (CAP), specifically regarding securing a stable supply of food in the EU."
QA5.5 To what extent do you think the EU through the Common Agricultural Policy (CAP) is fulfilling its role in ... ? (ONE ANSWER ONLY):-Ensuring a sustainable way to produce food,opinion_forward,The question asks for citizens' opinion about what the EU SHOULD do through the Common Agricultural Policy (CAP) to ensure a sustainable way to produce food.
QA5.6 To what extent do you think the EU through the Common Agricultural Policy (CAP) is fulfilling its role in ... ? (ONE ANSWER ONLY):-Protecting the environment and tackling climate change,opinion_forward,The question asks for citizens' opinion about what the EU SHOULD do through the Common Agricultural Policy (CAP) regarding protecting the environment and tackling climate change.
"QA5.7 To what extent do you think the EU through the Common Agricultural Policy (CAP) is fulfilling its role in ... ? (ONE ANSWER ONLY):-Providing safe, healthy food of high quality",opinion_forward,"The question asks for citizens' opinion about what the EU SHOULD do through the Common Agricultural Policy (CAP), specifically in providing safe, healthy food of high quality."
QA6 What do you think should be the two main responsibilities of farmers in our society? (TWO ANSWER MAXIMUM),opinion_forward,"The question asks for citizens' opinion on what the responsibilities of farmers should be, which is a forward-looking opinion about EU policy."
QA7.1 How important do you think the following priorities of the Common Agricultural Policy (CAP) are? (ONE ANSWER ONLY):-Developing research and digital solutions to support the agriculture and food sectors (M),opinion_forward,The question asks for citizens' opinion about what the EU SHOULD do in terms of developing research and digital solutions for agriculture.
QA7.2 How important do you think the following priorities of the Common Agricultural Policy (CAP) are? (ONE ANSWER ONLY):-Strengthening the farmer's role in the food chain,opinion_forward,"The question asks for citizens' opinion about what the EU SHOULD do in terms of prioritizing the Common Agricultural Policy (CAP), specifically strengthening the farmer's role in the food chain."
QA7.3 How important do you think the following priorities of the Common Agricultural Policy (CAP) are? (ONE ANSWER ONLY):-Encouraging young people to enter the agricultural sector,opinion_forward,The question asks for citizens' opinion about what the EU SHOULD do (encourage young people to enter the agricultural sector) in relation to the Common Agricultural Policy.
"QA7.4 How important do you think the following priorities of the Common Agricultural Policy (CAP) are? (ONE ANSWER ONLY):-Boosting investment and growth, and increasing the number of jobs in the agriculture and food sectors (N)",opinion_forward,The question asks for citizens' opinion about what the EU SHOULD do (prioritize investment and growth in agriculture and food sectors)
QA7.5 How important do you think the following priorities of the Common Agricultural Policy (CAP) are? (ONE ANSWER ONLY):-Help tackle climate change (N),opinion_forward,The question asks for citizens' opinion about what the EU SHOULD do in terms of tackling climate change within the Common Agricultural Policy.
QA7.6 How important do you think the following priorities of the Common Agricultural Policy (CAP) are? (ONE ANSWER ONLY):-Securing a stable supply of food in the EU (N),opinion_forward,"The question asks for citizens' opinion about the priority of a potential action (the Common Agricultural Policy) within the EU, making it a forward-looking opinion."
QA7.7 How important do you think the following priorities of the Common Agricultural Policy (CAP) are? (ONE ANSWER ONLY):-Ensuring sustainable management of natural resources (N),opinion_forward,The question asks for citizens' opinion about what the EU SHOULD prioritize in its Common Agricultural Policy.
QA7.8 How important do you think the following priorities of the Common Agricultural Policy (CAP) are? (ONE ANSWER ONLY):-Reducing disparities in the development of different regions and territories of the EU (N),opinion_forward,The question asks for citizens' opinion about what the EU SHOULD prioritize in its Common Agricultural Policy.
"QA8.1 Do you agree or not that the Common Agricultural Policy (CAP) contributes to ... ? (ONE ANSWER ONLY):-Developing research, and digital solutions to support the agriculture and food sectors (N)",not_forward,"The question asks for agreement about the CAP's contribution, which is a reference to an existing policy."
QA8.2 Do you agree or not that the Common Agricultural Policy (CAP) contributes to ... ? (ONE ANSWER ONLY):-Strengthening the farmer's role in the food chain (N),not_forward,"The question asks for agreement about the CAP's current contribution, not suggesting a policy change."
QA8.3 Do you agree or not that the Common Agricultural Policy (CAP) contributes to ... ? (ONE ANSWER ONLY):-Encouraging young people to enter the agricultural sector (N),not_forward,"The question asks for an opinion about the existing Common Agricultural Policy, not what the EU should do."
"QA8.4 Do you agree or not that the Common Agricultural Policy (CAP) contributes to ... ? (ONE ANSWER ONLY):-Boosting investment and growth, and increasing the number of jobs in the agriculture and food sectors",opinion_forward,"The question asks for citizens' opinion about what the EU SHOULD do (Common Agricultural Policy) in terms of boosting investment and growth, and increasing the number of jobs in the agriculture and food sectors."
QA8.5 Do you agree or not that the Common Agricultural Policy (CAP) contributes to ... ? (ONE ANSWER ONLY):-Help tackle climate change (N),opinion_forward,The question asks for citizens' opinion about what the EU SHOULD do to tackle climate change through the Common Agricultural Policy (CAP)
QA8.6 Do you agree or not that the Common Agricultural Policy (CAP) contributes to ... ? (ONE ANSWER ONLY):-Securing a stable supply of food in the EU (N),not_forward,"The question asks for an opinion about the existing Common Agricultural Policy (CAP), not what the EU should do."
QA8.7 Do you agree or not that the Common Agricultural Policy (CAP) contributes to ... ? (ONE ANSWER ONLY):-Ensuring sustainable management of natural resources (N),opinion_forward,The question asks for citizens' opinion about what the EU SHOULD do (Common Agricultural Policy) to ensure sustainable management of natural resources.
QA8.8 Do you agree or not that the Common Agricultural Policy (CAP) contributes to ... ? (ONE ANSWER ONLY):-Reducing disparities in the development of different regions and territories of the EU (N),not_forward,"The question asks for agreement about the CAP's current contribution, not a forward-looking opinion about what the EU should do."
QA9 The EU gives financial support to farmers to help stabilise their incomes. This aid represents around 1% of the combined public expenditure of the 27 Member States of the EU and around 35% of the total EU budget. (ONE ANSWER ONLY),not_forward,The question provides factual information about an existing policy and does not ask for citizens' opinion on what the EU should do.
QA10 What do you think are the main reasons why the EU spends a significant proportion of its budget (around 35% of the total EU budget) on the Common Agricultural Policy (CAP)? (M) (TWO ANSWER MAXIMUM),not_forward,"This question asks for the reasons behind an existing policy, not what the EU should do."
"QA11 And over the next 10 years, would you like to see an increase, decrease or no change in EU financial support to farmers? (ONE ANSWER ONLY)",opinion_forward,The question asks for citizens' opinion about what the EU should do in terms of financial support to farmers.
QA12.1 How important or not are the following factors in your decision to buy food products? (ONE ANSWER ONLY):-They come from a geographical area that you know,error,parse_error
"QA12.2 How important or not are the following factors in your decision to buy food products? (ONE ANSWER ONLY):-They respect local tradition and ""know-how""",opinion_forward,"The question asks for citizens' opinion about a factor in their decision to buy food products, which can be considered as a forward-looking opinion."
QA12.3 How important or not are the following factors in your decision to buy food products? (ONE ANSWER ONLY):-They have a specific label ensuring the quality of the product,opinion_forward,"The question asks for citizens' opinion about a factor that could influence their decision to buy food products, which is forward-looking."
"QA12.4 How important or not are the following factors in your decision to buy food products? (ONE ANSWER ONLY):-They are part of a short supply chain, i.e. when distances are short or there are few intermediaries between food producers and consumers (N)",error,parse_error
QA13 Which of the logos are you aware of? (MULTIPLE ANSWER POSSIBLE),not_forward,"This question asks for citizens' awareness of logos, not their opinion about what the EU should do."
QA14.1 Do you agree or not with the following statements related to food products coming from « organic » agriculture...? (ONE ANSWER ONLY):-They are safer than other food products,opinion_forward,"The question asks for citizens' opinion about whether organic food products are safer than other food products, which is a forward-looking opinion about what the EU should promote or prioritize in food safety regulations."
QA14.2 Do you agree or not with the following statements related to food products coming from « organic » agriculture...? (ONE ANSWER ONLY):-They are of better quality than other food products,opinion_forward,"The question asks for citizens' opinion about the quality of food products from organic agriculture, which can be considered a forward-looking opinion about what they think should be prioritized in food production."
QA14.3 Do you agree or not with the following statements related to food products coming from « organic » agriculture...? (ONE ANSWER ONLY):-They are more expensive than other food products,opinion_forward,"The question asks for citizens' opinion about the cost of food products from organic agriculture, which can be interpreted as a policy preference related to pricing and support for organic farming."
QA14.4 Do you agree or not with the following statements related to food products coming from « organic » agriculture...? (ONE ANSWER ONLY):-They taste better than other food products,opinion_forward,"The question asks for citizens' opinion about the taste of food products from organic agriculture, which can be considered a forward-looking opinion about what they prefer."
QA14.5 Do you agree or not with the following statements related to food products coming from « organic » agriculture...? (ONE ANSWER ONLY):-They are produced with better environmental practice than other food products,opinion_forward,"The question asks for citizens' opinion about the environmental practices of organic food products, which can be interpreted as a forward-looking policy preference."
"QA14.6 Do you agree or not with the following statements related to food products coming from « organic » agriculture...? (ONE ANSWER ONLY):-They comply with specific rules on pesticides, fertilisers, and antibiotics",opinion_forward,"The question asks for citizens' opinion about what the EU SHOULD do regarding food products from organic agriculture, specifically related to rules on pesticides, fertilisers, and antibiotics."
QA14.7 Do you agree or not with the following statements related to food products coming from « organic » agriculture...? (ONE ANSWER ONLY):-They respect higher animal welfare standards than other food products,opinion_forward,The question asks for citizens' opinion about what EU food products from 'organic' agriculture SHOULD do regarding animal welfare standards.
"QA14.8 Do you agree or not with the following statements related to food products coming from « organic » agriculture...? (ONE ANSWER ONLY):-They are difficult to find in the supermarkets, shops or markets in the area where you live",opinion_forward,"The question asks for citizens' opinion about the accessibility of organic food products, which can be interpreted as suggesting what the EU should do to improve the availability of these products."
QA15 The EU is currently making subsidy payments to farmers for carrying out agricultural practices beneficial to the climate and the environment. Are you in favour or opposed to the EU continuing to do so? (M) (ONE ANSWER ONLY),opinion_forward,The question asks for citizens' opinion about what the EU should continue to do in the future
"QA16.1 Do you agree or disagree with each of the following statements about the European Union and trade barriers to imports of agricultural products? (ONE ANSWER ONLY):-The EU should have no trade barriers to imports of agricultural products, regardless of their origin",opinion_forward,The citizen expresses what SHOULD happen regarding EU trade barriers to imports of agricultural products.
QA16.2 Do you agree or disagree with each of the following statements about the European Union and trade barriers to imports of agricultural products? (ONE ANSWER ONLY):-The EU should have trade barriers to imports of agricultural products with the exception of imports from developing countries,opinion_forward,The citizen expresses what the EU should do regarding trade barriers to imports of agricultural products.
QA16.3 Do you agree or disagree with each of the following statements about the European Union and trade barriers to imports of agricultural products? (ONE ANSWER ONLY):-Agricultural imports from any origin should only enter the EU if their production has complied with the EU’s environmental and animal welfare standards (M),opinion_forward,"The question asks for citizens' opinion about what the EU should do regarding agricultural imports, making it a forward-looking opinion."
"QA17.1 Currently, there are a number of trade agreements between the European Union and other countries of the world, with the aim among other things of facilitating the exchange of agricultural and food products. Overall, would you say that these trade agreements have been positive or negative for ...? (ONE ANSWER ONLY):-EU agriculture",opinion_forward,"The question asks for citizens' opinion about the impact of EU trade agreements on EU agriculture, which is a forward-looking opinion about what the EU should do in terms of its trade policies."
