question_en,file_name,vote_id,summary,similarity_score,match_id,pair_valid,pair_explanation,question_type,question_type_explanation,vote_type,vote_type_explanation,survey_date,vote_date,survey_before_vote
"QC2. Thinking about the EU's response to the coronavirus pandemic, to what extent do you trust the EU or not to make the right decisions in the future?",,127028,"The European Parliament adopted by 340 votes to 100, 245 abstentions, a resolution on the implementation of the Common Foreign and Security Policy – annual report 2020.
Parliament stressed that the COVID-19 pandemic is a wake-up call for the need for a stronger, more autonomous, more united and assertive foreign and security policy. If the EU wants to play a leading role on the international scene, it should defend and develop a rules based international order which guarantees multilateralism, democracy and human rights, and to promote its values and interests more decisively worldwide. To achieve this, the EU first has to successfully assist its partners in the immediate neighbourhood…",0.6656333804130554,28c5e312d39bb961ea468e4eb8522f209f6ec9a0f77ea51c948957a0f9fec294,False,"The survey question is about trust in the EU's response to the coronavirus pandemic, while the vote is about the implementation of the Common Foreign and Security Policy – annual report 2020. There is no direct mapping between a citizen's answer on trust and the yes/no position on this vote.",opinion_forward,The question asks for citizens' forward-looking opinion about what the EU should do in future regarding the coronavirus pandemic.,substantive,"The vote is on a substantive policy action as it concerns the implementation of the Common Foreign and Security Policy, which has concrete policy measures related to the EU's foreign relations.",,2021-01-20 15:34:00,False
"QE5. The European Union has designed a recovery plan of more than 800 billion euros, NextGenerationEU, to support the economy through grants and loans. How effective or not do you think that this measure can be to respond to the current economic challenges?",,129467,"The European Parliament adopted by 462 votes to 80, with 145 abstentions, a resolution on the general guidelines for the preparation of the 2022 budget, Section III - Commission.
Parliament wants to set up a recovery budget in 2022 after the COVID-19 crisis that will allow the EU to boost investment and tackle unemployment, foster the digital and green transition, focus on a strong European Health Union, promote an inclusive recovery, focusing in particular on the younger generation, and ensure a safe and prosperous environment for EU citizens.
Concerned by the severe and long-lasting consequences of the crisis on SMEs, Members intend to secure sufficient funding for them through various EU programmes. They called…",0.6645750999450684,83c8cea4bd5d1e800f7001c84056ad61a51cab7a8fe4fb51c621d158c6fd61df,False,"The survey question asks about the effectiveness of a specific recovery plan, while the vote is about the general guidelines for the preparation of the 2022 budget, which includes but does not directly match the specific recovery plan mentioned in the survey.",opinion_forward,The question asks for citizens' opinion about what the EU SHOULD do (policy preference that parliament could act on),substantive,The vote is on a substantive policy action related to the preparation of the 2022 EU budget and recovery measures after the COVID-19 crisis,,2021-03-25 18:27:00,False
QA14 The Coronavirus crisis made you reflect on the future of the European Union:,,116295,"The European Parliament adopted by 526 votes to 105, with 50 abstentions, a resolution on the EU’s public health strategy post-COVID-19.
The text adopted in plenary was tabled as a joint resolution by the EPP, S&D, Renew, Greens/EFA and GUE/NGL groups.
COVID-19 has highlighted the fact that the European Union does not have strong enough tools to deal with a health emergency such as the spread of a novel infectious disease, which by its nature knows no borders. The outbreak exposed the difference in capacity between the Member States’ healthcare systems, and demonstrated that, in circumstances where an unexpected health threat emerges, some Member States may become reliant on their neighbouring countries having sufficiently resilient systems…",0.6599072813987732,40528985d26febe818aad860f7342b0eb5e25fd0c3ec872999e807479ea49ef2,False,The survey question is too broad and the vote does not directly map to a yes/no position on this vote,opinion_forward,"The question asks for citizens' opinion about the future of the EU, which is forward-looking.",substantive,"The vote is on a public health strategy post-COVID-19, which is a real policy decision citizens would care about.",,2020-07-10 17:11:00,False
QA31 And what should the European Union now prioritise in its response to the Coronavirus pandemic? MAX. 3 ANSWERS,,127028,"The European Parliament adopted by 340 votes to 100, 245 abstentions, a resolution on the implementation of the Common Foreign and Security Policy – annual report 2020.
Parliament stressed that the COVID-19 pandemic is a wake-up call for the need for a stronger, more autonomous, more united and assertive foreign and security policy. If the EU wants to play a leading role on the international scene, it should defend and develop a rules based international order which guarantees multilateralism, democracy and human rights, and to promote its values and interests more decisively worldwide. To achieve this, the EU first has to successfully assist its partners in the immediate neighbourhood…",0.6567651033401489,7ceb1bbd287e9b8485a266d734032159e2c292d593acc8b3f086161cce25c132,False,"The survey question is about the EU's response to the Coronavirus pandemic, while the vote is about the implementation of the Common Foreign and Security Policy annual report 2020, which does not directly match the specific topic of the survey.",opinion_forward,"The question asks for citizens' opinion about what the EU should prioritize in its response to the Coronavirus pandemic, which is a forward-looking opinion.",substantive,"The vote is on a substantive policy action as it concerns the implementation of the Common Foreign and Security Policy, which has concrete policy measures related to the EU's foreign relations.",,2021-01-20 15:34:00,False
QA6.4 To what extent do you agree or disagree with the following statements about the Conference on the Future of Europe:-The Conference should deal in priority with how the EU could better handle crises such as the coronavirus outbreak,,115400,"COVID-19 has brought the EU’s institutional shortcomings to the surface
Council needs to adopt a sensible position in the immediate future and commit to Conference-driven reforms",0.6564854979515076,618969d2177ddc9e33085f0096461a5111c3d7e7b6aec9541ae41920eb9fa176,False,"The survey question asks about the Conference on the Future of Europe dealing with crises like COVID-19, while the vote summary discusses the EU's institutional shortcomings and reforms, but it does not directly address a specific action or legislation related to handling the coronavirus outbreak.",opinion_forward,"The question asks for citizens' opinion about what the EU should do in handling crises, specifically the coronavirus outbreak.",substantive,"Discusses institutional shortcomings and reforms related to COVID-19, which are substantive policy matters.",,2020-06-18 12:56:00,False
"QA15. The European Union has designed a recovery plan of 750 billion euros, NextGenerationEU, to support the economy through grants and loans. How effective or not do you think that this measure is to respond to the economic effects of the coronavirus pandemic?   ",,129467,"The European Parliament adopted by 462 votes to 80, with 145 abstentions, a resolution on the general guidelines for the preparation of the 2022 budget, Section III - Commission.
Parliament wants to set up a recovery budget in 2022 after the COVID-19 crisis that will allow the EU to boost investment and tackle unemployment, foster the digital and green transition, focus on a strong European Health Union, promote an inclusive recovery, focusing in particular on the younger generation, and ensure a safe and prosperous environment for EU citizens.
Concerned by the severe and long-lasting consequences of the crisis on SMEs, Members intend to secure sufficient funding for them through various EU programmes. They called…",0.6546270251274109,ef5b5e9a28d95eb81c4f4c9b3054311d8871877cb111b395f4b790f373510704,True,"The survey asks about the effectiveness of a specific recovery plan, and the vote acts on the same specific topic by discussing the preparation of the 2022 budget for the recovery plan",opinion_forward,The question asks for citizens' opinion about what the EU SHOULD do in response to the economic effects of the coronavirus pandemic.,substantive,The vote is on a substantive policy action related to the preparation of the 2022 EU budget and recovery measures after the COVID-19 crisis,,2021-03-25 18:27:00,False
"QC2. Thinking about the EU's response to the coronavirus pandemic, to what extent do you trust the EU or not to make the right decisions in the future?",,115400,"COVID-19 has brought the EU’s institutional shortcomings to the surface
Council needs to adopt a sensible position in the immediate future and commit to Conference-driven reforms",0.654285192489624,fe1e6e5dae90c0227fc11e3f15f8f63b637d35630fdcbf3d6562a8d90edf8549,False,"The survey question asks about trust in the EU's future decisions regarding the coronavirus pandemic, while the vote summary discusses institutional shortcomings and reforms, not a specific action or decision on the pandemic itself.",opinion_forward,The question asks for citizens' forward-looking opinion about what the EU should do in future regarding the coronavirus pandemic.,substantive,"Discusses institutional shortcomings and reforms related to COVID-19, which are substantive policy matters.",,2020-06-18 12:56:00,False
QA11. And what should the European Union now prioritise in its response to the coronavirus pandemic? (MAX. 3 ANSWERS) ,,127028,"The European Parliament adopted by 340 votes to 100, 245 abstentions, a resolution on the implementation of the Common Foreign and Security Policy – annual report 2020.
Parliament stressed that the COVID-19 pandemic is a wake-up call for the need for a stronger, more autonomous, more united and assertive foreign and security policy. If the EU wants to play a leading role on the international scene, it should defend and develop a rules based international order which guarantees multilateralism, democracy and human rights, and to promote its values and interests more decisively worldwide. To achieve this, the EU first has to successfully assist its partners in the immediate neighbourhood…",0.6539244055747986,ac763a3657aedcda0edb892c76badd34df8dc860fa0a32c4b2c43981fcb41361,False,"The survey question is about prioritizing the EU's response to the coronavirus pandemic, while the vote is about the implementation of the Common Foreign and Security Policy – annual report 2020, which does not directly match the specific topic of the survey.",opinion_forward,"The question asks for citizens' opinion about what the EU should prioritize in its response to the coronavirus pandemic, which is a forward-looking opinion.",substantive,"The vote is on a substantive policy action as it concerns the implementation of the Common Foreign and Security Policy, which has concrete policy measures related to the EU's foreign relations.",,2021-01-20 15:34:00,False
QA28 To what extent do you agree with the following statement: the EU should have more competences to deal with crises such as the Coronavirus outbreak?,,116295,"The European Parliament adopted by 526 votes to 105, with 50 abstentions, a resolution on the EU’s public health strategy post-COVID-19.
The text adopted in plenary was tabled as a joint resolution by the EPP, S&D, Renew, Greens/EFA and GUE/NGL groups.
COVID-19 has highlighted the fact that the European Union does not have strong enough tools to deal with a health emergency such as the spread of a novel infectious disease, which by its nature knows no borders. The outbreak exposed the difference in capacity between the Member States’ healthcare systems, and demonstrated that, in circumstances where an unexpected health threat emerges, some Member States may become reliant on their neighbouring countries having sufficiently resilient systems…",0.6509594917297363,5ba7ccf26c9a9e7c8885e3e730b86f414c3316ef35afa6e7f731c29b8b92e6b6,True,"The survey asks about the EU's competences to deal with crises such as the Coronavirus outbreak. The vote is on a resolution for the EU’s public health strategy post-COVID-19, which directly addresses the same specific topic.",opinion_forward,"The question asks for citizens' opinion about what the EU should do in the future, specifically regarding competences to deal with crises such as the Coronavirus outbreak.",substantive,"The vote is on a public health strategy post-COVID-19, which is a real policy decision citizens would care about.",,2020-07-10 17:11:00,False
"QC2. Thinking about the EU's response to the coronavirus pandemic, to what extent do you trust the EU or not to make the right decisions in the future?",,125484,"The European Parliament adopted by 593 votes to 50, with 50 abstentions, a resolution on the EU Trade Policy Review.
Following the COVID-19 outbreak in 2020 global supply chains and production lines have been disrupted, bringing to the fore the fact that the EU is dependent on non-EU sources, especially for some strategic sectors such as the medical and the pharmaceutical sectors. According to the resolution, the EU was already lagging behind other economies in terms of competitiveness before the pandemic. The disruption to international trade resulting from the COVID-19 pandemic has now exacerbated already significant economic losses.
The EU’s trade policy review is taking place at a time when globally many politically-steered actions are…",0.650854766368866,6e937efcfb660dab61d92e08c85d859594d38bb3c9c0161fd86b993e8f18d91a,False,"The survey question is about trust in the EU's response to the coronavirus pandemic, while the vote is about the EU Trade Policy Review which does not directly relate to the pandemic response.",opinion_forward,The question asks for citizens' forward-looking opinion about what the EU should do in future regarding the coronavirus pandemic.,substantive,The vote is on a substantive policy action related to the EU Trade Policy Review and its impact on the competitiveness of the EU in strategic sectors.,,,False
"QA12. Thinking about EU’s response to the coronavirus pandemic, to what extent do you trust or not the EU to make the right decisions in the future?   ",,116295,"The European Parliament adopted by 526 votes to 105, with 50 abstentions, a resolution on the EU’s public health strategy post-COVID-19.
The text adopted in plenary was tabled as a joint resolution by the EPP, S&D, Renew, Greens/EFA and GUE/NGL groups.
COVID-19 has highlighted the fact that the European Union does not have strong enough tools to deal with a health emergency such as the spread of a novel infectious disease, which by its nature knows no borders. The outbreak exposed the difference in capacity between the Member States’ healthcare systems, and demonstrated that, in circumstances where an unexpected health threat emerges, some Member States may become reliant on their neighbouring countries having sufficiently resilient systems…",0.6474257707595825,eb3ec53499290a85fb1c98c27667fa3c3dd02d0c8e02dadb10a59af5c878ee2a,False,"The survey question asks about trust in the EU to make the right decisions in general regarding the coronavirus pandemic, while the vote is about adopting a resolution on the EU’s public health strategy post-COVID-19. The two are related but not directly matching as the survey question does not ask about specific actions or decisions.",opinion_forward,The question asks for citizens' forward-looking opinion about what the EU should do in future regarding the coronavirus pandemic,substantive,"The vote is on a public health strategy post-COVID-19, which is a real policy decision citizens would care about.",,2020-07-10 17:11:00,False
"QA15. The European Union has designed a recovery plan of 750 billion euros, NextGenerationEU, to support the economy through grants and loans. How effective or not do you think that this measure is to respond to the economic effects of the coronavirus pandemic?   ",,134333,"The European Parliament adopted by 443 votes to 40, with 209 abstentions, a resolution on the role of the EU’s development cooperation and humanitarian assistance in addressing the consequences of the COVID-19 pandemic.
COVID-19 is a global pandemic affecting every country in the world but the economic and social impact of the pandemic has been felt most strongly in developing countries. The pandemic has greatly exacerbated the existing debt problems of developing countries, undermining their efforts to mobilise sufficient resources to achieve the Sustainable Development Goals (SDGs).
The economic consequences of the measures taken to tackle the COVID-19 pandemic in developing countries will exacerbate existing inequalities and…",0.6469561457633972,5ae4b70d2d726048be654dc6b2a84e328c38730e971d15c20e9059ff4c542592,False,"The survey question is about the effectiveness of a recovery plan for the EU economy, while the vote is about the role of EU's development cooperation and humanitarian assistance in addressing the consequences of COVID-19 pandemic in developing countries.",opinion_forward,The question asks for citizens' opinion about what the EU SHOULD do in response to the economic effects of the coronavirus pandemic.,substantive,"The vote is on a resolution addressing the consequences of the COVID-19 pandemic in developing countries, which is a real policy decision citizens might care about.",,2021-06-23 19:50:00,False
"QC1.3. In general, how satisfied are you with the measures taken to fight the coronavirus pandemic by….? :-The European Union",,130848,"The European Parliament adopted by 616 votes to 29, with 45 abstentions, a resolution on the accessibility and affordability of COVID testing.
The text adopted in plenary was tabled by the EPP, S&D, Renew, Greens/EFA, ECR, The Left groups.
The resolution highlighted that effective testing is considered as a decisive tool to contain the spread of SARS-CoV-2 and its variants of concern, detect infections and limit isolation and quarantine measures, and will continue to play a key role in facilitating the free movement of people and to ensure cross-border transport and cross-border provision of services during the pandemic.
The accessibility and affordability of these tests differs greatly between the Member States, especially when it comes to…",0.6465691924095154,3bce03c42ea9d98c36f8bfbca1d7a893ab2c9c7bf8a5ed47e6ca24b7130ce7a0,False,"The survey asks about satisfaction with measures taken by the EU in general to fight the coronavirus pandemic, while the vote is specifically about the accessibility and affordability of COVID testing.",opinion_forward,"The question asks for citizens' opinion about the measures taken by the EU to fight the coronavirus pandemic, which can be considered a forward-looking opinion about what the EU should do in this specific context.",substantive,The vote is on a substantive policy action related to the accessibility and affordability of COVID testing.,,2021-04-29 15:47:00,False
"Q2a_4 Here is a list of possible reasons for getting vaccinated against COVID-19. For each of them, please indicate how important it is/it was in your own decision. The Covid-19 vaccine will make it possible for me to resume a more normal professional life | Base: If ""As soon as possible"", ""Some time in 2021"" or ""I have already been vaccinated"" in Q1",,117283,"Virus might stay active for several months, until an efficient and safe vaccine is supplied
Common definition needed for a positive COVID-19 case, for a death by COVID-19 and for recovery from infection
Influenza season likely to increase the number of people who should be tested",0.6426745057106018,9a2fef50dd664433b092178b45f1189fcf910372f63b3a2371c282ee9e27ecb3,False,"The survey question is about reasons for getting vaccinated against COVID-19, while the vote summary discusses topics related to the pandemic but not directly linked to vaccination decisions.",opinion_forward,"The question asks for citizens' opinion on what makes the Covid-19 vaccine important in their decision to resume a more normal professional life, which is forward-looking.",substantive,This vote concerns a substantive policy action related to COVID-19 response and health measures,,2020-09-17 14:54:00,False
"Q1_2 Generally speaking, do you think that…? Having the euro is a good or bad thing for the EU. | Base: All",,129471,"The European Parliament adopted by 494 votes to 94, with 100 abstentions, a resolution on strengthening the international role of the euro.
Despite the economic weight of the euro area and its influence in world trade, the use of the euro lags considerably behind that of the US dollar as a store of value and as an invoicing currency, but is close to that of the dollar in terms of the proportion of international payments. The euro remains the second most important currency in the international monetary system but its global potential has not yet been fully realised.
Despite the euro area’s economic size and influence in global trade, the euro lags behind the US dollar by a wide margin in terms of its use as an international reserve currency…",0.6426538228988647,7ee2cade2b175f3749ba8fe99521960f879b0c7beb11e4e628e3a4d44d1b5ee6,False,"The survey question is about the overall value of having the euro in the EU, while the vote is about strengthening the international role of the euro. The two are related but not directly matching as the survey does not ask specifically about the international role of the euro.",opinion_forward,"The question asks for citizens' opinion about the EU SHOULD do (whether having the euro is good or bad), which falls under FORWARD-LOOKING OPINION.",substantive,The vote is on a substantive policy action related to strengthening the international role of the euro.,,2021-03-25 18:27:00,False
"Q1_1 Generally speaking, do you think that…? Having the euro is a good or a bad thing for your country. | Base: All",,129471,"The European Parliament adopted by 494 votes to 94, with 100 abstentions, a resolution on strengthening the international role of the euro.
Despite the economic weight of the euro area and its influence in world trade, the use of the euro lags considerably behind that of the US dollar as a store of value and as an invoicing currency, but is close to that of the dollar in terms of the proportion of international payments. The euro remains the second most important currency in the international monetary system but its global potential has not yet been fully realised.
Despite the euro area’s economic size and influence in global trade, the euro lags behind the US dollar by a wide margin in terms of its use as an international reserve currency…",0.6386836767196655,590be921a10fb1b583529b293113151eb65551fbfc14ed48a779570faf959550,False,"The survey question is about the euro as a good or bad thing for the respondent's country, while the vote is about strengthening the international role of the euro. The two are not directly linked.",opinion_forward,"The question asks for citizens' opinion about the impact of having the euro on their country, which can be considered a forward-looking opinion.",substantive,The vote is on a substantive policy action related to strengthening the international role of the euro.,,2021-03-25 18:27:00,False
Q8_3 Do you think that the euro...? Has made it easier to do business in different EU countries | Base: All,,129471,"The European Parliament adopted by 494 votes to 94, with 100 abstentions, a resolution on strengthening the international role of the euro.
Despite the economic weight of the euro area and its influence in world trade, the use of the euro lags considerably behind that of the US dollar as a store of value and as an invoicing currency, but is close to that of the dollar in terms of the proportion of international payments. The euro remains the second most important currency in the international monetary system but its global potential has not yet been fully realised.
Despite the euro area’s economic size and influence in global trade, the euro lags behind the US dollar by a wide margin in terms of its use as an international reserve currency…",0.635651171207428,663afd0b6b270a6705ac6498a73dbb664abf38d38980baccedf4bfdb362e44bd,False,"The survey question is about the ease of doing business in different EU countries, while the vote is about strengthening the international role of the euro, which is a broader and different topic.",opinion_forward,"The question asks for citizens' opinion about the impact of the euro on doing business in different EU countries, which can be considered a forward-looking opinion.",substantive,The vote is on a substantive policy action related to strengthening the international role of the euro.,,2021-03-25 18:27:00,False
