question_id,question_clean,question_original,survey_file,survey_date,vote_id,vote_summary_original,vote_date,days_between,similarity_score,source,vote_summary_clean
testii6,How likely is it that governments in enough countries will take action to reduce climate change?,"How likely, governments in enough countries take action to reduce climate change: STILL CARD 87And how likely do you think it is that governments in enough countries will take action that reduces climate change?",ESS10e03_3,2020-06-01,126261,"The European Parliament adopted by 550 votes to 80, with 59 abstentions, a resolution on the EU strategy on adaptation to climate change.
According to estimates by the European Environment Agency (EEA), extreme weather and climate events accounted for EUR 426 billion in monetary terms in the EU-28 over the period 1980-2017. Damage costs from climate change are expected to be high, even if the Paris Agreement is implemented. Only an ambitious global mitigation policy can significantly reduce clim",2020-12-17,199,0.5796912908554077,ESS,"The European Parliament passed a resolution, with 550 votes in favor and 80 against, focusing on enhancing the EU's strategy for adapting to climate change. The strategy aims to address the estimated EUR 426 billion in damages from extreme weather events over 1980-2017, with costs expected to remain high despite Paris Agreement implementation. An ambitious global mitigation policy is sought to reduce climate change impacts significantly. The resolution emphasizes a stronger focus and greater attention to adaptation within the European Green Deal."
testic35,How likely is it that many people will voluntarily reduce their energy use to combat climate change?,"How likely, large numbers of people limit energy use: STILL CARD 32How likely do you think it is that large numbers of people will actually limit their energy use to try to reduce climate change?",ESS10e03_3,2020-06-01,147705,"Share of renewable energy to be raised to 45% by 2030
Energy savings targets increased to 40% of final energy consumption, and 42.5% of primary energy consumption
Revision of two laws will help fight climate change and boost energy security",2022-09-14,835,0.5793453454971313,ESS,"The European Parliament voted to increase the share of renewable energy to 45% by 2030 and set higher energy savings targets (40% for final consumption, 42.5% for primary consumption), aiming to combat climate change and enhance energy security."
testii3,How likely is it that governments in enough countries will take action to reduce climate change?,"How likely, governments in enough countries take action to reduce climate change: STILL CARD 86And how likely do you think it is that governments  in enough countries will take action that reduces climate change?",ESS10e03_3,2020-06-01,126261,"The European Parliament adopted by 550 votes to 80, with 59 abstentions, a resolution on the EU strategy on adaptation to climate change.
According to estimates by the European Environment Agency (EEA), extreme weather and climate events accounted for EUR 426 billion in monetary terms in the EU-28 over the period 1980-2017. Damage costs from climate change are expected to be high, even if the Paris Agreement is implemented. Only an ambitious global mitigation policy can significantly reduce clim",2020-12-17,199,0.5786781311035156,ESS,"The European Parliament passed a resolution, with 550 votes in favor and 80 against, focusing on enhancing the EU's strategy for adapting to climate change. The strategy aims to address the estimated EUR 426 billion in damages from extreme weather events over 1980-2017, with costs expected to remain high despite Paris Agreement implementation. An ambitious global mitigation policy is sought to reduce climate change impacts significantly. The resolution emphasizes a stronger focus and greater attention to adaptation within the European Green Deal."
getavc19,"Will you get vaccinated against COVID-19 with a vaccine approved by the national regulatory authority in [country], if it is available to the public and you haven't already had both doses? If you've already had a first dose, select 'Yes, I already have.'","Whether respondent will get vaccinated against COVID-19 with vaccine approved by the national regulatory authority in country: ASK ALL
ASK IF VACCINE APPROVED AND AVAILABLE TO THE PUBLIC (IF K20CHECK = 1)Will you get vaccinated against coronavirus with a vaccine that was approved by the national regulatory authority in [country]?INTERVIEWER: If respondent says they have only received a first dose of the vaccine, select 'Yes, I already have'.",ESS10e03_3,2020-06-01,136905,"The European Parliament adopted by 458 votes to 149, with 86 abstentions, a resolution on EU transparency in the development, purchase and distribution of COVID-19 vaccines.
The resolution underlined that the handling of the COVID-19 pandemic is a trust test for all Member States and EU institutions that will inform the response to possible future public health emergencies. Full transparency regarding all details of research into and the development, purchase and distribution of COVID-19 vaccine",2021-10-21,507,0.5777410268783569,ESS,"The European Parliament passed a resolution, 458-149, urging full transparency in EU COVID-19 vaccine development, purchase, and distribution to boost citizens' trust. This is seen as crucial for future public health emergencies."
gvbalc19,How do you think the government balanced protecting the economy and people's health during the COVID-19 response in [country]? (Scale provided),How the government balanced protecting the economy and people's health when responding to COVID-19 in country: CARD 95There are different views on how the [country] government balanced protecting the economy and protecting people's health when responding to the coronavirus pandemic. Please say how you think the [country] government responded using the scale on this card.,ESS10e03_3,2020-06-01,134333,"The European Parliament adopted by 443 votes to 40, with 209 abstentions, a resolution on the role of the EU’s development cooperation and humanitarian assistance in addressing the consequences of the COVID-19 pandemic.
COVID-19 is a global pandemic affecting every country in the world but the economic and social impact of the pandemic has been felt most strongly in developing countries. The pandemic has greatly exacerbated the existing debt problems of developing countries, undermining their ef",2021-06-23,387,0.5776651501655579,ESS,"The European Parliament passed a resolution (443 votes, 40 against, 209 abstentions) to address the impact of COVID-19 on developing countries. The pandemic has worsened debt problems in these nations, hindering their progress towards Sustainable Development Goals (SDGs). The economic fallout from anti-COVID measures risks increasing global inequalities."
eusclbf,Do you support or oppose a European Union-wide social benefit scheme for all poor people? (Details provided in highlighted box.),"Against or In favour of European Union-wide social benefit scheme: CARD 55It has been proposed that there should be a European Union-wide social benefit scheme for all poor people. In a moment I will ask you to tell me whether you are against or in favour of this scheme. First, look at the highlighted box at the top of this card, which shows the main features of the scheme. A European Union-wide social benefit scheme includes all of the following: ...READ OUT...- The purpose is to guarantee a minimum standard of living for all poor people in the European Union. - The level of social benefit people receive will be adjusted to reflect the cost of living in their country. - The scheme would require richer European Union countries to pay more into such a scheme than poorer European Union countries. INTERVIEWER: PAUSE TO GIVE THE RESPONDENT TIME TO READ CARD. Overall, would you be against or in favour of having such a European Union-wide social benefit scheme?Please choose your answer from the options at the bottom of the card.",ESS8e02_3,2016-06-01,171280,"The European Parliament adopted by 480 votes to 148, with 20 abstentions, a decision on setting up a special committee on the Housing Crisis in the European Union, and defining its responsibilities, numerical strength and term of office.
Members recalled that the European Pillar of Social Rights states that access to social housing or housing assistance of good quality is to be provided for those in need and this is to be implemented at both Union and national level within their respective compe",2024-12-18,3122,0.5757596492767334,ESS,"The European Parliament approved the establishment of a special committee on the EU Housing Crisis, aiming to address the shortage of affordable homes affecting various income groups. This action aligns with the European Pillar of Social Rights, emphasizing the provision of quality housing for those in need at both Union and national levels."
gvsrdcc,How likely is it that governments in enough countries will take action to reduce climate change?,"How likely, governments in enough countries take action to reduce climate change: STILL CARD 43And how likely do you think it is that governments in enough countries will take action that reduces climate change?",ESS8e02_3,2016-06-01,126261,"The European Parliament adopted by 550 votes to 80, with 59 abstentions, a resolution on the EU strategy on adaptation to climate change.
According to estimates by the European Environment Agency (EEA), extreme weather and climate events accounted for EUR 426 billion in monetary terms in the EU-28 over the period 1980-2017. Damage costs from climate change are expected to be high, even if the Paris Agreement is implemented. Only an ambitious global mitigation policy can significantly reduce clim",2020-12-17,1660,0.5750142931938171,ESS,"The European Parliament passed a resolution, with 550 votes in favor and 80 against, focusing on enhancing the EU's strategy for adapting to climate change. The strategy aims to address the estimated EUR 426 billion in damages from extreme weather events over 1980-2017, with costs expected to remain high despite Paris Agreement implementation. An ambitious global mitigation policy is sought to reduce climate change impacts significantly. The resolution emphasizes a stronger focus and greater attention to adaptation within the European Green Deal."
testic38,How likely is it that many people will voluntarily reduce their energy use to combat climate change?,"How likely, large numbers of people limit energy use: STILL CARD 33How likely do you think it is that large numbers of people will actually limit their energy use to try to reduce climate change?",ESS10e03_3,2020-06-01,147705,"Share of renewable energy to be raised to 45% by 2030
Energy savings targets increased to 40% of final energy consumption, and 42.5% of primary energy consumption
Revision of two laws will help fight climate change and boost energy security",2022-09-14,835,0.574607253074646,ESS,"The European Parliament voted to increase the share of renewable energy to 45% by 2030 and set higher energy savings targets (40% for final consumption, 42.5% for primary consumption), aiming to combat climate change and enhance energy security."
testii4,How likely is it that limiting energy use by many people could help reduce climate change? (If C33 = 2),"Imagine large numbers of people limit energy use, how likely reduce climate change: ASK IF GROUP 2 AT C33 (IF C33 = 2)
To help us improve our questions in the future, here are some questions which are similar to previous ones. Please don’t try to remember what you answered before but treat them as if they  were completely new questions.
CARD 87Now imagine that large numbers of people limited their energy use. How likely do you think it is that this would reduce climate change?",ESS10e03_3,2020-06-01,147705,"Share of renewable energy to be raised to 45% by 2030
Energy savings targets increased to 40% of final energy consumption, and 42.5% of primary energy consumption
Revision of two laws will help fight climate change and boost energy security",2022-09-14,835,0.5744733810424805,ESS,"The European Parliament voted to increase the share of renewable energy to 45% by 2030 and set higher energy savings targets (40% for final consumption, 42.5% for primary consumption), aiming to combat climate change and enhance energy security."
testii9,How likely is it that governments in enough countries will take action to reduce climate change?,"How likely, governments in enough countries take action to reduce climate change: STILL CARD 88And how likely do you think it is that governments  in enough countries will take action that reduces climate change?",ESS10e03_3,2020-06-01,126261,"The European Parliament adopted by 550 votes to 80, with 59 abstentions, a resolution on the EU strategy on adaptation to climate change.
According to estimates by the European Environment Agency (EEA), extreme weather and climate events accounted for EUR 426 billion in monetary terms in the EU-28 over the period 1980-2017. Damage costs from climate change are expected to be high, even if the Paris Agreement is implemented. Only an ambitious global mitigation policy can significantly reduce clim",2020-12-17,199,0.5744389295578003,ESS,"The European Parliament passed a resolution, with 550 votes in favor and 80 against, focusing on enhancing the EU's strategy for adapting to climate change. The strategy aims to address the estimated EUR 426 billion in damages from extreme weather events over 1980-2017, with costs expected to remain high despite Paris Agreement implementation. An ambitious global mitigation policy is sought to reduce climate change impacts significantly. The resolution emphasizes a stronger focus and greater attention to adaptation within the European Green Deal."
testic41,How likely is it that many people will voluntarily reduce their energy use to combat climate change?,"How likely, large numbers of people limit energy use: STILL CARD 34How likely do you think it is that large numbers of people will actually limit their energy use to try to reduce climate change?",ESS10e03_3,2020-06-01,147705,"Share of renewable energy to be raised to 45% by 2030
Energy savings targets increased to 40% of final energy consumption, and 42.5% of primary energy consumption
Revision of two laws will help fight climate change and boost energy security",2022-09-14,835,0.5738343596458435,ESS,"The European Parliament voted to increase the share of renewable energy to 45% by 2030 and set higher energy savings targets (40% for final consumption, 42.5% for primary consumption), aiming to combat climate change and enhance energy security."
ownrdcc,How likely does limiting personal energy use help in reducing climate change?,"How likely, limiting own energy use reduce climate change: STILL CARD 43How likely do you think it is that limiting your own energy use would help reduce climate change?",ESS8e02_3,2016-06-01,156757,"Energy efficiency directive sets new savings targets for 2030
11,7% reduction in energy consumption at EU level
New law will help fight climate change and boost energy security",2023-07-11,2596,0.5729086995124817,ESS,"The Energy Efficiency Directive was approved, aiming for a 11.7% reduction in EU-level energy consumption by 2030. This move aims to combat climate change and enhance energy security."
testic42,How likely is it that governments in enough countries will take action to reduce climate change?,"How likely, governments in enough countries take action to reduce climate change: STILL CARD 34And how likely do you think it is that governments in enough countries will take action that reduces climate change?",ESS10e03_3,2020-06-01,126261,"The European Parliament adopted by 550 votes to 80, with 59 abstentions, a resolution on the EU strategy on adaptation to climate change.
According to estimates by the European Environment Agency (EEA), extreme weather and climate events accounted for EUR 426 billion in monetary terms in the EU-28 over the period 1980-2017. Damage costs from climate change are expected to be high, even if the Paris Agreement is implemented. Only an ambitious global mitigation policy can significantly reduce clim",2020-12-17,199,0.5723353028297424,ESS,"The European Parliament passed a resolution, with 550 votes in favor and 80 against, focusing on enhancing the EU's strategy for adapting to climate change. The strategy aims to address the estimated EUR 426 billion in damages from extreme weather events over 1980-2017, with costs expected to remain high despite Paris Agreement implementation. An ambitious global mitigation policy is sought to reduce climate change impacts significantly. The resolution emphasizes a stronger focus and greater attention to adaptation within the European Green Deal."
gvconc19,Do you believe that COVID-19 is a result of deliberate and concealed actions by certain governments or organizations?,"COVID-19 is result of deliberate and concealed efforts of some government or organisation: CARD 97
Using this card, please tell me how much you agree or disagree with the following statement.Coronavirus is the result of deliberate and concealed efforts of some government or organisation",ESS10e03_3,2020-06-01,146601,"The European Parliament adopted by 437 votes to 94, with 39 abstentions, a resolution on the protection of the European Union’s financial interests – combating fraud – annual report 2020.
The annual report on the protection of the European Union's financial interests and the fight against fraud in 2020 (PIF report) highlights the risks associated with the COVID-19 pandemic, both in terms of revenue and expenditure. Indeed, COVID-19 is likely to offer new opportunities to fraudsters, due to the i",2022-07-07,766,0.5723201036453247,ESS,"The European Parliament passed a resolution (437-94) emphasizing the need for enhanced financial protection against fraud, particularly amid COVID-19, urging all Member States to maintain strict control over emergency spending."
keydec,Is it more important for key decisions to be made by national governments or the European Union for the sake of democracy in general?,"Key decisions are made by national governments rather than the European Union: STILL CARD 35And still thinking generally rather than about [country], how important do you think it is for democracy in general... ...that key decisions are made by national governments rather than the European Union?READ OUT...",ESS10e03_3,2020-06-01,154226,"The European Parliament adopted by 494 votes to 76, with 76 abstentions, a resolution on institutional relations between the European Union and the Council of Europe.
Parliament considers it necessary to strengthen institutional cooperation between the EU and the Council of Europe and to give new impetus to bilateral cooperation in the field of promoting and defending democracy, the rule of law, fundamental and human rights, including minority rights.
As the EU has gradually developed into a pol",2023-04-18,1051,0.5721206665039062,ESS,"The European Parliament passed a resolution (494-76) to strengthen cooperation between the EU and Council of Europe, focusing on democracy, rule of law, human rights, and minority rights. The aim is to avoid overlap as both organizations' activities increasingly intersect due to the EU's political union development."
testjc36,How likely is it that governments in enough countries will take action to reduce climate change?,"How likely, governments in enough countries take action to reduce climate change: STILL CARD 30And how likely do you think it is that governments in enough countries40 will take action that reduces climate change?",ESS11e04_1,2023-06-01,181375,"The European Parliament adopted by 379 votes to 248, with 10 abstentions, amendments to the proposal for a regulation of the European Parliament and of the Council amending Regulation (EU) 2021/1119 establishing the framework required to achieve climate neutrality.
The issue has been referred back to the committee responsible for interinstitutional negotiations.
Parliament supports the proposal to amend the European Climate Law, which sets a binding EU climate target for 2040 of reducing net gre",2025-11-13,896,0.5720094442367554,ESS,"The European Parliament passed an amendment to strengthen climate neutrality goals, aiming for a 90% reduction in greenhouse gas emissions by 2040 compared to 1990 levels. Further discussions on post-2030 targets are ongoing."
banhhap,Are you in favor of banning the sale of least energy-efficient household appliances to help reduce climate change in [country]?,Favour ban sale of least energy efficient household appliances to reduce climate change: ASK ALL CARD 44To what extent are you in favour or against the following policies in [country] to reduce climate change? A law banning the sale of the least energy efficient household appliances.READ OUT EACH STATEMENT AND CODE IN GRID,ESS8e02_3,2016-06-01,156757,"Energy efficiency directive sets new savings targets for 2030
11,7% reduction in energy consumption at EU level
New law will help fight climate change and boost energy security",2023-07-11,2596,0.5712570548057556,ESS,"The Energy Efficiency Directive was approved, aiming for a 11.7% reduction in EU-level energy consumption by 2030. This move aims to combat climate change and enhance energy security."
testic39,How likely is it that governments in enough countries will take action to reduce climate change?,"How likely, governments in enough countries take action to reduce climate change: STILL CARD 33And how likely do you think it is that governments  in enough countries will take action that reduces climate change?",ESS10e03_3,2020-06-01,126261,"The European Parliament adopted by 550 votes to 80, with 59 abstentions, a resolution on the EU strategy on adaptation to climate change.
According to estimates by the European Environment Agency (EEA), extreme weather and climate events accounted for EUR 426 billion in monetary terms in the EU-28 over the period 1980-2017. Damage costs from climate change are expected to be high, even if the Paris Agreement is implemented. Only an ambitious global mitigation policy can significantly reduce clim",2020-12-17,199,0.570423424243927,ESS,"The European Parliament passed a resolution, with 550 votes in favor and 80 against, focusing on enhancing the EU's strategy for adapting to climate change. The strategy aims to address the estimated EUR 426 billion in damages from extreme weather events over 1980-2017, with costs expected to remain high despite Paris Agreement implementation. An ambitious global mitigation policy is sought to reduce climate change impacts significantly. The resolution emphasizes a stronger focus and greater attention to adaptation within the European Green Deal."
sbsrnen,Do you support using public funds to subsidize renewable energy (like wind and solar) to help reduce climate change in [country]?,Favour subsidise renewable energy to reduce climate change: ASK ALL CARD 44To what extent are you in favour or against the following policies in [country] to reduce climate change? Using public money to subsidise renewable energy such as wind and solar power.READ OUT EACH STATEMENT AND CODE IN GRID,ESS8e02_3,2016-06-01,141284,"Energy infrastructure policy to help achieve climate neutrality goals
Funds should support hydrogen, and carbon capture and storage
Projects should also increase security of supply",2022-04-05,2134,0.5701631307601929,ESS,"The European Parliament voted to approve an energy infrastructure policy aimed at reaching climate neutrality. The policy focuses on funding for hydrogen and carbon capture and storage, as well as enhancing energy supply security."
testii7,How likely is it that limiting energy use by many people could help reduce climate change? (If C33 = 3),"Imagine large numbers of people limit energy use, how likely reduce climate change: ASK IF GROUP 3 AT C33 (IF C33 = 3) 
To help us improve our questions in the future, here are some questions which are similar to previous ones. Please don’t try to remember what you answered before but treat them as if they were completely new questions.
CARD 88Now imagine that large numbers of people limited their energy use. How likely do you think it is that this would reduce climate change?",ESS10e03_3,2020-06-01,147705,"Share of renewable energy to be raised to 45% by 2030
Energy savings targets increased to 40% of final energy consumption, and 42.5% of primary energy consumption
Revision of two laws will help fight climate change and boost energy security",2022-09-14,835,0.5691476464271545,ESS,"The European Parliament voted to increase the share of renewable energy to 45% by 2030 and set higher energy savings targets (40% for final consumption, 42.5% for primary consumption), aiming to combat climate change and enhance energy security."
testjc39,How likely is it that governments in enough countries will take action to reduce climate change?,"How likely, governments in enough countries take action to reduce climate change: STILL CARD 31And how likely do you think it is that governments in enough countries will take action that reduces climate change?",ESS11e04_1,2023-06-01,181375,"The European Parliament adopted by 379 votes to 248, with 10 abstentions, amendments to the proposal for a regulation of the European Parliament and of the Council amending Regulation (EU) 2021/1119 establishing the framework required to achieve climate neutrality.
The issue has been referred back to the committee responsible for interinstitutional negotiations.
Parliament supports the proposal to amend the European Climate Law, which sets a binding EU climate target for 2040 of reducing net gre",2025-11-13,896,0.5681689977645874,ESS,"The European Parliament passed an amendment to strengthen climate neutrality goals, aiming for a 90% reduction in greenhouse gas emissions by 2040 compared to 1990 levels. Further discussions on post-2030 targets are ongoing."
testjc42,How likely is it that governments in enough countries will take action to reduce climate change?,"How likely, governments in enough countries take action to reduce climate change: STILL CARD 32And how likely do you think it is that governments in enough countries will take action that reduces climate change?",ESS11e04_1,2023-06-01,181375,"The European Parliament adopted by 379 votes to 248, with 10 abstentions, amendments to the proposal for a regulation of the European Parliament and of the Council amending Regulation (EU) 2021/1119 establishing the framework required to achieve climate neutrality.
The issue has been referred back to the committee responsible for interinstitutional negotiations.
Parliament supports the proposal to amend the European Climate Law, which sets a binding EU climate target for 2040 of reducing net gre",2025-11-13,896,0.5678015351295471,ESS,"The European Parliament passed an amendment to strengthen climate neutrality goals, aiming for a 90% reduction in greenhouse gas emissions by 2040 compared to 1990 levels. Further discussions on post-2030 targets are ongoing."
testic36,How likely is it that governments in enough countries will take action to reduce climate change?,"How likely, governments in enough countries take action to reduce climate change: STILL CARD 32And how likely do you think it is that governments  in enough countries will take action that reduces climate change?",ESS10e03_3,2020-06-01,181375,"The European Parliament adopted by 379 votes to 248, with 10 abstentions, amendments to the proposal for a regulation of the European Parliament and of the Council amending Regulation (EU) 2021/1119 establishing the framework required to achieve climate neutrality.
The issue has been referred back to the committee responsible for interinstitutional negotiations.
Parliament supports the proposal to amend the European Climate Law, which sets a binding EU climate target for 2040 of reducing net gre",2025-11-13,1991,0.5678015351295471,ESS,"The European Parliament passed an amendment to strengthen climate neutrality goals, aiming for a 90% reduction in greenhouse gas emissions by 2040 compared to 1990 levels. Further discussions on post-2030 targets are ongoing."
wrclmch,How worried are you about climate change?,How worried about climate change: CARD 31How worried are you about climate change?,ESS11e04_1,2023-06-01,156426,"The European Parliament adopted by 395 votes to 109, with 31 abstentions, a resolution on a European Day for the victims of the global climate crisis.
The text adopted in plenary was tabled by the EPP, S&D, Renew, Greens/EFA and The Left groups.
Climate change is leading to more unpredictable weather phenomena, including more frequent and intense heatwaves, wildfires and floods, to threats to food, water safety and security, and to the emergence and spread of infectious diseases, which are inten",2023-06-15,14,0.5675241351127625,ESS,"The European Parliament passed a resolution, by 395 votes to 109, recognizing a European Day for victims of the global climate crisis. The text was proposed by multiple groups, including EPP, S&D, Renew, Greens/EFA, and The Left. This day aims to acknowledge the rising human toll from climate change-induced disasters such as heatwaves, wildfires, floods, and infectious diseases."
