vote_id,summary,summary_clean
110615,"The European Parliament adopted by 429 votes to 225, with 19 abstentions, a resolution on climate and environmental emergency.
The text adopted in plenary had been tabled as a joint resolution by the S&D, Renew and GUE/NGL groups.
Parliament declared a climatic and environmental emergency, considering that immediate and ambitious action is crucial to limiting global warming to 1.5ºC and avoiding a massive loss of biodiversity. It undertook to take urgent and concrete measures to combat and contain this threat before it is too late. It also called on the Commission, Member States and all global actors to do the same.
The new Commission to:
- assess the climate and environmental impact of all relevant legislative and budgetary proposals, and…","The European Parliament passed a resolution declaring a climate and environmental emergency, calling for immediate and ambitious action to limit global warming to 1.5°C and prevent biodiversity loss. The new Commission is tasked with assessing the climate and environmental impact of all legislative and budgetary proposals."
111134,"The European Parliament adopted by 454 votes to 148, with 102 abstentions, a resolution on the implementation of the common foreign and security policy (CFSP) - annual report.
In a context where the EU’s strategic environment is deteriorating, Parliament stressed that no single Member State is capable on its own of tackling any of the challenges facing the European continent today: armed conflicts on the eastern and southern borders of the European continent, terrorism - and in particular jihadism, cyber-attacks, foreign interference in European electoral processes, challenges to arms non-proliferation agreements, an increase in forced displacements and uncontrolled migration flows, tensions over Member States' energy supplies and climate…","The European Parliament passed a resolution, 454-148, emphasizing the need for collective action to address escalating challenges on the European continent, including armed conflicts, terrorism, cyber-attacks, electoral interference, arms proliferation, migration, energy tensions, and climate issues."
111599,"Thematic Agoras to involve citizens of all backgrounds from across Europe
Trigger EU reform in a bottom-up, transparent, inclusive, participatory and well-balanced approach
Allow for treaty change and establish permanent mechanism for citizen participation","A proposal to engage diverse European citizens in shaping the Union through Thematic Agoras, promoting bottom-up reform, transparency, inclusivity, and balanced participation, passed with a focus on potential treaty changes and establishing a permanent citizen participation mechanism."
116287,"More storage is needed to secure supply, as solar and wind have a variable electricity output
MEPs propose options to develop hydrogen and batteries
Decentralised storage should be promoted through home and car batteries","MEPs voted to explore hydrogen and battery storage options to ensure a stable energy supply, emphasizing the importance of decentralized storage using home and car batteries."
116295,"The European Parliament adopted by 526 votes to 105, with 50 abstentions, a resolution on the EU’s public health strategy post-COVID-19.
The text adopted in plenary was tabled as a joint resolution by the EPP, S&D, Renew, Greens/EFA and GUE/NGL groups.
COVID-19 has highlighted the fact that the European Union does not have strong enough tools to deal with a health emergency such as the spread of a novel infectious disease, which by its nature knows no borders. The outbreak exposed the difference in capacity between the Member States’ healthcare systems, and demonstrated that, in circumstances where an unexpected health threat emerges, some Member States may become reliant on their neighbouring countries having sufficiently resilient systems…","The European Parliament passed a resolution (526-105) to strengthen the EU's public health strategy post-COVID-19, highlighting the need for stronger tools to address cross-border health emergencies due to the interconnected nature of novel infectious diseases."
116401,"The European Parliament adopted by 465 votes to 150, with 67 abstentions, a resolution tabled by the EPP, S&D, Renew, Greens/EFA and GUE/NGL groups on the conclusions of the extraordinary European Council meeting of 17-21 July 2020.
Members welcomed the EU Heads of State and Governments’ acceptance of a recovery fund to kick-start the economy, as proposed by Parliament in May 2020, which represents a historic move for the EU. However, they regretted the reduction of the grant component in the final agreement as well as the legal basis chosen to set up the recovery instrument which does not give a formal role to elected Members of the European Parliament.
Parliament challenged the political agreement on the MFF 2021-2027, deploring the…","The European Parliament approved a resolution, with 465 votes in favor, 150 against, and 67 abstentions, regarding the conclusions of the July 2020 European Council meeting. The Parliament welcomed the acceptance of a recovery fund to stimulate the economy, but expressed concern over the reduced grant component and the legal basis of the recovery instrument, which does not grant a formal role to MEPs. The Parliament also criticized the political agreement on the MFF 2021-2027."
117270,"Increase pharmaceutical manufacturing in Europe
Create an emergency European pharmacy
40% of medicines marketed in the EU originate in non-EU countries","The European Parliament voted to boost pharmaceutical manufacturing within the EU and establish an emergency European pharmacy, with the aim to reduce reliance on non-EU sources for medicines. (Passed)"
117283,"Virus might stay active for several months, until an efficient and safe vaccine is supplied
Common definition needed for a positive COVID-19 case, for a death by COVID-19 and for recovery from infection
Influenza season likely to increase the number of people who should be tested","MEPs voted to establish a common definition for COVID-19 cases, deaths, and recovery, recognizing the potential prolonged presence of the virus before an effective and safe vaccine becomes available."
118191,"The European Parliament adopted by 521 votes to 152, with 21 abstentions, a resolution on the establishment of an EU Mechanism on Democracy, the Rule of Law and Fundamental Rights.
Members recalled that the last decade has been marked by blatant attacks on the Union's values. The rights of vulnerable groups, such as women, people with disabilities, Roma, LGBTI people and the elderly, as well as minority rights are still not fully respected in some Member States.
In the face of an unprecedented and growing crisis regarding its founding values, which threatens the long-term survival of the EU as a democratic peace project, Parliament expressed its deep concern about the rise and entrenchment of autocratic and illiberal tendencies, which are…","The European Parliament passed a resolution to establish an EU Mechanism on Democracy, Rule of Law, and Fundamental Rights, expressing concern over attacks on Union values and ongoing discrimination against vulnerable groups in some Member States."
121822,"The European Parliament adopted a resolution with 571 votes to 26, with 94 abstentions, with recommendations to the Commission on the Digital Services Act: Improving the functioning of the Single Market.
Parliament welcomed the Commission's commitment to propose legislation on digital services consisting of a proposal amending the E-Commerce directive and a proposal establishing ex ante rules on systemic operators with a gatekeeper role.
Parliament recommended that the proposed package:
- contributes to strengthening the internal market by ensuring the free movement of digital services and freedom of establishment, while guaranteeing a high level of consumer protection, including the improvement of users' online rights, trust and safety…","The European Parliament approved a resolution (571 votes in favor, 26 against, 94 abstentions) to support the Commission's plan for the Digital Services Act, aiming to enhance Single Market functionality. The Parliament endorsed the Commission's proposal to amend the E-Commerce directive and establish rules for systemic operators with gatekeeping roles."
122256,"The European Parliament adopted by 566 votes to 45, with 80 abstentions, a resolution on the Digital Services Act and fundamental rights issues posed.
Members stressed that fundamental rights, such as the protection of privacy and personal data, the principle of non-discrimination, as well as freedom of expression and information, need to be ingrained at the core of a successful and durable EU policy on digital services.
Parliament urged the Commission to adopt a tailored regulatory approach in addressing the differences that still persist between online and offline worlds and the challenges raised by the diversity of actors and services offered online. It considered it essential to apply different regulatory approaches to illegal and legal…","The European Parliament passed a resolution (566-45) on the Digital Services Act, emphasizing the importance of integrating fundamental rights like privacy, non-discrimination, freedom of expression, and information into EU digital policy. Parliament urged the Commission to adopt a tailored regulatory approach to bridge the gap between online and offline worlds, with different regulations for illegal and legal services."
124866,"All member states should be more ecologically and economically competitive
Do no significant harm’ principle should guide how investments are made
Public and private investments must complement each other to bridge green investment gap","Member states voted to enhance ecological and economic competitiveness. The ""do no significant harm"" principle was adopted as a guide for investment strategies, aiming to align public and private investments to bridge the green investment gap."
125521,"The European Parliament adopted by 533 votes to 58, with 82 abstentions, a resolution on a new strategy for European SMEs.
The 24 million SMEs in the EU-27 are the backbone of the economy and, before the pandemic, they generated more than half of the EU’s GDP while employing about 100 million workers. 98.9 % of enterprises in the EU’s non-financial business economy are small enterprises with fewer than 49 workers. However, the economic crisis and the grim economic outlook triggered by the pandemic have brought a considerable and indeterminate number of SMEs and start-ups to the verge of insolvency.
According to Members, SMEs should be at the centre of the European Green Deal and digital strategy, and be properly supported by tailored…","The European Parliament passed a resolution, with 533 votes in favor and 58 against, to strengthen the role of SMEs in the EU economy, particularly during the pandemic. The strategy aims to support SMEs and start-ups, crucial for the EU's economic growth and employment, as they face insolvency due to the economic crisis."
126251,"The European Parliament adopted by 616 votes to 22, with 58 abstentions, a resolution tabled by the Committee on Employment and Social Affairs on the Council Recommendation on vocational education and training (VET) for sustainable competitiveness, social fairness and resilience.
Members point out that vocational education and training (VET) accounts for around half of upper secondary education graduates in the EU and believe that it could prove crucial in addressing skills gaps in the EU labour market and the challenges of ecological and digital transitions, demographic change and other major macro-economic trends.
The resolution stressed the urgent need to significantly modernise and develop VET policies to make them more inclusive,…","The European Parliament passed a resolution, by a large majority, to modernize and develop vocational education and training (VET) policies for sustainable competitiveness, social fairness, and resilience. This is aimed at addressing skills gaps in the EU labor market and adapting to ecological, digital, and demographic changes."
126257,"The European Parliament adopted by 543 votes to 64, with 82 abstentions, a resolution tabled by the Committee on Civil Liberties, Justice and Home Affairs on the EU Security Union Strategy.
Parliament welcomed the publication of the new EU Strategy for Security Union and stressed the need for monitoring of the existing regulatory framework in the form of legislative and non-legislative initiatives where shortcomings have been identified. Any new legislative proposal should be subject to an impact assessment, in particular as regards the impact on fundamental rights and the risks of discrimination.
While calling on the Commission to ensure the full and swift implementation of the EU Counter-Terrorism Directive 2017/541 in all Member States,…","The European Parliament approved a resolution (543-64, 82 abstentions) on the EU Security Union Strategy, emphasizing the need for monitoring and addressing shortcomings in the current regulatory framework. New legislative proposals should undergo impact assessments, considering potential impacts on fundamental rights and discrimination risks. The EU Counter-Terrorism Directive 2017/541 is to be fully implemented across all Member States."
126261,"The European Parliament adopted by 550 votes to 80, with 59 abstentions, a resolution on the EU strategy on adaptation to climate change.
According to estimates by the European Environment Agency (EEA), extreme weather and climate events accounted for EUR 426 billion in monetary terms in the EU-28 over the period 1980-2017. Damage costs from climate change are expected to be high, even if the Paris Agreement is implemented. Only an ambitious global mitigation policy can significantly reduce climate change and its consequences.
The resolution called for a improved focus and increased attention to adaptation in its new strategy. The strategy should be an integral part of the European Green Deal and an opportunity for the EU to take the global…","The European Parliament passed a resolution, with 550 votes in favor and 80 against, focusing on enhancing the EU's strategy for adapting to climate change. The strategy aims to address the estimated EUR 426 billion in damages from extreme weather events over 1980-2017, with costs expected to remain high despite Paris Agreement implementation. An ambitious global mitigation policy is sought to reduce climate change impacts significantly. The resolution emphasizes a stronger focus and greater attention to adaptation within the European Green Deal."
127026,"The European Parliament adopted by 657 votes to 8, with 25 abstentions, a resolution on the revision of the Trans-European Transport Network (TEN-T) guidelines.
Parliament underlined the added value of multimodal core network corridors covering the major passenger and freight flows between and within Member States. It considered it crucial to complete the operation by 2030, giving priority to the elimination of bottlenecks and missing links, as well as to the completion of cross-border sections.
According to Members, the revision of the TEN-T regulation is an opportunity to make the network sustainable in order to ensure the proper functioning of the EU's single market and the further realisation of the Single European Transport Area and the…","The European Parliament passed a resolution, with 657 votes in favor and 8 against, to revise the Trans-European Transport Network (TEN-T) guidelines. The focus is on completing multimodal core network corridors by 2030, prioritizing the elimination of bottlenecks and missing links, and the completion of cross-border sections, aiming to make the network sustainable for the EU's single market and the Single European Transport Area."
127030,"The European Parliament adopted by 459 votes to 62, with 163 abstentions, a resolution on human rights and democracy in the world and the European Union's policy on the matter - annual report 2019.
Members called for policies in support of human rights, democracy, the rule of law and the fight against impunity to be mainstreamed into all other EU policies with an external dimension, such as development, migration, security, the fight against terrorism, women's rights, gender equality, enlargement and trade.
With regard to EU action at the multilateral level, the resolution stressed the importance of:
- developing an explicit strategy to counter the increasing withdrawal and retreat of states from the international human rights framework;…","The European Parliament passed a resolution (459-62, 163 abstentions) advocating for human rights, democracy, rule of law, and anti-impunity policies to be integrated into all EU external policies. The resolution also emphasized the need for EU action to counter states withdrawing from the international human rights framework at the multilateral level."
127163,"The European Parliament adopted by 526 votes to 43, with 119 abstentions, a resolution on connectivity and EU-Asia relations.
Members noted that considerable economic potential between Europe, Asia and other continents remains untapped owing to a lack of physical and digital infrastructure. The importance of an effective EU Connectivity Strategy has been further underscored by the COVID-19 pandemic, which made both the weaknesses and strengths of the European and global connectivity networks clear to see.
Parliament encouraged the Commission and the European External Action Service (EEAS) to develop an EU Global Connectivity Strategy, which would be an extension of the current EU-Asia Connectivity Strategy. This strategy would strengthen the…","The European Parliament passed a resolution (526-43, 119 abstentions) to emphasize the need for an EU Global Connectivity Strategy, aiming to tap economic potential between Europe, Asia, and other continents by improving physical and digital infrastructure. The strategy, an extension of the EU-Asia Connectivity Strategy, is further highlighted by COVID-19, revealing the strengths and weaknesses of global connectivity networks."
128842,"All products under the EU Emissions Trading System should be included
Revenue to be used to step up EU support for the objectives of the Green Deal
The mechanism must not be misused to further trade protectionism","The European Parliament voted to expand the EU Emissions Trading System to include all products, with the aim of boosting EU support for the Green Deal objectives. The measure aims to prevent misuse for trade protectionism."
128972,"The European Parliament adopted by 610 votes to 43, with 37 abstentions, a resolution on the mass trials against the opposition and civil society in Cambodia.
The text adopted in plenary was tabled by the EPP, S&D, Renew, Greens/EFA, the Left groups.
Parliament condemned the escalating violations of human rights in Cambodia, including violence against peaceful protesters, the adoption of new repressive laws and the arrest of human rights defenders, journalists, opposition party activists, environmentalists, students and ordinary citizens for peacefully expressing their opinions. It called on the security forces to refrain from unnecessary and excessive force against those engaged in peaceful protests…","The European Parliament passed a resolution, by a significant majority, condemning human rights violations in Cambodia, including violence against protesters, new repressive laws, and arrests of activists, journalists, and citizens. The resolution called for an end to excessive force against peaceful protesters."
129463,"The European Parliament adopted by 470 votes to 96, with 121 abstentions, a resolution on the implementation of Directive 2009/81/EC concerning procurement in the fields of defence and security, and of Directive 2009/43/EC, concerning the transfer of defence-related products.
The Defence Package directives are needed to further develop a common European security and defence culture, based on the Union's shared values and objectives. However, progress is still needed to fully achieve the objectives of these directives: in addition to the usual hurdles to market entry, such as geographical distance, language barriers and lack of knowledge of cross-border markets, SMEs in the defence sector face major difficulties in participating in public…","The European Parliament approved a resolution, with 470 votes in favor, 96 against, and 121 abstentions, to advance the Defence Package directives aimed at fostering a unified European security and defense culture. Despite progress, more efforts are required to fully realize the objectives, as SMEs in the defense sector continue to face significant challenges in public procurement."
129467,"The European Parliament adopted by 462 votes to 80, with 145 abstentions, a resolution on the general guidelines for the preparation of the 2022 budget, Section III - Commission.
Parliament wants to set up a recovery budget in 2022 after the COVID-19 crisis that will allow the EU to boost investment and tackle unemployment, foster the digital and green transition, focus on a strong European Health Union, promote an inclusive recovery, focusing in particular on the younger generation, and ensure a safe and prosperous environment for EU citizens.
Concerned by the severe and long-lasting consequences of the crisis on SMEs, Members intend to secure sufficient funding for them through various EU programmes. They called…","The European Parliament approved a resolution for the 2022 budget, aiming to establish a recovery fund post-COVID-19 to boost investment, tackle unemployment, promote a digital and green transition, strengthen European Health Union, focus on an inclusive recovery, particularly benefiting the younger generation, and ensure a safe and prosperous EU environment for citizens. Funding for SMEs was prioritized due to the crisis's impact."
129468,"The European Parliament adopted by 425 votes to 109, with 153 abstentions, a resolution on the implementation of the Ambient Air Quality Directives: Directive 2004/107/EC and Directive 2008/50/EC.
Air pollution is the biggest environmental health risk in Europe, causing, according to the most recent EEA estimates, almost 400 000 premature deaths per year. In 2018, estimates of the health impact of long-term exposure to air pollution in the EU-28, indicated that PM2.5 was responsible for approximately 379 000 premature deaths, NO ₂ caused around 54 000 deaths and O3 accounted for 19 400 premature deaths.
Parliament pointed out that while the ambient air quality directives have been successful in establishing common European air quality…","The European Parliament passed a resolution aimed at improving air quality, addressing pollutants like PM2.5, NO₂, and O3, which collectively cause thousands of premature deaths annually. The resolution focuses on implementing Directive 2004/107/EC and Directive 2008/50/EC to establish common European air quality standards."
129471,"The European Parliament adopted by 494 votes to 94, with 100 abstentions, a resolution on strengthening the international role of the euro.
Despite the economic weight of the euro area and its influence in world trade, the use of the euro lags considerably behind that of the US dollar as a store of value and as an invoicing currency, but is close to that of the dollar in terms of the proportion of international payments. The euro remains the second most important currency in the international monetary system but its global potential has not yet been fully realised.
Despite the euro area’s economic size and influence in global trade, the euro lags behind the US dollar by a wide margin in terms of its use as an international reserve currency…","The European Parliament passed a resolution to strengthen the global role of the Euro, aiming to close the gap between its usage and that of the US Dollar."
129473,"The European Parliament adopted by 581 votes to 61, with 45 abstentions, a resolution on the Commission's 2019-2020 reports on Albania.
Members welcomed Albania's clear strategic orientation towards EU integration and expressed their support for the formal launch of accession negotiations once the conditions set by the European Council are met. Albania has been a candidate country since 2014 and since 2018 the Commission has been recommending the opening of accession negotiations.
Parliament believes that the Conference on the Future of Europe should involve representatives from Albania and the other Western Balkan countries, both at government and civil society level, including young people…","The European Parliament approved a resolution, supporting the launch of EU accession negotiations with Albania once the necessary conditions are met. The Parliament also advocated for Albanian representation in the Conference on the Future of Europe."
129476,"The European Parliament adopted a resolution by 538 votes to 69, with 79 abstentions, on the 2019-2020 Commission reports on Serbia.
Parliament welcomed the fact that EU membership remains a strategic goal for Serbia and that it is among the priorities of the newly formed government. However, it expects Serbia to make a clear and unambiguous commitment to fulfil all its obligations for EU membership in a visible and verifiable manner.
The Council has decided not to open any further chapters with Serbia for the time being. A sustainable track record has yet to be achieved in areas such as the judiciary, fundamental rights (Chapter 23), and justice, freedom and security (Chapter 24)…","The European Parliament approved a resolution, passing by a majority of 538 votes to 69, urging Serbia to demonstrate clear commitment towards fulfilling all EU membership obligations. Meanwhile, the Council has temporarily halted opening additional chapters with Serbia due to insufficient progress in judicial reform and human rights."
130841,"The European Parliament adopted by 597 votes to 51, with 43 abstentions a resolution on the COVID-19 pandemic in Latin America.
The text adopted in plenary was tabled by the EPP, S&D, Renew, Greens/EFA and ECR groups.
Latin America has been the one of the regions worst hit by COVID-19. It has accumulated at present more than a fifth of global deaths from coronavirus.
COVID-19 disproportionately affects low and middle-income and developing countries and groups in situations of vulnerability, including women and girls, the elderly, minorities and indigenous communities.
In some Latin American countries, as in many parts of the world, the pandemic has also been used as a pretext for repression, disproportionately restricted political opposition…","The European Parliament passed a resolution (597-51, 43 abstentions) addressing the COVID-19 crisis in Latin America, a region heavily impacted by the pandemic. The text was proposed by multiple groups, focusing on the disproportionate impact on vulnerable populations and potential use of the crisis for repression."
130846,"The European Parliament adopted by 553 votes to 77, with 60 abstentions, a resolution on the fifth anniversary of the Peace Agreement in Colombia.
In November 2021, Colombia will mark the fifth anniversary of the signing of the Final Agreement to End the Armed Conflict and Build a Stable and Lasting Peace between the Government of Colombia led by President Juan Manuel Santos and the Revolutionary Armed Forces of Colombia – People’s Army (FARC-EP), which put an end to a conflict of more than 50 years and represents a significant step in the construction of a stable and lasting peace in the country.
Parliament reiterated its support for the Peace Agreement in Colombia and its readiness to continue providing all possible political and financial…","The European Parliament passed a resolution, with 553 votes in favor and 77 against, celebrating the fifth anniversary of the Peace Agreement in Colombia, marking a significant step towards a stable and lasting peace."
130847,"The European Parliament resolution adopted by 510 votes to 42, with 139 abstentions, a resolution on the European Child Guarantee.
All children have the right to protection from poverty, which clearly means there is a need for preventive policies. Parliament and European civil society have called for the creation of a Child Guarantee to ensure that each child living in poverty has effective and free access to quality and free healthcare, education, early childhood education and care, and effective access to decent housing and adequate nutrition.
In 2019, 22.2 % of children in the EU – almost 18 million children – were at risk of poverty or social exclusion. The COVID-19 pandemic has exacerbated this situation putting millions of children and…","The European Parliament passed a resolution (510 votes to 42, with 139 abstentions) to establish the European Child Guarantee, aiming to provide free access to quality healthcare, education, housing, and nutrition for impoverished children in the EU. This initiative addresses the alarming statistic that 22.2% of EU children are at risk of poverty or social exclusion, a situation worsened by the COVID-19 pandemic."
130848,"The European Parliament adopted by 616 votes to 29, with 45 abstentions, a resolution on the accessibility and affordability of COVID testing.
The text adopted in plenary was tabled by the EPP, S&D, Renew, Greens/EFA, ECR, The Left groups.
The resolution highlighted that effective testing is considered as a decisive tool to contain the spread of SARS-CoV-2 and its variants of concern, detect infections and limit isolation and quarantine measures, and will continue to play a key role in facilitating the free movement of people and to ensure cross-border transport and cross-border provision of services during the pandemic.
The accessibility and affordability of these tests differs greatly between the Member States, especially when it comes to…","The European Parliament passed a resolution (616-29, 45 abstentions) on COVID testing accessibility and affordability, emphasizing its role in controlling SARS-CoV-2 spread and facilitating free movement during the pandemic. However, access varies significantly among Member States."
131710,"The European Parliament adopted by 542 votes to 111, with 42 abstentions, on a European strategy for energy system integration.
Members endorsed the direction set out by the Commission in its communication on a strategy for energy system integration, namely a prioritisation of energy efficiency and savings, decarbonisation of end-uses through direct electrification, and renewable and low-carbon fuels for applications where there is no other choice.
Recalling that the energy transition will require between EUR 520 and EUR 575 billion of annual investment in infrastructure and renewable energy deployment, Parliament called for a coherent long-term approach in a spirit of solidarity and cooperation, as well as a stable regulatory framework for…","The European Parliament approved a strategy for energy system integration, prioritizing energy efficiency, electrification, and renewable energy, with an annual investment of around €550 billion in infrastructure and renewables. The strategy calls for a unified, long-term approach, fostering solidarity and cooperation."
131714,"The European Parliament adopted by 595 votes to 66, with 34 abstentions, a resolution on the 2019-2020 Commission reports on Montenegro.
Parliament welcomed Montenegro's continued commitment to the EU integration process and the overall progress. It proposed the swift implementation of the revised enlargement methodology to speed up the overall negotiation process and provide clear and tangible incentives of interest to the citizens of Montenegro.
Members welcomed the fact that the elections of 30 August 2020 resulted in the first transition of power since the introduction of multiparty politics, in full compliance with democratic standards and the Constitution of Montenegro. They welcomed recent opinion polls showing that more and more…","The European Parliament approved a resolution on Montenegro's EU integration progress, praising its commitment and recent democratic elections. They suggested accelerating negotiations by implementing revised enlargement methodology to motivate citizens."
131773,"The European Parliament adopted by 536 votes to 121, with 36 abstentions, a resolution on the liability of companies for environmental damage.
Responsible business conduct implies that companies take due account of environmental concerns. Environmental damage, dangerous and harmful chemicals and climate change pose significant risks to human health through air, soil and water pollution.
Members welcomed the Commission’s efforts to assess and bridge gaps in the implementation of the Environmental Liability Directive (ELD) and the Environmental Crime Directive (ECD) across the Member States.
However, the resolution stressed that differences in the implementation and enforcement of EU rules on corporate liability for environmental damage…","The European Parliament passed a resolution, with 536 votes in favor, aiming to hold companies accountable for environmental harm. The resolution emphasizes the need for businesses to consider environmental concerns due to risks posed by pollution and climate change to human health. Members acknowledged the Commission's efforts to address gaps in implementing environmental liability and crime directives across EU states, but highlighted differences in enforcing corporate liability rules for environmental damage."
131775,"The European Parliament adopted by 571 votes to 17, with 105 abstentions, a resolution on shaping the digital future of Europe: removing barriers to the functioning of the digital single market and improving the use of AI for European consumers.
The use of artificial intelligence (AI) brings many benefits but also risks and raises concerns about the ethics, scope and transparency of the collection, use and dissemination of personal data. There is a need to strengthen public trust in AI by providing for respect of fundamental rights, consumer protection, data protection and data security as a default, as well as by encouraging innovation in Europe.
Members believe that the EU's digital policy should create the foundations for Europe's public…","The European Parliament approved a resolution (571-17, 105 abstentions) to shape Europe's digital future, focusing on eliminating barriers for the digital single market and enhancing AI use for consumers. The resolution aims to address ethical concerns and strengthen public trust in AI by prioritizing fundamental rights, consumer protection, data protection, and data security."
133545,"The European Parliament adopted by 390 votes to 82, with 212 abstentions, a resolution on the gender dimension in cohesion policy.
Members considered that gender mainstreaming should be implemented as a horizontal principle in all EU programmes, activities, measures and actions, as well as in all EU-funded projects and policies, including cohesion policy.
Parliament stressed the importance of cohesion policy in promoting equality between people and between regions, including gender equality, and in implementing the European strategy for gender equality. It recommended that Member States take gender equality measures into account in the process of designing and validating programmes and identify, for each programming phase, priority areas…","The European Parliament passed a resolution, with 390 votes in favor and 82 against, emphasizing the integration of gender mainstreaming as a cross-cutting principle in all EU programs, projects, and policies, including cohesion policy. The resolution underscores the role of cohesion policy in promoting equality and gender equality among people and regions."
