sheet_id,question_en,question_fr,file_name,survey_date,question_clean
ccgdbd,"Climate change good or bad impact across world: CARD 42How good or bad do you think the impact of climate change will be on people across the world? Please choose a number from 0 to 10, where 0 is extremely bad and 10 is extremely good.",,ESS8e02_3,2016-06-01,"What is your perception of the global impact of climate change, ranging from extremely bad (0) to extremely good (10)?"
ccrdprs,"To what extent feel personal responsibility to reduce climate change: CARD 30
ASK IF NOT CODE 55 AT C30 (IF C30 = 01, 02, 03, 04, 05, 77, 88)To what extent do you feel a personal responsibility to try to reduce climate change?",,ESS11e04_1,2023-06-01,How much personal responsibility do you feel for reducing climate change?
chpldmc,"In country government changes policies in response to what most people think: ASK IF GOVERNMENT SHOULD CHANGE ITS PLANNED POLICIES, IT DEPENDS, REFUSAL OR DON'T KNOW AT D25 (IF D25 = 1, 5, 7, 8)
CARD 39Using this card, please tell me how often you think the government in [country] today changes its planned policies in response to what most people think?",,ESS10e03_3,2020-06-01,How often does the government in [country] change its policies based on public opinion?
clmchng,Do you think world's climate is changing: CARD 37You may have heard the idea that the world's climate is changing due to increases in temperature over the past 100 years. What is your personal opinion on this? Do you think the world's climate is changing?Choose your answer from this card.,,ESS8e02_3,2016-06-01,"Is the world's climate changing, according to your personal opinion?"
clmthgt1,How much thought about climate change before today: ASK IF DEFINITELY NOT CHANGING AT D19 (code 4) CARD 38How much have you thought about climate change before today?,,ESS8e02_3,2016-06-01,Have you ever thought about climate change before today?
clmthgt2,How much thought about climate change before today: CARD 38How much have you thought about climate change before today?,,ESS8e02_3,2016-06-01,Have you given any thought to climate change before today?
cltommb,"Cultural /hobby activity organisation, last 12 months: member: CARD 43For each of the voluntary organisations I will now mention, please use this card to tell me whether any of these things apply to you now or in the last 12 months, and, if so, which. ...an organisation for cultural or hobby activities? MemberREAD OUT EACH ORGANISATION IN TURN. PROBE:'Which others?' CODE ALL THAT APPLY FOR EACH ORGANISATION",,ESS1e06_7,2002-06-01,Are you a member of any cultural/hobby activity organization in the last 12 months? (Check all that apply)
cnsoptp,"Consumer/automobile organisation, last 12 months: participated: CARD 43For each of the voluntary organisations I will now mention, please use this card to tell me whether any of these things apply to you now or in the last 12 months, and, if so, which. ...a consumer or automobile organisation? ParticipatedREAD OUT EACH ORGANISATION IN TURN. PROBE:'Which others?' CODE ALL THAT APPLY FOR EACH ORGANISATION",,ESS1e06_7,2002-06-01,Did you participate in a consumer or automobile organization within the last 12 months? (Check all that apply)
cptppol,"Confident in own ability to participate in politics: CARD 8And using this card, how confident are you in your own ability to participate in politics?",,ESS7e02_3,2014-06-01,How confident are you in your ability to participate in politics?
cptppola,Confident in own ability to participate in politics: CARD 8And how confident are you in your own ability to participate in politics?,,ESS11e04_1,2023-06-01,How confident are you in your ability to participate in politics?
ctstogv,"The courts able to stop the government acting beyond its authority: STILL CARD 37And still thinking generally rather than about [country], how important do you think it is for democracy in general... ...that the courts are able to stop the government acting beyond its authority?READ OUT...",,ESS6e02_7,2012-06-01,Is it essential for democracy that courts can prevent governments from exceeding their authority?
ctzchtx,"Citizens should not cheat on taxes: CARD 32Using this card, how much do you agree or disagree with each of these statements? Citizens should not cheat on their taxes.",,ESS2e03_6,2004-06-01,Should citizens avoid cheating on their taxes?
dclagr,"Preferred decision level of agricultural policies: CARD 15Policies can be decided at different levels. Using this card, at which level do you think the following policies should mainly be decided? ...agricultureREAD OUT AND CODE ONE ON EACH LINE",,ESS1e06_7,2002-06-01,What level should decisions for agriculture policies primarily be made at?
dclaid,"Preferred decision level of policies about aid to developing countries: CARD 15Policies can be decided at different levels. Using this card, at which level do you think the following policies should mainly be decided? ...aid to developing countriesREAD OUT AND CODE ONE ON EACH LINE",,ESS1e06_7,2002-06-01,What level should decisions on aid to developing countries primarily be made at?
dclcrm,"Preferred decision level of fighting against organised crime policies: CARD 15Policies can be decided at different levels. Using this card, at which level do you think the following policies should mainly be decided? ...fighting against organised crimeREAD OUT AND CODE ONE ON EACH LINE",,ESS1e06_7,2002-06-01,What level should decisions on fighting organized crime primarily be made at?
dclenv,"Preferred decision level of environmental protection policies: CARD 15Policies can be decided at different levels. Using this card, at which level do you think the following policies should mainly be decided? ...protecting the environmentREAD OUT AND CODE ONE ON EACH LINE",,ESS1e06_7,2002-06-01,What level should environmental protection policies primarily be decided at?
dclmig,"Preferred decision level of immigration and refugees policies: CARD 15Policies can be decided at different levels. Using this card, at which level do you think the following policies should mainly be decided? ...immigration and refugeesREAD OUT AND CODE ONE ON EACH LINE",,ESS1e06_7,2002-06-01,What level should decisions on immigration and refugee policies primarily be made at?
dfprtal,"Different political parties offer clear alternatives to one another: ASK ALL 
CARD 35Using this card, please tell me how important you think it is for democracy in general... ...that different political parties offer clear alternatives to one another?READ OUT...",,ESS10e03_3,2020-06-01,How important is it for democracy that different political parties offer clear alternatives?
dscrrlg,Discrimination of respondent's group: religion: ASK IF YES AT C18 (IF C18 = 1)On what grounds is your group discriminated against? ReligionPROBE: 'What other grounds?' CODE ALL THAT APPLY,,ESS11e04_1,2023-06-01,"Is your religious group discriminated against? If yes, on what grounds and what other grounds (if any)?"
dscrsex,Discrimination of respondent's group: sexuality: ASK IF YES AT C18 (IF C18 = 1)On what grounds is your group discriminated against? SexualityPROBE: 'What other grounds?' CODE ALL THAT APPLY,,ESS11e04_1,2023-06-01,"Is your group discriminated against due to sexuality? If yes, on what other grounds are you discriminated against? (Check all that apply)"
dspplvt,"Voters discuss politics with people they know before deciding how to vote: ASK ALL CARD 37Using this card, please tell me how important you think it is for democracy in general... ...that voters discuss politics with people they know before deciding how to vote?READ OUT...",,ESS6e02_7,2012-06-01,How important is it for voters to discuss politics with people they know before deciding how to vote?
ecohenv,"Economic growth always ends up harming environment: CARD 16Using this card, please say to what extent you agree or disagree with each of the following statements Economic growth always ends up harming the environmentREAD OUT EACH STATEMENT AND CODE IN GRID",,ESS1e06_7,2002-06-01,Does economic growth often harm the environment?
eimgrpc,"Immigrants from Europe: most from rich/poor countries: Now thinking about people coming to live in [country] nowadays from other countries within Europe, would you say that ...",,ESS1e06_7,2002-06-01,What percentage of European immigrants are from rich or poor countries?
eimpcnt,Allow many/few immigrants from poorer countries in Europe: STILL CARD 17And how about people from the poorer countries in Europe?Still use this card.,,ESS7e02_3,2014-06-01,Should more or fewer immigrants be allowed from poorer European countries?
eimrcnt,"Allow many/few immigrants from richer countries in Europe: STILL CARD 24Now, still using this card, to what extent do you think [country] should allow people from the richer countries in Europe to come and live here?",,ESS1e06_7,2002-06-01,To what extent should [country] allow immigrants from richer European countries?
elgsun,How much electricity in [country] should be generated from solar power: CARD 35The highlighted box at the top of this card shows a number of energy sources that can be used to generate electricity. Please take a moment to look over them. How much of the electricity used in [country] should be generated from each energy source? And how about sun or solar power?INTERVIEWER: PAUSE TO ALLOW RESPONDENT TO READ THE LIST. Please choose your answer from the options at the bottom of this card.,,ESS8e02_3,2016-06-01,What percentage of electricity in [country] should come from solar power?
eneffap,"How likely to buy most energy efficient home appliance: ASK ALL CARD 32If you were to buy a large electrical appliance for your home, how likely is it that you would buy one of the most energy efficient ones?",,ESS8e02_3,2016-06-01,How likely are you to buy an energy-efficient home appliance if you need to purchase a large electrical appliance for your home?
eqparep,"Dividing the number of seats in parliament equally between women and men: CARD 64Using this card, to what extent are you in favour or against a legal measure that requires dividing the number of seats in Parliament equally between women and men?",,ESS11e04_1,2023-06-01,Do you support or oppose a law that equally divides parliamentary seats between women and men?
eqpaybg,"Bad or good for economy in [country] if women and men receive equal pay for doing the same work: CARD 63Using this card, in general, how bad or good is it for the strength of the economy in [country] if women and men receive equal pay for doing the same work?",,ESS11e04_1,2023-06-01,Is it good or bad for the economy in [country] when women and men receive equal pay for the same work?
eqpolbg,"Bad or good for politics in [country] if equal numbers of women and men are in positions of political leadership: CARD 61Using this card, in general, how bad or good is it for politics in [country] if equal numbers of women and men are in positions of political leadership?",,ESS11e04_1,2023-06-01,Is it good or bad for politics in [country] when there's an equal number of women and men in political leadership roles?
eudcnbf,"More decisions made by EU: level of benefits in [country] become higher or lower: CARD 56If more decisions were made by the European Union rather than by national governments, do you think the level of social benefits and services provided in [country] would become higher or lower?",,ESS8e02_3,2016-06-01,Would increased EU decisions raise or lower social benefits and services in [country]?
euftf,"European Union: European unification go further or gone too far: CARD 15Now thinking about the European Union, some say European unification should go further. Others say it has already gone too far. Using this card, what number on the scale best describes your position?",,ESS11e04_1,2023-06-01,"How far do you think European unification should go? (0 means it should not go any further, and 10 means it should go much further)"
eusclbf,"Against or In favour of European Union-wide social benefit scheme: CARD 55It has been proposed that there should be a European Union-wide social benefit scheme for all poor people. In a moment I will ask you to tell me whether you are against or in favour of this scheme. First, look at the highlighted box at the top of this card, which shows the main features of the scheme. A European Union-wide social benefit scheme includes all of the following: ...READ OUT...- The purpose is to guarantee a minimum standard of living for all poor people in the European Union. - The level of social benefit people receive will be adjusted to reflect the cost of living in their country. - The scheme would require richer European Union countries to pay more into such a scheme than poorer European Union countries. INTERVIEWER: PAUSE TO GIVE THE RESPONDENT TIME TO READ CARD. Overall, would you be against or in favour of having such a European Union-wide social benefit scheme?Please choose your answer from the options at the bottom of the card.",,ESS8e02_3,2016-06-01,Do you support or oppose a European Union-wide social benefit scheme for all poor people? (Details provided in highlighted box.)
fineqpy,"Making businesses pay a fine when they pay men more than women for doing the same work: STILL CARD 64Still using this card, to what extent are you in favour or against making businesses pay a fine when they pay men more than women for doing the same work?",,ESS11e04_1,2023-06-01,Do you support fining businesses for paying men more than women for equal work?
fplvdm,"Best for democracy: everyone free to express political views, even extreme: There are differing opinions on whether or not everyone should be free to express their political views openly in a democracy, even if they are extreme. Which one of the statements on this card describes what you think is best for democracy in general?",,ESS6e02_7,2012-06-01,"What's your view on the best approach for democracy: allowing everyone to freely express their political views, even extreme ones?"
fplvdmc,"In country everyone is free to express political views, even extreme: CARD 41Using this card, to what extent do you think everyone in [country] today is free to express their political views openly, even if they are extreme?GO TO E36",,ESS6e02_7,2012-06-01,Are people in [country] free to express extreme political views openly?
fplvdmi,"Important for democracy: everyone free to express political views, even extreme: CARD 40How important do you think it is for democracy in general that everyone is free to express their political views openly, even if they are extreme? Please use this card.",,ESS6e02_7,2012-06-01,"Is it important for democracy that everyone can freely express their political views, even extreme ones?"
freinsw,"Firing employees who make insulting comments directed at women in the workplace: STILL CARD 64Still using this card, to what extent are you in favour or against firing employees who make insulting comments to women in the workplace?",,ESS11e04_1,2023-06-01,Are you in favor or against firing employees for making insulting comments towards women at work?
getavc19,"Whether respondent will get vaccinated against COVID-19 with vaccine approved by the national regulatory authority in country: ASK ALL
ASK IF VACCINE APPROVED AND AVAILABLE TO THE PUBLIC (IF K20CHECK = 1)Will you get vaccinated against coronavirus with a vaccine that was approved by the national regulatory authority in [country]?INTERVIEWER: If respondent says they have only received a first dose of the vaccine, select 'Yes, I already have'.",,ESS10e03_3,2020-06-01,"Will you get vaccinated against COVID-19 with a vaccine approved by the national regulatory authority in [country], if it is available to the public and you haven't already had both doses? If you've already had a first dose, select 'Yes, I already have.'"
getnvc19,"Whether respondent would get vaccinated against COVID-19 if vaccine is approved by the national regulatory authority in country: ASK IF VACCINE APPROVED AND AVAILABLE TO THE PUBLIC (IF K20CHECK = 2)If a vaccine against coronavirus is approved by the national regulatory authority in Slovenia, would you get vaccinated?",,ESS10e03_3,2020-06-01,"If a vaccine against COVID-19 is approved and available to the public in Slovenia, would you get vaccinated?"
gsupplc,"I generally support how the police act: CARD 34Using this card, please say to what extent you agree or disagree with each of the following statements about the police in [country]. I generally support how the police usually act.READ OUT EACH STATEMENT AND CODE IN GRID",,ESS5e03_6,2010-06-01,Do you generally support the actions of the police in [country]?
gvbalc19,How the government balanced protecting the economy and people's health when responding to COVID-19 in country: CARD 95There are different views on how the [country] government balanced protecting the economy and protecting people's health when responding to the coronavirus pandemic. Please say how you think the [country] government responded using the scale on this card.,,ESS10e03_3,2020-06-01,How do you think the government balanced protecting the economy and people's health during the COVID-19 response in [country]? (Scale provided)
gvcldcr,"Child care services for working parents, governments' responsibility: CARD 48People have different views on what the responsibilities of governments should or should not be. For each of the tasks I read out please tell me on a score of 0-10 how much responsibility you think governments should have. 0 means it should not be governments? responsibility at all and 10 means it should be entirely governments? responsibility. Firstly to... ...ensure sufficient child care services for working parents?READ OUT...",,ESS8e02_3,2016-06-01,"Should governments ensure sufficient child care services for working parents? (Rate on a scale of 0-10, where 0 means it should not be governments' responsibility at all and 10 means it should be entirely governments' responsibility.)"
gvcodmi,Important for democracy: government formed by coalition: CARD 46How important do you think it is for democracy in general that the government is formed by two or more parties in coalition? Please use this card.,,ESS6e02_7,2012-06-01,Is a coalition government important for democracy?
gvconc19,"COVID-19 is result of deliberate and concealed efforts of some government or organisation: CARD 97
Using this card, please tell me how much you agree or disagree with the following statement.Coronavirus is the result of deliberate and concealed efforts of some government or organisation",,ESS10e03_3,2020-06-01,Do you believe that COVID-19 is a result of deliberate and concealed actions by certain governments or organizations?
gveldc19,"How satisfied with government's response to COVID-19: elderly people in care homes: CARD 94Still using this card, please tell me how satisfied you are with the government's response to the coronavirus pandemic in [country] regarding support for the following groups? Please answer on a score of 0-10, where 0 means extremely dissatisfied and 10 means extremely satisfied. Elderly people in care homes",,ESS10e03_3,2020-06-01,How satisfied are you with the government's response to COVID-19 for elderly people in care homes? (Rate from 0-10)
gvfamc19,"How satisfied with government's response to COVID-19: families with school-aged children: CARD 94Still using this card, please tell me how satisfied you are with the government's response to the coronavirus pandemic in [country] regarding support for the following groups? Please answer on a score of 0-10, where 0 means extremely dissatisfied and 10 means extremely satisfied. Families with school-aged children",,ESS10e03_3,2020-06-01,"How satisfied are you with the government's response to COVID-19 for families with school-aged children? (0 = extremely dissatisfied, 10 = extremely satisfied)"
gvhanc19,"How satisfied with government's handling of COVID-19 in country: CARD 94Overall, how satisfied are you with the [country] government's handling of the coronavirus pandemic? Please answer using this card, where 0 means extremely dissatisfied and 10 means extremely satisfied.INTERVIEWER: If the respondent cannot answer due to a change of government during the pandemic period, please select ""Don't know"".",,ESS10e03_3,2020-06-01,"How satisfied are you with your country's government handling of COVID-19? (0 = extremely dissatisfied, 10 = extremely satisfied)
If there was a change of government during the pandemic period, select ""Don't know."""
gvhlthc,"Health care for the sick, governments' responsibility: CARD 29People have different views on what the responsibilities of governments should or should not be. For each of the tasks I read out please tell me on a score of 0-10 how much responsibility you think governments should have. 0 means it should not be governments? responsibility at all and 10 means it should be entirely governments? responsibility. Firstly to... ...ensure adequate health care for the sick?READ OUT...",,ESS4e04_6,2008-06-01,"Should governments ensure adequate healthcare for the sick? (0 means not their responsibility at all, 10 means entirely their responsibility)"
gvimpc19,"To what extent trust the government to deal with the impact of COVID-19 in country: CARD 96Using this card, please tell me to what extent you trust the national government in [country] to deal with the impact of the coronavirus pandemic. Please answer on a score of 0-10 where 0 means you do not trust the government at all and 10 means you have complete trust.",,ESS10e03_3,2020-06-01,"How much do you trust your national government to handle the effects of COVID-19 in [country]? (0 = no trust, 10 = complete trust)"
gvjobc19,"How satisfied with government's response to COVID-19: people who have experienced job/income losses: CARD 94Still using this card, please tell me how satisfied you are with the government's response to the coronavirus pandemic in [country] regarding support for the following groups? Please answer on a score of 0-10, where 0 means extremely dissatisfied and 10 means extremely satisfied. People who have experienced job losses or losses of income",,ESS10e03_3,2020-06-01,"How satisfied are you with the government's response to COVID-19 for those experiencing job/income losses? (0 = extremely dissatisfied, 10 = extremely satisfied)"
gvrfgap,"Government should be generous judging applications for refugee status: ASK ALL CARD 31Some people come to this country and apply for refugee status on the grounds that they fear persecution in their own country. Using this card, please say how much you agree or disagree with the following statements. Firstly...The government should be generous in judging people's applications for refugee statusREAD OUT",,ESS8e02_3,2016-06-01,Should the government be generous when considering refugee applications?
gvspdmi,Important for democracy: government formed by single party: CARD 46How important do you think it is for democracy in general that the government is formed by a single party? Please use this card.,,ESS6e02_7,2012-06-01,Is it important for democracy that the government is formed by a single party?
gvsrdcc,"How likely, governments in enough countries take action to reduce climate change: STILL CARD 43And how likely do you think it is that governments in enough countries will take action that reduces climate change?",,ESS8e02_3,2016-06-01,How likely is it that governments in enough countries will take action to reduce climate change?
hapdkc19,"Things happened since start of COVID-19: don't know: ASK IF RESPONDENT'S D.O.B IS LATER THAN 1950 AT F3. 
CARD 100Using this card, please tell me if any of the following happened to you as a result of the coronavirus pandemic? Please include anything that has happened at any time since the start of the pandemic, even if it is no longer impacting you. Don't knowSelect all that apply.",,ESS10e03_3,2020-06-01,"Have any of these events occurred due to COVID-19 pandemic (since its start)? Select all that apply, unless your birthdate is before 1950."
hapfoc19,"Things happened since start of COVID-19: was forced to take unpaid leave/holiday: ASK IF RESPONDENT'S D.O.B IS LATER THAN 1950 AT F3. 
CARD 100Using this card, please tell me if any of the following happened to you as a result of the coronavirus pandemic? Please include anything that has happened at any time since the start of the pandemic, even if it is no longer impacting you. I was forced to take unpaid leave/holidaySelect all that apply.",,ESS10e03_3,2020-06-01,Did you have to take unpaid leave or holiday due to COVID-19? (For those born after 1950)
hapfuc19,"Things happened since start of COVID-19: was furloughed: ASK IF RESPONDENT'S D.O.B IS LATER THAN 1950 AT F3. 
CARD 100Using this card, please tell me if any of the following happened to you as a result of the coronavirus pandemic? Please include anything that has happened at any time since the start of the pandemic, even if it is no longer impacting you. I was furloughedSelect all that apply.",,ESS10e03_3,2020-06-01,Did you get furloughed due to the COVID-19 pandemic? (If respondent's D.O.B is later than 1950)
hapirc19,"Things happened since start of COVID-19: income from job was reduced : ASK IF RESPONDENT'S D.O.B IS LATER THAN 1950 AT F3. 
CARD 100Using this card, please tell me if any of the following happened to you as a result of the coronavirus pandemic? Please include anything that has happened at any time since the start of the pandemic, even if it is no longer impacting you. The income from my job was reducedSelect all that apply.",,ESS10e03_3,2020-06-01,Did your income from job get reduced due to COVID-19? (If respondent's D.O.B is later than 1950)
hapljc19,"Things happened since start of COVID-19: was made redundant/lost job: ASK IF RESPONDENT'S D.O.B IS LATER THAN 1950 AT F3. 
CARD 100Using this card, please tell me if any of the following happened to you as a result of the coronavirus pandemic? Please include anything that has happened at any time since the start of the pandemic, even if it is no longer impacting you. I was made redundant/lost my jobSelect all that apply.",,ESS10e03_3,2020-06-01,Have you lost your job or been made redundant due to the COVID-19 pandemic? (For those born after 1950)
hapnac19,"Things happened since start of COVID-19: no answer: ASK IF RESPONDENT'S D.O.B IS LATER THAN 1950 AT F3. 
CARD 100Using this card, please tell me if any of the following happened to you as a result of the coronavirus pandemic? Please include anything that has happened at any time since the start of the pandemic, even if it is no longer impacting you. No answerSelect all that apply.",,ESS10e03_3,2020-06-01,Have any of these COVID-19 related events occurred for you? (Choose all that apply)
hapnoc19,"Things happened since start of COVID-19: none of these: ASK IF RESPONDENT'S D.O.B IS LATER THAN 1950 AT F3. 
CARD 100Using this card, please tell me if any of the following happened to you as a result of the coronavirus pandemic? Please include anything that has happened at any time since the start of the pandemic, even if it is no longer impacting you. None of theseSelect all that apply.",,ESS10e03_3,2020-06-01,"Have any events related to COVID-19 occurred for you since the pandemic began (since 2020)? If so, please select all that apply."
hapnpc19,"Things happened since start of COVID-19: not applicable: ASK IF RESPONDENT'S D.O.B IS LATER THAN 1950 AT F3. 
CARD 100Using this card, please tell me if any of the following happened to you as a result of the coronavirus pandemic? Please include anything that has happened at any time since the start of the pandemic, even if it is no longer impacting you. Not applicableSelect all that apply.",,ESS10e03_3,2020-06-01,Have any of the following occurred for you due to the COVID-19 pandemic? (Choose all that apply)
hapnwc19,"Things happened since start of COVID-19: not in work since start of COVID-19: ASK IF RESPONDENT'S D.O.B IS LATER THAN 1950 AT F3. 
CARD 100Using this card, please tell me if any of the following happened to you as a result of the coronavirus pandemic? Please include anything that has happened at any time since the start of the pandemic, even if it is no longer impacting you. I have not been in work at any time since the start of the pandemicSelect all that apply.",,ESS10e03_3,2020-06-01,Have you not worked at all since the start of the COVID-19 pandemic? (For those born after 1950)
haprec19,"Things happened since start of COVID-19: refusal: ASK IF RESPONDENT'S D.O.B IS LATER THAN 1950 AT F3. 
CARD 100Using this card, please tell me if any of the following happened to you as a result of the coronavirus pandemic? Please include anything that has happened at any time since the start of the pandemic, even if it is no longer impacting you. RefusalSelect all that apply.",,ESS10e03_3,2020-06-01,"Have any of these COVID-19 related events occurred for you? (Choose all that apply)

1. Loss of job or income
2. Difficulty paying bills
3. Delayed medical treatment
4. Food insecurity
5. Mental health issues
6. Other (please specify)"
hlpcowk,"Current job: can get support/help from co-workers when needed: CARD 79Using this card, please tell me how true each of the following statements is about your current job. I can get support and help from my co-workers when needed.",,ESS5e03_6,2010-06-01,Do you feel supported by your coworkers at your current job?
hmnodm,"Humanitarian organisation etc., last 12 months: donated money: CARD 43For each of the voluntary organisations I will now mention, please use this card to tell me whether any of these things apply to you now or in the last 12 months, and, if so, which. ...an organisation for humanitarian aid, human rights, minorities, or immigrants? Donated moneyREAD OUT EACH ORGANISATION IN TURN. PROBE:'Which others?' CODE ALL THAT APPLY FOR EACH ORGANISATION",,ESS1e06_7,2002-06-01,"Have you donated money to any humanitarian organizations (for aid, human rights, minorities, or immigrants) in the last 12 months? (List each organization separately and mention any others if applicable.)"
hmnommb,"Humanitarian organisation etc., last 12 months: member: CARD 43For each of the voluntary organisations I will now mention, please use this card to tell me whether any of these things apply to you now or in the last 12 months, and, if so, which. ...an organisation for humanitarian aid, human rights, minorities, or immigrants? MemberREAD OUT EACH ORGANISATION IN TURN. PROBE:'Which others?' CODE ALL THAT APPLY FOR EACH ORGANISATION",,ESS1e06_7,2002-06-01,"Are you a member of any humanitarian organization, human rights group, minority association, or immigrant organization in the last 12 months? (Check all that apply for each organization)"
hmnona,"Humanitarian organisation etc., last 12 months: no answer: CARD 43For each of the voluntary organisations I will now mention, please use this card to tell me whether any of these things apply to you now or in the last 12 months, and, if so, which. ...an organisation for humanitarian aid, human rights, minorities, or immigrants? No answerREAD OUT EACH ORGANISATION IN TURN. PROBE:'Which others?' CODE ALL THAT APPLY FOR EACH ORGANISATION",,ESS1e06_7,2002-06-01,"Which humanitarian organizations have you supported in the last 12 months (for example, those focused on aid, human rights, minorities, or immigrants)? (Probe: 'Which others?') Please select all that apply for each organization."
hmnoptp,"Humanitarian organisation etc., last 12 months: participated: CARD 43For each of the voluntary organisations I will now mention, please use this card to tell me whether any of these things apply to you now or in the last 12 months, and, if so, which. ...an organisation for humanitarian aid, human rights, minorities, or immigrants? ParticipatedREAD OUT EACH ORGANISATION IN TURN. PROBE:'Which others?' CODE ALL THAT APPLY FOR EACH ORGANISATION",,ESS1e06_7,2002-06-01,"Have you participated in any humanitarian aid, human rights, minority, or immigrant organizations within the last 12 months? (Check all that apply for each organization)"
hmnoref,"Humanitarian organisation etc., last 12 months: refusal: CARD 43For each of the voluntary organisations I will now mention, please use this card to tell me whether any of these things apply to you now or in the last 12 months, and, if so, which. ...an organisation for humanitarian aid, human rights, minorities, or immigrants? RefusalREAD OUT EACH ORGANISATION IN TURN. PROBE:'Which others?' CODE ALL THAT APPLY FOR EACH ORGANISATION",,ESS1e06_7,2002-06-01,"Have you refused support from any humanitarian organizations, those focused on aid, human rights, minorities, or immigrants in the last 12 months? (Check all that apply for each organization)"
hmsacld,"Gay and lesbian couples right to adopt children: CARD 14Using this card, please say to what extent you agree or disagree with each of the following statements. Gay male and lesbian couples should have the same rights to adopt children as straight couples.READ OUT EACH STATEMENT",,ESS11e04_1,2023-06-01,Do you agree that gay and lesbian couples should have the same rights to adopt children as straight couples?
hscopc19,"How satisfied with the way health services coped with COVID-19 and its consequences in country: STILL CARD 94Still using this card, please tell me how satisfied you are with the way health services in [country] coped with the coronavirus pandemic and its consequences?",,ESS10e03_3,2020-06-01,How satisfied are you with the way health services in [country] handled the COVID-19 pandemic and its consequences?
