sheet_id,question_en,question_fr,file_name,survey_date
actcomp,"I act compassionately towards others, to what extent: STILL CARD 51I act compassionately towards others(IF NECESSARY: To what extent does this describe you?)",,ESS11e04_1,2023-06-01
actrolg,Able to take active role in political group: CARD 6How able do you think you are to take an active role in a group involved with political issues?Please use this card.,,ESS7e02_3,2014-06-01
actrolga,Able to take active role in political group: CARD 6How able do you think you are to take an active role in a group involved with political issues?,,ESS11e04_1,2023-06-01
actvgrs,"Have felt active and vigorous last 2 weeks: CARD 67Firstly, I am going to read out a list of statements about how you may have been feeling recently. For each statement I would like you to say how often you have felt like this over the last two weeks. I have felt active and vigorousPlease use this card.",,ESS5e03_6,2010-06-01
adftjob,"To be considered as adult, how important to have full-time job. SPLIT BALLOT: STILL CARD 26To be considered an adult how important is it for a man to have a full-time job?(Choose your answer from this card)",,ESS3e03_7,2006-06-01
adllvhm,"To be considered as adult, how important to have left parental home. SPLIT BALLOT: CARD 26To be considered an adult how important is it for a man to have left the parental home?Choose your answer from this card",,ESS3e03_7,2006-06-01
adlvptn,"To be considered as adult, how important to have lived with spouse, partner. SPLIT BALLOT: STILL CARD 26To be considered an adult how important is it for a man to have lived with a spouse or partner?(Choose your answer from this card)",,ESS3e03_7,2006-06-01
admaimg,Administration of attitudes to migrants: CAPI RANDOMISATION / PAPI RANDOMISATIONINTERVIEWER CODE: RECORD OUTCOME OF CAPI RANDOMISATION / INTERVIEWER REFER TO C28a AND CODE,,ESS7e02_3,2014-06-01
admc19,"Administration of COVID-19 questions: CAPI RANDOMISATION: automated random allocation to Group 1 or Group 2, each comprising approximately half of the sample. K3 should be programmed automatically in the CAPI script and NOT displayed/asked in the interview.RECORD OUTCOME OF CAPI RANDOMISATION",,ESS10e03_3,2020-06-01
admdw,"Administration of how democracy works questions: CAPI RANDOMISATION: automated random allocation to Group 1 (C32-C34), Group 2 (C35-C37) or Group 3 (C38-C40), each comprising approximately one third of the sample. Respondents must be allocated to the same group in section I as used here.RECORD OUTCOME OF CAPI RANDOMISATION",,ESS9e03_3,2018-06-01
admge,"Administration of split ballot, ask about female or male: CAPI RANDOMISATION: automated random allocation to Group 1 (D15a to D34a) or Group 2 (D15b to D34b), each comprising approximately half of the sample.RECORD OUTCOME OF CAPI RANDOMISATION",,ESS9e03_3,2018-06-01
admit,"Administration of how important things are for democracy: [For question D28, we are including five different versions with the order of the response items rotated by one position each time. The filter variable for this (D28Order) is described below. Each respondent should be randomly assigned to one of the five versions. There are also five different showcards for these items to reflect the different orders.

Create random split variable D28Order which will NOT BE SHOWN to respondents. Each experimental group should include approximately 20% of respondents. This variable should be populated at the start of the interview.

It is also required to build in CAPI hard checks at D28CheckA/B/C/D/E. At each of these, interviewers must be asked to confirm that the correct showcard is being used before they are allowed to progress to the next question.]RECORD OUTCOME OF CAPI RANDOMISATION",,ESS10e03_3,2020-06-01
admrclc,"Administration of reduce climate change: RECORD OUTCOME OF CAPI RANDOMISATION IF NOT CODE 55 AT C30 (IF C30 = 01, 02, 03, 04, 05, 77, 88)RECORD OUTCOME OF CAPI RANDOMISATION",,ESS11e04_1,2023-06-01
admub,Administration of unemployment benefits questions: If automated random allocation not used: Interviewer code: interviewer refer to month of respondent birthday and code.,,ESS8e02_3,2016-06-01
adpnt,"To be considered as adult, how important to have become mother/ father. SPLIT BALLOT: STILL CARD 26And to be considered an adult how important is it for a man to have become a father?(Choose your answer from this card)",,ESS3e03_7,2006-06-01
advbach,"Who would you go to first for advise/treatment if serious backache: CARD 28Suppose now that you had serious backache. Who, if anyone, would you go to first for advice or treatment?Please choose one answer from this card.",,ESS2e03_6,2004-06-01
advcyc,"Approve if person gets divorced while children aged under 12. SPLIT BALLOT: CARD 33Using this card, how much do you approve or disapprove if a woman/man... ...gets divorced while she/he has children aged under 12?READ OUT...",,ESS9e03_3,2018-06-01
advhach,"Who would you go to first for advise/treatment if serious headache: CARD 28Suppose now that you had a serious headache. Who, if anyone, would you go to first for advice or treatment?Please choose one answer from this card.",,ESS2e03_6,2004-06-01
advslep,"Who would go to first for advise/treatment if serious sleeping problem: CARD 28Suppose now that you had serious sleeping problems. Who, if anyone, would you go to first for advice or treatment?Please choose one answer from this card.",,ESS2e03_6,2004-06-01
advsthr,"Who would you go to first for advise/treatment if very sore throat: CARD 28Suppose you had a very sore throat. Who, if anyone, would you go to first for advice or treatment?Please choose one answer from this card.",,ESS2e03_6,2004-06-01
aesfdrk,Feeling of safety of walking alone in local area after dark: How safe do you - or would you - feel walking alone in this area after dark? Do - or would - you feel...READ OUT...,,ESS11e04_1,2023-06-01
aftjbyc,"Approve if person has full-time job while children aged under 3. SPLIT BALLOT: CARD 33Using this card, how much do you approve or disapprove if a woman/man... ...has a full-time job while she/he has children aged under 3?READ OUT...",,ESS9e03_3,2018-06-01
agdcold,Age people start being described as old: At what age do you think people generally start being described as old?WRITE IN AGE,,ESS4e04_6,2008-06-01
agdcyng,Age people stop being described as young: At what age do you think people generally stop being described as young?WRITE IN AGE,,ESS4e04_6,2008-06-01
ageadlt,"Age become adults. SPLIT BALLOT: People differ in their ideas about the ages at which girls/boys or women/men become adults, middle-aged and old. At what age, approximately, would you say girls/boys or women/men become adults?INTERVIEWER: If respondent states 'It depends' accept answer and do NOT probe. If respondent provides an age range, ask for a specific age within that range. If respondent cannot give specific age, code as 'Don't know'. TYPE IN AGE",,ESS9e03_3,2018-06-01
agegrbl,"Which age group belonging to: CARD 43Using this card, please tell me which box best describes the age group you see yourself as belonging to. If you see yourself as very young, pick the first box. If you see yourself as very old, pick the last box. Otherwise pick one of the boxes in between. Just give me the letter under the box.CODE ONE ANSWER ONLY",,ESS4e04_6,2008-06-01
agemage,"Age reach middle age. SPLIT BALLOT: And at what age, approximately, would you say women/men reach middle age?INTERVIEWER: If respondent states 'It depends' accept answer and do NOT probe. If respondent provides an age range, ask for a specific age within that range. If respondent cannot give specific age, code as 'Don't know'. TYPE IN AGE",,ESS9e03_3,2018-06-01
ageo12,"Age of child aged 12 or over: ASK IF MALE, FEMALE OR REFUSAL AT G11a OR G11b (IF G11a = 1, 2, 7 OR G11b = 1, 2, 7)How old is {he/she}?INTERVIEWER: Accept the respondent's estimate if they cannot provide an exact age.",,ESS10e03_3,2020-06-01
ageoage,"Age reach old age. SPLIT BALLOT: And at what age, approximately, would you say women/men reach old age?INTERVIEWER: If respondent states 'It depends' accept answer and do NOT probe. If respondent provides an age range, ask for a specific age within that range. If respondent cannot give specific age, code as 'Don't know'. TYPE IN AGE",,ESS9e03_3,2018-06-01
agepnt,"Age of parent: ASK IF MOTHER OR FATHER AT G22, OR MOTHER, FATHER OR REFUSAL AT G23 (IF G22 = 2, 3 OR G23 = 1, 2, 7How old is {he/she}?INTERVIEWER: Accept the respondent's estimate if they cannot provide an exact age.
TYPE IN AGE",,ESS10e03_3,2020-06-01
agertr,What age you would like to/would have liked to retire: ASK IF RESPONDENT IS OVER 45 (code 1 at G86)At what age would you like to/would you have liked to retire?WRITE IN AGE,,ESS5e03_6,2010-06-01
ageyo30,"Respondents age, younger or older than 30: ASK ALLPlease tell me how old you are?",,ESS4e04_6,2008-06-01
agrpblg,"Strong or weak sense of belonging to age group: CARD 44Using this card, please tell me if you have a strong or weak sense of belonging to this age group. Choose your answer from this card where 0 means a very weak sense of belonging and 10 means a very strong sense of belonging.",,ESS4e04_6,2008-06-01
alcbnge,"Frequency of binge drinking for men and women, last 12 months: ASK IF CODE 1 AT E9 (male) / ASK IF CODE 2 AT E9 (female) CARD 47a (male) / CARD 47b (female)This card shows six different examples of how much alcohol a person might drink on a single occasion. In the last 12 months, how often have you drunk this amount of alcohol or more on a single occasion? Was it...READ OUT...",,ESS11e04_1,2023-06-01
alcfreq,"How often drink alcohol: ASK ALL CARD 45In the last 12 months, that is since [MONTH, YEAR], how often have you had a drink containing alcohol? This could be wine, beer, cider, spirits or other drinks containing alcohol. Please choose an answer from this card.INTERVIEWER: Refer to the same month as the interview but of the previous year. For example, if the interview takes place in September 2014, use [September 2013].",,ESS11e04_1,2023-06-01
alcwkdy,"Grams alcohol, last time drinking on a weekday, Monday to Thursday: ASK IF CODE 01, 02, 03, 04, 05, 06 OR 88 AT E6 CARD 46Generated variable: Grams alcohol, last time drinking on a weekday, Monday to Thursday",,ESS11e04_1,2023-06-01
alcwknd,"Grams alcohol, last time drinking on a weekend day, Friday to Sunday: STILL CARD 46Generated variable: Grams alcohol, last time drinking on a weekend day, Friday to Sunday",,ESS11e04_1,2023-06-01
algyplv,"Allow many or few Gypsies to come and live in country: CARD 42I am going to ask you about different groups of people who might come to live in [country] from other countries. Using this card, please tell me to what extent you think [country] should allow... ...Gypsies from other countries to come and live in [country]?READ OUT...",,ESS7e02_3,2014-06-01
aljewlv,"Allow many or few Jewish people to come and live in country: CARD 42I am going to ask you about different groups of people who might come to live in [country] from other countries. Using this card, please tell me to what extent you think [country] should allow? ...Jewish people from other countries to come and live in [country]?READ OUT...",,ESS7e02_3,2014-06-01
allbpe,"Allow unskilled labourers from [poor European country providing largest number of migrants]: ASK IF D29 = 3 STILL CARD 42Using the same card, please tell me to what extent you think [country] should allow unskilled labourers from [poor European country providing largest number of migrants] to come to live in [country]?",,ESS7e02_3,2014-06-01
allbpne,"Allow unskilled labourers from [poor non-European country providing largest number of migrants]: ASK IF D29 = 4 STILL CARD 42Using the same card, please tell me to what extent you think [country] should allow unskilled labourers from [poor country outside Europe providing largest number of migrants] to come to live in [country]?",,ESS7e02_3,2014-06-01
almuslv,"Allow many or few Muslims to come and live in country: CARD 42I am going to ask you about different groups of people who might come to live in [country] from other countries. Using this card, please tell me to what extent you think [country] should allow... ...Muslims from other countries to come and live in [country]?READ OUT...",,ESS7e02_3,2014-06-01
alpfpe,"Allow professionals from [poor European country providing largest number of migrants]: ASK IF D29 = 1 STILL CARD 42Using the same card, please tell me to what extent you think [country] should allow professionals from [poor European country providing largest number of migrants] to come to live in [country]?",,ESS7e02_3,2014-06-01
alpfpne,"Allow professionals from [poor non-European country providing largest number of migrants]: ASK IF D29 = 2 STILL CARD 42Using the same card, please tell me to what extent you think [country] should allow professionals from [poor country outside Europe providing largest number of migrants] to come to live in [country]?",,ESS7e02_3,2014-06-01
alvgptn,"Approve if person lives with partner not married to. SPLIT BALLOT: CARD 33Using this card, how much do you approve or disapprove if a woman/man... ...lives with a partner without being married?READ OUT...",,ESS9e03_3,2018-06-01
alwspsc,"Immigrant communities should be allowed separate schools: CARD 38Using this card, please tell me how much you agree or disagree with each of these statements. Firstly ...Communities of people who have come to live here should be allowed to educate their children in their own separate schools if they wishREAD OUT",,ESS1e06_7,2002-06-01
anctry1,"First ancestry, European Standard Classification of Cultural and Ethnic Groups: CARD 59How would you describe your ancestry? Ancestry 1Please use this card to choose up to two ancestries that best apply to you.
INTERVIEWER: code maximum of two ancestries in total. If more than two are mentioned, ask respondent to select two. If respondent is unable to do this, code first two ancestries mentioned.
INTERVIEWER PROBE ONCE: Which other?",,ESS10e03_3,2020-06-01
anctry2,"Second ancestry, European Standard Classification of Cultural and Ethnic Groups: CARD 59How would you describe your ancestry? Ancestry 2Please use this card to choose up to two ancestries that best apply to you. 
INTERVIEWER: code maximum of two ancestries in total. If more than two are mentioned, ask respondent to select two. If respondent is unable to do this, code first two ancestries mentioned.
INTERVIEWER PROBE ONCE: Which other?",,ESS10e03_3,2020-06-01
anctrya1,"First ancestry, European Standard Classification of Cultural and Ethnic Groups: CARD 59How would you describe your ancestry? Ancestry 1Please use this card to choose up to two ancestries that best apply to you.
INTERVIEWER: code maximum of two ancestries in total. If more than two are mentioned, ask respondent to select two. If respondent is unable to do this, code first two ancestries mentioned.
INTERVIEWER PROBE ONCE: Which other?",,ESS11e04_1,2023-06-01
anctrya2,"Second ancestry, European Standard Classification of Cultural and Ethnic Groups: CARD 59How would you describe your ancestry? Ancestry 2Please use this card to choose up to two ancestries that best apply to you. 
INTERVIEWER: code maximum of two ancestries in total. If more than two are mentioned, ask respondent to select two. If respondent is unable to do this, code first two ancestries mentioned.
INTERVIEWER PROBE ONCE: Which other?",,ESS11e04_1,2023-06-01
anvcld,"Approve if person chooses never to have children. SPLIT BALLOT: CARD 33Using this card, how much do you approve or disapprove if a woman/man... ...chooses never to have children?READ OUT...",,ESS9e03_3,2018-06-01
anypacc,"Any problems with accommodation listed on showcard: CARD 61Do any of the problems listed on this card apply to your accommodation?INTERVIEWER NOTE: Yes to any problems on the card should be coded 'Yes'. If respondent has more than one home, they should think about the accommodation where they spend most of their time.",,ESS7e02_3,2014-06-01
atchctr,"How emotionally attached to [country]: CARD 26How emotionally attached do you feel to [country]? Please choose a number from 0 to 10, where 0 means not at all emotionally attached and 10 means very emotionally attached.",,ESS11e04_1,2023-06-01
atcherp,How emotionally attached to Europe: STILL CARD 26And how emotionally attached do you feel to Europe?,,ESS11e04_1,2023-06-01
atncrse,"Improve knowledge/skills: course/lecture/conference, last 12 months: ASK ALLDuring the last twelve months, have you taken any course or attended any lecture or conference to improve your knowledge or skills for work?",,ESS11e04_1,2023-06-01
atnoact,"Help or attend activities organised in local area, how often past 12 months: STILL CARD 32And in the past 12 months, how often did you help with or attend activities organised in your local area?INTERVIEWER NOTE: 'activities organised in your local area' should include any the respondent thinks are relevant.",,ESS3e03_7,2006-06-01
badge,"Worn or displayed campaign badge/sticker last 12 months: ASK ALLThere are different ways of trying to improve things in [country] or help prevent things from going wrong. During the last 12 months, have you done any of the following? Have you... ...worn or displayed a campaign badge/sticker?READ OUT...",,ESS11e04_1,2023-06-01
banhhap,Favour ban sale of least energy efficient household appliances to reduce climate change: ASK ALL CARD 44To what extent are you in favour or against the following policies in [country] to reduce climate change? A law banning the sale of the least energy efficient household appliances.READ OUT EACH STATEMENT AND CODE IN GRID,,ESS8e02_3,2016-06-01
basinc,"Against or In favour of a basic income scheme: CARD 54Some countries are currently talking about introducing a basic income scheme. In a moment I will ask you to tell me whether you are against or in favour of this scheme. First, I will give you some more details. The highlighted box at the top of this card shows the main features of the scheme. A basic income scheme includes all of the following: ...READ OUT...- The government pays everyone a monthly income to cover essential living costs. - It replaces many other social benefits. - The purpose is to guarantee everyone a minimum standard of living. - Everyone receives the same amount regardless of whether or not they are working. - People also keep the money they earn from work or other sources. - This scheme is paid for by taxes. INTERVIEWER: PAUSE TO GIVE THE RESPONDENT TIME TO READ CARD. Overall, would you be against or in favour of having this scheme in [country]?Please choose your answer from the options at the bottom of the card.",,ESS8e02_3,2016-06-01
bctprd,"Boycotted certain products last 12 months: ASK ALLAnd still thinking about different ways of trying to improve things in [country] or help prevent things from going wrong, during the last 12 months, have you done any of the following? Have you.... ...boycotted certain products?READ OUT...",,ESS11e04_1,2023-06-01
bennent,"Many manage to obtain benefits/services not entitled to: CARD 51Using this card, please say how much you agree or disagree with each of the following statements about people in [country]. Many people manage to obtain benefits and services to which they are not entitled.READ OUT EACH STATEMENT AND CODE IN GRID",,ESS8e02_3,2016-06-01
bghtprd,"Bought product for political/ethical/environment reason last 12 months: ASK ALLThere are different ways of trying to improve things in [country] or help prevent things from going wrong. During the last 12 months, have you done any of the following? Firstly ...Deliberately bought certain products for political, ethical or environmental reasonsREAD OUT",,ESS1e06_7,2002-06-01
blncmig,Number of people leaving country compared to coming in: CARD 42How do you think the number of people leaving [country] nowadays compares to the number coming to live in [country]?Please use this card,,ESS1e06_7,2002-06-01
bnkfldl,"Bank/insurance company failed to offer best deal, how often last 5 years: CARD 34How often, if ever, have each of these things happened to you in the last five years? Use this card for your answers. A bank or insurance company failed to offer you the best deal you were entitled to.NOTE TO INTERVIEWER: code 'no experience' as 'don?t know'.",,ESS2e03_6,2004-06-01
bnlwinc,"Social benefits only for people with lowest incomes: ASK ALL CARD 53Would you be against or in favour of the government providing social benefits and services only for people with the lowest incomes, while people with middle and higher incomes are responsible for themselves?",,ESS8e02_3,2016-06-01
bplcdc,"Duty to: back decisions made by police, even if disagree: CARD 33To what extent is it your duty to... ...back the decisions made by the police even when you disagree with them?READ OUT...",,ESS5e03_6,2010-06-01
brghmef,"Worry about home burgled has effect on quality of life: ASK IF ANY WORRY AT C7 (CODES 1,2,3)Does this worry about your home being burgled have a...READ OUT...",,ESS5e03_6,2010-06-01
brghmwr,"How often worry about your home being burgled: CARD 21How often, if at all, do you worry about your home being burgled?Please choose your answer from this card",,ESS5e03_6,2010-06-01
brnmm,Month born: ASK ALLIn what month were you born?INTERVIEWER NOTE: Probe Don't know and Refusals ENTER MONTH,,ESS3e03_7,2006-06-01
brnocnt,Of every 100 working age how many born outside country: STILL CARD 27And of every 100 people of working age in [country] about how many would you say were born outside [country]?,,ESS4e04_6,2008-06-01
brwmny,"Borrow money to make ends meet, difficult or easy: CARD 58If for some reason you were in serious financial difficulties and had to borrow money to make ends meet, how difficult or easy would that be?Please use this card",,ESS5e03_6,2010-06-01
bseftwk,How difficult/easy for immediate boss to know how much effort put into work: CARD 82How difficult or easy do you think it is for your immediate boss to know how much effort you put into your work?,,ESS5e03_6,2010-06-01
bsmw,"Immediate supervisor/boss, man or woman: Is your immediate supervisor/boss a man or a woman?",,ESS5e03_6,2010-06-01
bsnprft,"Businesses only interested in profit, not improve service/quality: STILL CARD 37Using the same card, how much do you agree or disagree with each of these statements about the way the economy works these days? Nowadays businesses are only interested in making profits and not in improving service or quality for customers.",,ESS2e03_6,2004-06-01
bstln5y,How often bought something that might be stolen last 5 years: CARD 44Using this card please tell me how often you have done each of these things in the last five years? How often have you... ...bought something you thought might be stolen?READ OUT...,,ESS5e03_6,2010-06-01
bthcld,Ever given birth to/ fathered a child: ASK ALLHave you ever given birth to/fathered a child?,,ESS9e03_3,2018-06-01
btminfr,"Bottom 10% full-time employees in country, earning less than [amount], how fair: STILL CARD 65And now please think about the bottom 10% of employees working full-time in [country], earning less than [amount per month or per year]. In your opinion, are these incomes unfairly low, fair, or unfairly high? Please think generally about people earning this level of incomes.INTERVEIWER: If the respondent needs additional instructions on how to use the scale, please say: If you think these incomes are unfairly low, please choose a number from the left-hand side. If you think these incomes are fair, please choose 0. If you think these incomes are unfairly high, please choose a number from the right-hand side.",,ESS9e03_3,2018-06-01
buproag,How important to be unprejudiced against other age groups: CARD 63Please tell me how important it is for you to be unprejudiced against people of other age groups. Use this card where 0 means not at all important to you and 10 means extremely important to you.,,ESS4e04_6,2008-06-01
bystlct,"How likely to be caught if bought something that might be stolen: CARD 26Now just suppose you were to do any of these things in [country]. Using this card, please tell me how likely it is that you would be caught and punished if you... ...bought something you thought might be stolen?READ OUT...",,ESS5e03_6,2010-06-01
bystlwr,How wrong to buy something that might be stolen: CARD 25Using this card please tell me how wrong it is to... ...buy something you thought might be stolen?READ OUT...,,ESS5e03_6,2010-06-01
c19mco12,"Online/mobile communication with child aged 12 or over, how often compared with before COVID-19: Compared with before the coronavirus pandemic, would you say that you have online or mobile communication with {him/her}...READ OUT...
If necessary, remind the respondent that 'online or mobile communication refers to communication taking place over the Internet or mobile networks, using mobile phones, computers, tablets or other digital devices.'",,ESS10e03_3,2020-06-01
c19mcpnt,"Online/mobile communication with parent, how often compared with before COVID-19: Compared with before the coronavirus pandemic, would you say that you have online or mobile communication with {him/her}...READ OUT...
INTERVIEWER: If necessary, remind the respondent that 'online or mobile communication refers to communication taking place over the Internet or mobile networks, using mobile phones, computers, tablets or other digital devices.'",,ESS10e03_3,2020-06-01
c19mcwrk,"Online/mobile communication with people you work with, how often compared with before COVID-19: Compared with before the coronavirus pandemic, would you say that you have online or mobile communication with the people you work with...READ OUT...
INTERVIEWER: If necessary, remind the respondent that 'online or mobile communication refers to communication taking place over the Internet or mobile networks, using mobile phones, computers, tablets or other digital devices.",,ESS10e03_3,2020-06-01
c19spo12,"Speak with child aged 12 or over in person, how often compared with before COVID-19: READ OUT...Now think about occasions where you and {him/her} are physically in the same location. Compared with before the coronavirus pandemic, would you say that you speak with {him/her} in person...",,ESS10e03_3,2020-06-01
c19sppnt,"Speak with parent in person, how often compared with before COVID-19: Now think about occasions where you and {him/her} are physically in the same location. Compared with before the coronavirus pandemic, would you say that you speak with {him/her} in person...READ OUT...",,ESS10e03_3,2020-06-01
c19spwrk,"Speak with people you work with in person, how often compared with before COVID-19: ASK IF RESPONDENT DID NOT REPORT HAVING NO LINE MANAGER AT G44 AND NO COLLEAGUES AT G53 (IF G44 = 00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 77, 88 OR IF G53 = 01, 02, 03, 04, 05, 06, 07, 77, 88) 
For the next few questions, please think about all the people you work with, regardless of whether they are your line manager or your colleagues.Now think about occasions where you and {him/her} are physically in the same location. Compared with before the coronavirus pandemic, would you say that you speak with {him/her} in person...READ OUT...",,ESS10e03_3,2020-06-01
c19whacc,"Work from home or place of choice,  how accepted compared with before COVID-19: CARD 74Compared with before the coronavirus pandemic, how accepted is it for employees in your organisation to choose to work regularly from home or from another place of their choice nowadays?",,ESS10e03_3,2020-06-01
c19whome,"Work from home or place of choice, how often compared with before COVID-19: Compared with before the coronavirus pandemic, would you say that you work from home or from another place of your choice...READ OUT...",,ESS10e03_3,2020-06-01
c19wplch,"Work place change occurred as a result of COVID-19: ASK IF MORE OR LESS OFTEN AT G40 (IF G40 = 01, 02, 04, 05)
CARD 72Would you say that this change occurred as a result of the coronavirus pandemic?INTERVIEWER: 'this change' refers to the respondent working from home or from another place of their choice more/less often now compared with before the coronavirus pandemic, as reported at G40.",,ESS10e03_3,2020-06-01
cancfre,"For how long respondent have been cancer-free: CARD 48May I ask you, for how long have you been cancer-free? By 'cancer-free' we mean that there have been no signs of cancer in tests or scans.",,ESS11e04_1,2023-06-01
caplcst,How likely to call police if you see a man get his wallet stolen: ASK ALLImagine that you were out and saw someone push a man to the ground and steal his wallet. How likely would you be to call the police? Would you be...READ OUT...,,ESS5e03_6,2010-06-01
ccgdbd,"Climate change good or bad impact across world: CARD 42How good or bad do you think the impact of climate change will be on people across the world? Please choose a number from 0 to 10, where 0 is extremely bad and 10 is extremely good.",,ESS8e02_3,2016-06-01
ccnthum,"Climate change caused by natural processes, human activity, or both: ASK ALL
CARD 29Do you think that climate change is caused by natural processes, human activity, or both?",,ESS11e04_1,2023-06-01
ccrdprs,"To what extent feel personal responsibility to reduce climate change: CARD 30
ASK IF NOT CODE 55 AT C30 (IF C30 = 01, 02, 03, 04, 05, 77, 88)To what extent do you feel a personal responsibility to try to reduce climate change?",,ESS11e04_1,2023-06-01
cflsenr,"How confident you could use less energy than now: CARD 34Overall, how confident are you that you could use less energy than you do now?",,ESS8e02_3,2016-06-01
cgtsday,How many cigarettes smoke on typical day: ASK IF CODE 1 OR 2 AT E4How many cigarettes do you smoke on a typical day?WRITE IN NUMBER OF CIGARETTES: ...,,ESS7e02_3,2014-06-01
cgtsmke,"Cigarettes smoking behaviour: CARD 44Now thinking about smoking cigarettes. Which of the descriptions on this card best describes your smoking behaviour?INTERVIEWER: Include rolled tobacco but not pipes, cigars or electronic cigarettes.",,ESS7e02_3,2014-06-01
cgtsmok,Cigarette smoking behaviour: CARD 35Now thinking about smoking cigarettes. Which of the descriptions on this card best describes your smoking behaviour?,,ESS11e04_1,2023-06-01
chdohwk,"Can choose myself when and how to do housework: ASK IF RESPONDENT DOES HOUSEWORK CARD 6637. Thinking about the housework you usually do, how much do you agree or disagree with each of the following statements? I can choose myself when and how to do housework.",,ESS2e03_6,2004-06-01
chg1530,Any children or grandchildren between age 15 and 30: Do you have any children or grandchildren who are between the ages of 15 and 30?,,ESS4e04_6,2008-06-01
chldhhe,"Ever had children living in household: ASK IF NOT LIVING WITH CHILDREN AT HOME AT F4 (IF NOT 02 at F4)Have you ever had any children of your own, step-children, adopted children, foster children or a partner's children living in your household?",,ESS11e04_1,2023-06-01
chldhm,Children living at home or not: CODE ALLINTERVIEWER REFER TO HOUSEHOLD GRID AND CODE:,,ESS8e02_3,2016-06-01
chldo12,Number of children aged 12 or over: Now I would like to ask you about your family.How many children aged 12 or over do you have? Please include any grown-up children.TYPE IN NUMBER,,ESS10e03_3,2020-06-01
chlrnnw,"Chance to learn new things: CARD 38Using this card, please tell me to what extent... ...you get a chance to learn new things?READ OUT",,ESS3e03_7,2006-06-01
