question_text,vote_summary,vote_id,similarity_score,sample_type,llm_score,llm_label,llm_explanation,llm_scores,llm_flagged
"QA12. Thinking about EU’s response to the coronavirus pandemic, to what extent do you trust or not the EU to make the right decisions in the future?   ","The European Parliament adopted by 340 votes to 100, 245 abstentions, a resolution on the implementation of the Common Foreign and Security Policy – annual report 2020.
Parliament stressed that the COVID-19 pandemic is a wake-up call for the need for a stronger, more autonomous, more united and assertive foreign and security policy. If the EU wants to play a leading role on the international scene, it should defend and develop a rules based international order which guarantees multilateralism, democracy and human rights, and to promote its values and interests more decisively worldwide. To achieve this, the EU first has to successfully assist its partners in the immediate neighbourhood…",127028,0.7027344703674316,positive,0.4,retrospective,"The survey question asks about trust in the EU's future decisions regarding the coronavirus pandemic, while the vote is about the implementation of the Common Foreign and Security Policy – annual report 2020, which does not directly relate to the COVID-19 response.",[0.4],False
Q10_2 The following statements are about interference by foreign countries in the politics and democracy of the European Union and its Member States. To what extent do you agree or disagree with each of the statements? Foreign interference in our democratic systems is a serious problem that should be addressed | Base: All,"The European Parliament adopted by 441 votes to 178, with 34 abstentions, a decision on setting up a special committee on the European Democracy Shield, and defining its responsibilities, numerical strength and term of office.
Member recalled that foreign interference constitutes a serious violation of the universal values and principles on which the Union is founded, such as human dignity, freedom, equality, solidarity, respect for human rights and fundamental freedoms, democracy and the rule of law. Evidence shows that malicious and authoritarian foreign state actors and malicious non-state actors are using information manipulation and other tactics to interfere in democratic processes in the Union…",171271,0.6903352737426758,positive,0.6,retrospective,"The survey question asks about the perception of foreign interference as a problem that should be addressed, while the vote is about setting up a committee to address this issue. The survey question references an already-existing problem, not expressing a preference before the vote.",[0.6],False
"QA8.4 Do you agree or not that the Common Agricultural Policy (CAP) contributes to ... ? (ONE ANSWER ONLY):-Boosting investment and growth, and increasing the number of jobs in the agriculture and food sectors","Larger, standalone budget for the common agricultural policy (CAP)
Reinforced direct payments and reduced administrative burden for farmers
Removing barriers to becoming a farmer",178500,0.6894524693489075,positive,0.6,retrospective,"The survey question asks about the contribution of the Common Agricultural Policy (CAP) to boosting investment and growth, increasing jobs, which is a description of its effects rather than an opinion or preference on what should be done with it. The vote summary mentions specific actions related to CAP, but these are actions that have already been decided upon.",[0.6],False
QA31 And what should the European Union now prioritise in its response to the Coronavirus pandemic? MAX. 3 ANSWERS,"The European Parliament adopted by 526 votes to 105, with 50 abstentions, a resolution on the EU’s public health strategy post-COVID-19.
The text adopted in plenary was tabled as a joint resolution by the EPP, S&D, Renew, Greens/EFA and GUE/NGL groups.
COVID-19 has highlighted the fact that the European Union does not have strong enough tools to deal with a health emergency such as the spread of a novel infectious disease, which by its nature knows no borders. The outbreak exposed the difference in capacity between the Member States’ healthcare systems, and demonstrated that, in circumstances where an unexpected health threat emerges, some Member States may become reliant on their neighbouring countries having sufficiently resilient systems…",116295,0.6865037083625793,positive,0.6,retrospective,"The survey question asks about the EU's response to the Coronavirus pandemic, which is already in progress as indicated by the resolution adopted by the European Parliament.",[0.6],False
Q10_4 The following statements are about interference by foreign countries in the politics and democracy of the European Union and its Member States. To what extent do you agree or disagree with each of the statements? Foreign interference can affect citizens’ voting behaviour | Base: All,"The European Parliament adopted by 441 votes to 178, with 34 abstentions, a decision on setting up a special committee on the European Democracy Shield, and defining its responsibilities, numerical strength and term of office.
Member recalled that foreign interference constitutes a serious violation of the universal values and principles on which the Union is founded, such as human dignity, freedom, equality, solidarity, respect for human rights and fundamental freedoms, democracy and the rule of law. Evidence shows that malicious and authoritarian foreign state actors and malicious non-state actors are using information manipulation and other tactics to interfere in democratic processes in the Union…",171271,0.6862176060676575,positive,0.6,retrospective,"The survey question asks about the extent to which people agree or disagree with a statement about foreign interference affecting citizens' voting behaviour, while the vote is about setting up a committee to investigate this issue. The survey question references an ongoing issue, not expressing a preference before the vote.",[0.6],False
"QA12. Thinking about EU’s response to the coronavirus pandemic, to what extent do you trust or not the EU to make the right decisions in the future?   ","The European Parliament adopted by 458 votes to 149, with 86 abstentions, a resolution on EU transparency in the development, purchase and distribution of COVID-19 vaccines.
The resolution underlined that the handling of the COVID-19 pandemic is a trust test for all Member States and EU institutions that will inform the response to possible future public health emergencies. Full transparency regarding all details of research into and the development, purchase and distribution of COVID-19 vaccines is the fundamental prerequisite for enhancing citizens’ trust in vaccines and the way in which institutions have spent huge amounts of public funds.
The Commission and the Member States are obliged to work as openly as possible and as closely as…",136905,0.6857984066009521,positive,0.6,retrospective,"The survey asks about trust in the EU's future decisions regarding COVID-19, while the vote is about transparency in the development, purchase, and distribution of COVID-19 vaccines, which is a past action.",[0.6],False
QA8.2 Do you agree or not that the Common Agricultural Policy (CAP) contributes to ... ? (ONE ANSWER ONLY):-Strengthening the farmer's role in the food chain (N),"Larger, standalone budget for the common agricultural policy (CAP)
Reinforced direct payments and reduced administrative burden for farmers
Removing barriers to becoming a farmer",178500,0.6775974035263062,positive,0.6,retrospective,"The survey question asks about the contribution of the Common Agricultural Policy (CAP), while the vote summary mentions a larger budget for CAP, reinforced payments, reduced administrative burden, and removing barriers to becoming a farmer. These are all actions related to CAP, but the survey question does not directly ask about these specific actions, instead it asks about the role of farmers in the food chain which is a different aspect of CAP.",[0.6],False
QA8.7. Do you agree or not that the Common Agricultural Policy (CAP) contributes to…?  :-Ensuring reasonable food prices for consumers,"Larger, standalone budget for the common agricultural policy (CAP)
Reinforced direct payments and reduced administrative burden for farmers
Removing barriers to becoming a farmer",178500,0.677501916885376,positive,0.6,retrospective,"The survey question asks about the contribution of CAP to ensuring reasonable food prices for consumers, while the vote summary focuses on budget, direct payments, administrative burden for farmers, and barriers to becoming a farmer. Although both are related to CAP, the survey question references an already-decided policy rather than expressing a forward-looking opinion.",[0.6],False
"Q12_2 What are your thoughts about the most recent EU financial support for EU Member States to overcome the COVID-19 crisis? Do you think it was good or not good to provide… a recovery plan of 750 billion euros supporting  all Member States, through grants and loans,  on conditions that they make green, digital and social investments and reforms? | Base: All","The European Parliament adopted by 462 votes to 80, with 145 abstentions, a resolution on the general guidelines for the preparation of the 2022 budget, Section III - Commission.
Parliament wants to set up a recovery budget in 2022 after the COVID-19 crisis that will allow the EU to boost investment and tackle unemployment, foster the digital and green transition, focus on a strong European Health Union, promote an inclusive recovery, focusing in particular on the younger generation, and ensure a safe and prosperous environment for EU citizens.
Concerned by the severe and long-lasting consequences of the crisis on SMEs, Members intend to secure sufficient funding for them through various EU programmes. They called…",129467,0.6740203499794006,positive,0.6,retrospective,The survey question refers to the EU financial support for Member States that has already been decided upon in the vote,[0.6],False
"QA12. Thinking about EU’s response to the coronavirus pandemic, to what extent do you trust or not the EU to make the right decisions in the future?   ","COVID-19 has brought the EU’s institutional shortcomings to the surface
Council needs to adopt a sensible position in the immediate future and commit to Conference-driven reforms",115400,0.6736621260643005,positive,0.6,retrospective,"The survey question asks about trust in the EU's past decisions during the coronavirus pandemic, while the vote summary discusses institutional shortcomings and future reforms, making it retrospective.",[0.6],False
"QA15. The European Union has designed a recovery plan of 750 billion euros, NextGenerationEU, to support the economy through grants and loans. How effective or not do you think that this measure is to respond to the economic effects of the coronavirus pandemic?   ","The European Parliament adopted by 409 votes to 61, with 42 abstentions, a resolution on the Multiannual Financial Framework (MFF) 2021-2027: fight against oligarch structures, protection of EU funds from fraud and conflict of interest.
The MFF 2021-2027 package, which together with the NextGenerationEU recovery instrument represents an unprecedented total funding of EUR 1800 billion to support the recovery from the COVID-19 pandemic and the Union's long-term priorities in different policy areas.
The protection of the EU’s financial interests is a key element of the EU policy agenda to strengthen transparency, democratic accountability and the ability to respond to citizens’ needs, increase public trust and ensure that taxpayers’ money is…",140921,0.6734100580215454,positive,0.4,retrospective,"The survey question asks about the effectiveness of the recovery plan, which is already in place, not expressing a preference before the vote",[0.4],False
"Q9_2 Thinking about the way the following institutions have handled the vaccination strategy, would you say you are... the European Union | Base: All","The European Parliament adopted by 458 votes to 149, with 86 abstentions, a resolution on EU transparency in the development, purchase and distribution of COVID-19 vaccines.
The resolution underlined that the handling of the COVID-19 pandemic is a trust test for all Member States and EU institutions that will inform the response to possible future public health emergencies. Full transparency regarding all details of research into and the development, purchase and distribution of COVID-19 vaccines is the fundamental prerequisite for enhancing citizens’ trust in vaccines and the way in which institutions have spent huge amounts of public funds.
The Commission and the Member States are obliged to work as openly as possible and as closely as…",136905,0.672092616558075,positive,0.6,retrospective,"The survey question asks about trust in the handling of the vaccination strategy, which is a past action, not a forward-looking opinion that could directly influence the parliament's vote on transparency in vaccine development and distribution.",[0.6],False
QA8.8. Do you agree or not that the Common Agricultural Policy (CAP) contributes to…?  :-Ensuring sustainable management of natural resources,"Larger, standalone budget for the common agricultural policy (CAP)
Reinforced direct payments and reduced administrative burden for farmers
Removing barriers to becoming a farmer",178500,0.6709988713264465,positive,0.6,retrospective,"The survey question asks about the contribution of the Common Agricultural Policy (CAP) to ensuring sustainable management of natural resources, while the vote summary focuses on budget, direct payments, administrative burden for farmers, and barriers to becoming a farmer. Although both are related to CAP, the survey question references an already-existing policy, making it retrospective.",[0.6],False
"QA7.4. How important do you think the following priorities of the Common Agricultural Policy (CAP) are?  :-Boosting investment and growth, and increasing the number of jobs in the agriculture and food sectors","Larger, standalone budget for the common agricultural policy (CAP)
Reinforced direct payments and reduced administrative burden for farmers
Removing barriers to becoming a farmer",178500,0.6662570834159851,positive,0.6,retrospective,"The survey question asks about the importance of certain priorities within the Common Agricultural Policy (CAP), while the vote summary focuses on a larger budget for CAP and specific measures like increased direct payments, reduced administrative burden, and removing barriers to becoming a farmer. Although they are related, the survey question does not directly ask about these specific actions that the vote acts upon.",[0.6],False
QA5.5. To what extent do you think the EU through the Common Agricultural Policy (CAP) is fulfilling its role in…?  :-Ensuring a sustainable way to produce food,"The EU must become food self-sufficient
Investments in digitalisation and modernisation of agriculture needed
Call for campaigns against food waste, national food prevention programmes and cooperation of supermarkets with food banks
Agricultural entrepreneurship and activity must be maintained when implementing the Green Deal",155937,0.6653347611427307,positive,0.6,retrospective,"The survey question asks about the EU's role in ensuring a sustainable way to produce food through the Common Agricultural Policy (CAP), while the vote summary discusses becoming food self-sufficient and other initiatives related to agriculture, but not explicitly tied to the CAP or the sustainability aspect mentioned in the survey.",[0.6],False
Q6 The next European elections will be held in June 2024. How likely do you think you are to vote in these elections?,"The European Parliament adopted by 388 votes to 186, with 34 abstentions, a resolution on the stocktaking of the European elections 2024.
The 2024 European elections recorded the highest turnout of any European Parliament election in the last 25 years, with 50.74% of voters turning out to vote (a slight increase compared to 2019, when turnout was 50.66%), providing a strong and positive signal of European citizens' interest in European affairs. Turnout figures vary considerably across Member States, ranging from 89.01% to 21.35%, highlighting the need for continued political investment in electoral participation across the Union.
Members are convinced that efforts must be stepped up to boost voter turnout and make the Union less…",178399,0.6631371378898621,positive,0.2,indirect,"The survey question asks about voting in the elections, not a specific policy or action that the European Parliament could later act upon.",[0.2],False
Q12 The European Commission has decided to make 2022 the ‘European Year of Youth’ to support the generation that has sacrificed the most during the COVID-19 pandemic. What are the key themes you think the European Year of Youth should focus on? You can select up to three answers. [MULTIPLE ANSWERS] | Base: All,"The European Parliament adopted by 522 votes to 12, with 79 abstentions, a resolution on the impact of COVID-19 closures of educational, cultural, youth and sports activities on children and young people in the EU.
In the aftermath of the Covid-19 pandemic, Europe's youth face a mental health crisis. The closure of early childhood education and care provision facilities, schools, universities, spaces for youth welfare and youth work, as well as of extracurricular activities, cultural spaces and sports facilities, has denied children and young people the opportunity to participate in activities which are essential for their overall development, their learning progression, their intellectual, physical, emotional and mental health and…",147522,0.6630882620811462,positive,0.6,retrospective,"The survey references the European Year of Youth as already decided, not expressing a preference before the vote",[0.6],False
QA7.2. How important do you think the following priorities of the Common Agricultural Policy (CAP) are?  :-Strengthening the farmer's role in the food chain,"Larger, standalone budget for the common agricultural policy (CAP)
Reinforced direct payments and reduced administrative burden for farmers
Removing barriers to becoming a farmer",178500,0.661920428276062,positive,0.6,retrospective,"The survey question asks about the importance of strengthening the farmer's role in the food chain, which is a specific priority within the Common Agricultural Policy (CAP). However, the vote summary does not directly relate to this specific priority but rather to the overall budget and administrative burden for farmers. Therefore, it is retrospective as it references a policy decision that has already been made.",[0.6],False
Q5_5 To what extent do you agree or disagree with each of the following statements? The European Union is playing a key role in ensuring that we can have access to COVID-19 vaccines in (OUR COUNTRY) | Base: All,"The European Parliament adopted by 458 votes to 149, with 86 abstentions, a resolution on EU transparency in the development, purchase and distribution of COVID-19 vaccines.
The resolution underlined that the handling of the COVID-19 pandemic is a trust test for all Member States and EU institutions that will inform the response to possible future public health emergencies. Full transparency regarding all details of research into and the development, purchase and distribution of COVID-19 vaccines is the fundamental prerequisite for enhancing citizens’ trust in vaccines and the way in which institutions have spent huge amounts of public funds.
The Commission and the Member States are obliged to work as openly as possible and as closely as…",136905,0.6615868806838989,positive,0.6,retrospective,"The survey question asks about the role of the EU in ensuring access to COVID-19 vaccines, but the vote is about transparency in the development, purchase, and distribution of these vaccines. While both questions are related to COVID-19 vaccines, the survey question references a policy that has already been implemented (access to vaccines), making it retrospective.",[0.6],False
QA8.3 Do you agree or not that the Common Agricultural Policy (CAP) contributes to ... ? (ONE ANSWER ONLY):-Encouraging young people to enter the agricultural sector (N),"Larger, standalone budget for the common agricultural policy (CAP)
Reinforced direct payments and reduced administrative burden for farmers
Removing barriers to becoming a farmer",178500,0.660760760307312,positive,0.6,retrospective,"The survey question asks about encouraging young people to enter the agricultural sector, while the vote summary focuses on a larger budget for CAP, reinforced direct payments, reduced administrative burden for farmers, and removing barriers to becoming a farmer. Although these are all related to agriculture, the specific aspect mentioned in the survey is not directly relevant to the vote.",[0.6],False
QA8.3. Do you agree or not that the Common Agricultural Policy (CAP) contributes to…?  :-Encouraging young people to enter the agricultural sector,"Larger, standalone budget for the common agricultural policy (CAP)
Reinforced direct payments and reduced administrative burden for farmers
Removing barriers to becoming a farmer",178500,0.657321572303772,positive,0.6,retrospective,"The survey question asks about encouraging young people to enter the agricultural sector, but the vote summary does not specifically address this issue.",[0.6],False
QA5.5 To what extent do you think the EU through the Common Agricultural Policy (CAP) is fulfilling its role in ... ? (ONE ANSWER ONLY):-Ensuring a sustainable way to produce food,"The EU must become food self-sufficient
Investments in digitalisation and modernisation of agriculture needed
Call for campaigns against food waste, national food prevention programmes and cooperation of supermarkets with food banks
Agricultural entrepreneurship and activity must be maintained when implementing the Green Deal",155937,0.657249391078949,positive,0.6,retrospective,"The survey question asks about the EU's role in ensuring a sustainable way to produce food through the Common Agricultural Policy (CAP), while the vote summary discusses becoming food self-sufficient and other initiatives related to agriculture, but not explicitly tied to the CAP or the sustainability aspect mentioned in the survey.",[0.6],False
Q10_1 The following statements are about interference by foreign countries in the politics and democracy of the European Union and its Member States. To what extent do you agree or disagree with each of the statements? It is justified that foreign countries aim to influence the outcome of elections in the EU to defend their interests | Base: All,"The European Parliament adopted by 441 votes to 178, with 34 abstentions, a decision on setting up a special committee on the European Democracy Shield, and defining its responsibilities, numerical strength and term of office.
Member recalled that foreign interference constitutes a serious violation of the universal values and principles on which the Union is founded, such as human dignity, freedom, equality, solidarity, respect for human rights and fundamental freedoms, democracy and the rule of law. Evidence shows that malicious and authoritarian foreign state actors and malicious non-state actors are using information manipulation and other tactics to interfere in democratic processes in the Union…",171271,0.6569038033485413,positive,0.6,retrospective,"The survey question asks about the justification of foreign interference in elections, while the vote is about setting up a committee to investigate this issue. The survey references an already-existing problem, not expressing a preference before the vote.",[0.6],False
QA31 And what should the European Union now prioritise in its response to the Coronavirus pandemic? MAX. 3 ANSWERS,"The European Parliament adopted by 340 votes to 100, 245 abstentions, a resolution on the implementation of the Common Foreign and Security Policy – annual report 2020.
Parliament stressed that the COVID-19 pandemic is a wake-up call for the need for a stronger, more autonomous, more united and assertive foreign and security policy. If the EU wants to play a leading role on the international scene, it should defend and develop a rules based international order which guarantees multilateralism, democracy and human rights, and to promote its values and interests more decisively worldwide. To achieve this, the EU first has to successfully assist its partners in the immediate neighbourhood…",127028,0.6567650437355042,positive,0.4,retrospective,"The survey question asks about the EU's response to the Coronavirus pandemic, but the vote is about the implementation of the Common Foreign and Security Policy – annual report 2020, which is not directly related to the pandemic.",[0.4],False
"Q7_1 For each of the following initiatives, please tell me how effective or not you think they will be in helping to tackle the challenges facing the EU. The European Green Deal, i.e. the EU’s plan aiming to tackle climate change and transform the EU into a competitive, green economy, climate neutral by 2050.","The European Parliament adopted by 593 votes to 80, with 13 abstentions, a resolution tabled by the Committee on the Environment, Public Health and Food Safety on the European Year of Greener Cities 2022.
Members pointed out that 72% of EU citizens now live in towns and cities or in the suburbs, and that the share of the urban population continues to grow and could reach 80% in 2020. These figures underline the important role that greener cities can play in achieving the objectives of the Paris agreement and in strengthening the EU's capacity to adapt to climate change.
The Commission is invited to establish a new European strategy for greener cities and to propose measures in the framework of the European green deal to address in particular…",117284,0.6567043662071228,positive,0.6,retrospective,"The survey question refers to the European Green Deal as a plan that has already been established, while the vote is about the European Year of Greener Cities 2022, which is an initiative related to the Green Deal but not directly asking for citizens' opinions on it.",[0.6],False
QA6.4 To what extent do you agree or disagree with the following statements about the Conference on the Future of Europe:-The Conference should deal in priority with how the EU could better handle crises such as the coronavirus outbreak,"COVID-19 has brought the EU’s institutional shortcomings to the surface
Council needs to adopt a sensible position in the immediate future and commit to Conference-driven reforms",115400,0.6564854383468628,positive,0.6,retrospective,"The survey question refers to the Conference on the Future of Europe dealing with crises such as the coronavirus outbreak, which is a past event and not seeking citizens' opinion or preference for future action.",[0.6],False
"Q1_2 Imagine a major crisis affecting [YOUR COUNTRY] and surrounding countries. How effective or not do you think the EU’s response would be in each of the following situations? Providing relief for large natural disasters (e.g. floods, wildfires, earthquakes)","Support from the EU Solidarity Fund for Italy, Slovenia, Austria, Greece, and France following severe floods in 2023
Assistance will cover part of the costs of emergency and recovery operations
EU aid should be expanded in view of the increasing number of natural disasters in Europe, MEPs say",169701,0.655907928943634,positive,0.6,retrospective,"The survey asks about the EU's response to a hypothetical crisis in the past, while the vote is about providing aid following a specific event in 2023",[0.6],False
QA8.7 Do you agree or not that the Common Agricultural Policy (CAP) contributes to ... ? (ONE ANSWER ONLY):-Ensuring sustainable management of natural resources (N),"Larger, standalone budget for the common agricultural policy (CAP)
Reinforced direct payments and reduced administrative burden for farmers
Removing barriers to becoming a farmer",178500,0.6557995080947876,positive,0.6,retrospective,"The survey question asks about the contribution of the Common Agricultural Policy (CAP) to sustainable management of natural resources, while the vote summary mentions a larger budget for CAP and administrative changes, but does not explicitly address sustainability or natural resource management.",[0.6],False
"Q2b_3 Here is a list of possible reasons for not getting vaccinated soon against COVID-19. For each of them, please indicate how important it is in your own decision. I think that the risk posed by Covid-19 in general is exaggerated | Base: If ""Later"" or ""Never"" in Q1","Virus might stay active for several months, until an efficient and safe vaccine is supplied
Common definition needed for a positive COVID-19 case, for a death by COVID-19 and for recovery from infection
Influenza season likely to increase the number of people who should be tested",117283,0.6546834707260132,positive,0.6,retrospective,"The survey question refers to the decision of not getting vaccinated soon against COVID-19, which is a past or ongoing action, not a forward-looking opinion.",[0.6],False
"QA15. The European Union has designed a recovery plan of 750 billion euros, NextGenerationEU, to support the economy through grants and loans. How effective or not do you think that this measure is to respond to the economic effects of the coronavirus pandemic?   ","The European Parliament adopted by 462 votes to 80, with 145 abstentions, a resolution on the general guidelines for the preparation of the 2022 budget, Section III - Commission.
Parliament wants to set up a recovery budget in 2022 after the COVID-19 crisis that will allow the EU to boost investment and tackle unemployment, foster the digital and green transition, focus on a strong European Health Union, promote an inclusive recovery, focusing in particular on the younger generation, and ensure a safe and prosperous environment for EU citizens.
Concerned by the severe and long-lasting consequences of the crisis on SMEs, Members intend to secure sufficient funding for them through various EU programmes. They called…",129467,0.6546270251274109,positive,0.6,retrospective,"The survey asks about the effectiveness of a recovery plan that has already been designed and adopted, not expressing a preference before the vote",[0.6],False
